par,ai,ci,nominal,canto,arquivo,diferenca
amostra_10,8,19,False,01,j6032_1.sm,-0.05
amostra_10,8,19,False,01,j6043_1.sm,-0.008333333333333325
amostra_10,8,19,False,11,j6010_1.sm,-0.05833333333333334
amostra_10,8,19,False,11,j6021_1.sm,0.020833333333333322
amostra_10,8,19,False,11,j6032_1.sm,0.0625
amostra_10,8,19,False,11,j6043_1.sm,0.04999999999999999
amostra_11,79,49,False,00,j6010_1.sm,-0.03333333333333334
amostra_11,79,49,False,00,j6021_1.sm,0.008333333333333331
amostra_11,79,49,False,00,j6032_1.sm,-0.06250000000000001
amostra_11,79,49,False,00,j6043_1.sm,0.024999999999999994
amostra_11,79,49,False,10,j6010_1.sm,-0.07916666666666666
amostra_11,79,49,False,10,j6021_1.sm,-0.024999999999999994
amostra_11,79,49,False,10,j6032_1.sm,0.03750000000000001
amostra_11,79,49,False,10,j6043_1.sm,-0.025
amostra_11,79,49,False,01,j6010_1.sm,0.041666666666666664
amostra_11,79,49,False,01,j6021_1.sm,-0.008333333333333325
amostra_11,79,49,False,01,j6032_1.sm,0.04583333333333334
amostra_11,79,49,False,01,j6043_1.sm,-0.004166666666666659
amostra_11,79,49,False,11,j6010_1.sm,0.05000000000000002
amostra_11,79,49,False,11,j6021_1.sm,0.058333333333333334
amostra_11,79,49,False,11,j6032_1.sm,0.008333333333333338
amostra_11,79,49,False,11,j6043_1.sm,-0.037499999999999985
amostra_12,61,55,False,00,j6010_1.sm,0.02499999999999998
amostra_12,61,55,False,00,j6021_1.sm,-0.033333333333333326
amostra_12,61,55,False,00,j6032_1.sm,-0.020833333333333322
amostra_12,61,55,False,00,j6043_1.sm,0.008333333333333331
amostra_12,61,55,False,10,j6010_1.sm,-0.05416666666666666
amostra_12,61,55,False,10,j6021_1.sm,-0.03749999999999999
amostra_12,61,55,False,10,j6032_1.sm,0.07083333333333333
amostra_12,61,55,False,10,j6043_1.sm,0.0875
amostra_12,61,55,False,01,j6010_1.sm,0.016666666666666656
amostra_12,61,55,False,01,j6021_1.sm,-0.024999999999999994
amostra_12,61,55,False,01,j6032_1.sm,0.020833333333333343
amostra_12,61,55,False,01,j6043_1.sm,-0.02083333333333333
amostra_12,61,55,False,11,j6010_1.sm,0.012499999999999997
amostra_12,61,55,False,11,j6021_1.sm,0.02083333333333333
amostra_12,61,55,False,11,j6032_1.sm,0.008333333333333338
amostra_12,61,55,False,11,j6043_1.sm,0.016666666666666663
amostra_13,60,3,False,00,j6010_1.sm,-0.03333333333333332
amostra_13,60,3,False,00,j6021_1.sm,-0.08750000000000001
amostra_13,60,3,False,00,j6032_1.sm,-0.07083333333333333
amostra_13,60,3,False,00,j6043_1.sm,-0.016666666666666663
amostra_13,60,3,False,10,j6010_1.sm,0.012500000000000011
amostra_13,60,3,False,10,j6021_1.sm,-0.062499999999999986
amostra_13,60,3,False,10,j6032_1.sm,-0.033333333333333326
amostra_13,60,3,False,10,j6043_1.sm,-0.03749999999999999
amostra_13,60,3,False,01,j6010_1.sm,-0.02500000000000001
amostra_13,60,3,False,01,j6021_1.sm,-0.07916666666666666
amostra_13,60,3,False,01,j6032_1.sm,-0.09166666666666666
amostra_13,60,3,False,01,j6043_1.sm,0.03333333333333333
amostra_13,60,3,False,11,j6010_1.sm,0.0
amostra_13,60,3,False,11,j6021_1.sm,0.016666666666666677
amostra_13,60,3,False,11,j6032_1.sm,-0.012499999999999983
amostra_13,60,3,False,11,j6043_1.sm,0.008333333333333331
amostra_14,8,14,False,00,j6010_1.sm,0.0
amostra_14,8,14,False,00,j6021_1.sm,0.03750000000000002
amostra_14,8,14,False,00,j6032_1.sm,-0.004166666666666666
amostra_14,8,14,False,00,j6043_1.sm,-0.025
amostra_14,8,14,False,10,j6010_1.sm,0.04583333333333334
amostra_14,8,14,False,10,j6021_1.sm,-0.0375
amostra_14,8,14,False,10,j6032_1.sm,0.05
amostra_14,8,14,False,10,j6043_1.sm,0.09166666666666667
amostra_14,8,14,False,01,j6010_1.sm,-0.02916666666666666
amostra_14,8,14,False,01,j6021_1.sm,-0.012499999999999983
amostra_14,8,14,False,01,j6032_1.sm,-0.05833333333333335
amostra_14,8,14,False,01,j6043_1.sm,0.01666666666666667
amostra_14,8,14,False,11,j6010_1.sm,0.03749999999999999
amostra_14,8,14,False,11,j6021_1.sm,0.029166666666666667
amostra_14,8,14,False,11,j6032_1.sm,1.3877787807814457e-17
amostra_14,8,14,False,11,j6043_1.sm,-0.012500000000000011
amostra_15,62,77,False,00,j6010_1.sm,-0.004166666666666673
amostra_15,62,77,False,00,j6021_1.sm,-0.054166666666666655
amostra_15,62,77,False,00,j6032_1.sm,-0.04166666666666667
amostra_15,62,77,False,00,j6043_1.sm,0.049999999999999996
amostra_15,62,77,False,10,j6010_1.sm,-0.025
amostra_15,62,77,False,10,j6021_1.sm,-0.04583333333333334
amostra_15,62,77,False,10,j6032_1.sm,-0.020833333333333336
amostra_15,62,77,False,10,j6043_1.sm,0.0625
amostra_15,62,77,False,01,j6010_1.sm,0.06666666666666668
amostra_15,62,77,False,01,j6021_1.sm,0.024999999999999994
amostra_15,62,77,False,01,j6032_1.sm,0.0
amostra_15,62,77,False,01,j6043_1.sm,-0.049999999999999996
amostra_15,62,77,False,11,j6010_1.sm,0.05416666666666665
amostra_15,62,77,False,11,j6021_1.sm,-0.07083333333333335
amostra_15,62,77,False,11,j6032_1.sm,0.041666666666666664
amostra_15,62,77,False,11,j6043_1.sm,0.04583333333333334
amostra_16,78,51,False,00,j6010_1.sm,0.016666666666666677
amostra_16,78,51,False,00,j6021_1.sm,-0.0625
amostra_16,78,51,False,00,j6032_1.sm,-0.01666666666666667
amostra_16,78,51,False,00,j6043_1.sm,0.0375
amostra_16,78,51,False,10,j6010_1.sm,6.938893903907228e-18
amostra_16,78,51,False,10,j6021_1.sm,-0.04166666666666666
amostra_16,78,51,False,10,j6032_1.sm,0.037500000000000006
amostra_16,78,51,False,10,j6043_1.sm,-0.03749999999999999
amostra_16,78,51,False,01,j6010_1.sm,-0.01666666666666667
amostra_16,78,51,False,01,j6021_1.sm,-0.04166666666666666
amostra_16,78,51,False,01,j6032_1.sm,-0.04999999999999999
amostra_16,78,51,False,01,j6043_1.sm,6.938893903907228e-18
amostra_16,78,51,False,11,j6010_1.sm,-0.033333333333333326
amostra_16,78,51,False,11,j6021_1.sm,0.04583333333333332
amostra_16,78,51,False,11,j6032_1.sm,-0.004166666666666659
amostra_16,78,51,False,11,j6043_1.sm,0.020833333333333336
amostra_17,34,51,False,00,j6010_1.sm,6.938893903907228e-18
amostra_17,34,51,False,00,j6021_1.sm,-0.020833333333333343
amostra_17,34,51,False,00,j6032_1.sm,0.008333333333333331
amostra_17,34,51,False,00,j6043_1.sm,-0.04583333333333333
