par,ai,ci,nominal,canto,cenario,N_blocked,N_fail,N_req,N_success,bateria_media,confianca_media_final,denominador_falha,fracao_fuga,fracao_fuga_p1,fracao_porta1,n_concluidas,n_executadas,numerador_falha,p2_bloqueio,taxa_falha_efetiva
amostra_06,11,18,False,01,adaptativa,125.875,0.0,0.0,0.0,0.6158841849962939,0.25,60.0,0.1921938400555131,0.30492955050532267,0.5312500000000001,60.0,60.0,18.5,135.0625,0.30833333333333335
amostra_06,11,18,False,01,centralizada,131.0,0.0,0.0,0.0,0.6974526692852303,0.25,60.0,0.20674904648825088,0.33368957719178904,0.5208333333333334,60.0,60.0,17.9375,139.5625,0.2989583333333333
amostra_06,11,18,False,10,adaptativa,15.3125,41.625,107.0625,65.4375,0.6711487604434996,0.5835103465164326,60.0,0.0,0.0,0.4822916666666667,60.0,60.0,17.9375,65.25,0.2989583333333333
amostra_06,11,18,False,10,centralizada,33.5625,34.6875,73.75,39.0625,0.7417518098048553,0.5068444134213377,60.0,0.0,0.0,0.4635416666666667,60.0,60.0,17.25,77.5625,0.2875
amostra_06,11,18,False,11,adaptativa,20.1875,40.3125,115.0625,74.75,0.6834905538353081,0.6709424980794014,60.0,0.14440170807590666,0.26416232993246086,0.44687499999999997,60.0,60.0,17.125,68.4375,0.28541666666666665
amostra_06,11,18,False,11,centralizada,35.625,37.4375,90.3125,52.875,0.7488282466395579,0.5696563858356761,60.0,0.1618076467547321,0.292583197210938,0.4447916666666667,60.0,60.0,16.5625,82.375,0.27604166666666663
amostra_07,68,66,False,00,adaptativa,0.0,33.4375,129.125,95.6875,0.7294054995642293,0.932506305288471,60.0,0.0,0.0,0.40312499999999996,60.0,60.0,16.5,42.0,0.275
amostra_07,68,66,False,00,centralizada,0.1875,31.3125,122.75,91.4375,0.7586586087628959,0.9330208333333333,60.0,0.0,0.0,0.3947916666666667,60.0,60.0,15.5625,39.9375,0.25937499999999997
amostra_07,68,66,False,01,adaptativa,0.125,32.9375,130.875,97.9375,0.7304604576631535,0.952775521905564,60.0,0.11110097648180955,0.24275180247327244,0.37916666666666665,60.0,60.0,15.375,41.5,0.25625
amostra_07,68,66,False,01,centralizada,0.25,31.5,130.625,99.125,0.7923679958291813,0.9523425758627276,60.0,0.1250341753803635,0.2565636253483147,0.39583333333333337,60.0,60.0,15.4375,41.0625,0.2572916666666667
amostra_07,68,66,False,10,adaptativa,3.0625,42.1875,142.125,99.9375,0.7273620848203911,0.9262136124331903,60.0,0.0,0.0,0.4229166666666667,60.0,60.0,16.25,54.6875,0.2708333333333333
