par,ai,ci,nominal,D00,D10,D01,D11,nova_inversao,ja_positivo_v1,assistencia_so_inverte,fuga_so_inverte,somente_juntos,H1_direcao,H1_delta_C,H1_delta_A,delta_pedidos_C,delta_sucesso_C,interacao,interacao_ic95_inf,interacao_ic95_sup,total_delta_C,total_delta_A
amostra_12,61,55,False,-0.005208333333333334,0.01666666666666667,-0.002083333333333331,0.014583333333333332,True,False,True,False,False,True,-0.01770833333333333,0.004166666666666673,14.3125,10.1875,-0.005208333333333339,-0.13707615750716065,0.12665949084049397,-0.003124999999999996,0.01666666666666667
amostra_13,60,3,False,-0.05208333333333333,-0.030208333333333323,-0.040625,0.0031250000000000062,True,False,False,False,True,True,-0.028125000000000004,-0.006249999999999993,107.625,67.9375,0.021875,-0.044948785957287886,0.08869878595728789,-0.04583333333333333,0.009375000000000003
amostra_14,8,14,False,0.002083333333333338,0.037500000000000006,-0.02083333333333333,0.013541666666666664,False,True,False,False,False,True,-0.04583333333333332,-0.010416666666666661,107.5,66.125,-0.00104166666666667,-0.17371081572779865,0.17162748239446532,-0.03229166666666666,-0.020833333333333336
amostra_15,62,77,False,-0.012500000000000002,-0.0072916666666666685,0.01041666666666667,0.017708333333333326,True,False,False,True,False,False,-0.0010416666666666664,0.004166666666666666,5.875,-5.0,0.002083333333333326,-0.12213148420733623,0.12629815087400287,-0.012499999999999995,0.017708333333333333
amostra_16,78,51,False,-0.006249999999999999,-0.01041666666666666,-0.027083333333333327,0.0072916666666666685,True,False,False,False,True,False,-0.010416666666666666,-0.014583333333333328,117.5625,75.9375,0.03854166666666666,-0.04236633984766507,0.11944967318099839,-0.028124999999999997,-0.014583333333333334
amostra_17,34,51,False,-0.014583333333333334,0.014583333333333334,-0.010416666666666663,0.031249999999999997,True,False,True,False,False,True,-0.010416666666666666,0.01875,117.5625,75.9375,0.012499999999999995,-0.022998372782322057,0.04799837278232205,-0.028124999999999997,0.017708333333333333
amostra_18,31,19,False,-0.04583333333333334,-0.03645833333333333,-0.04374999999999998,0.011458333333333329,True,False,False,False,True,False,0.0010416666666666682,0.010416666666666671,80.8125,42.8125,0.04583333333333331,-0.07350840311480572,0.16517506978147234,-0.034374999999999996,0.02291666666666667
amostra_19,67,10,False,-0.03541666666666666,-0.01875,-0.04270833333333333,0.005208333333333336,True,False,False,False,True,True,-0.014583333333333327,0.002083333333333338,106.0625,66.25,0.03125,-0.08365041986097448,0.1461504198609745,-0.03645833333333333,0.004166666666666666
amostra_20,64,19,False,-0.03854166666666667,-0.029166666666666664,-0.03854166666666666,0.0031249999999999993,True,False,False,False,True,False,0.0010416666666666682,0.010416666666666671,80.8125,42.8125,0.032291666666666656,-0.06338639151228101,0.1279697248456143,-0.034374999999999996,0.007291666666666672
nominal,62,18,True,-0.04791666666666666,-0.023958333333333335,-0.026041666666666664,0.001041666666666663,True,False,False,False,True,True,-0.01979166666666666,0.004166666666666666,73.75,39.0625,0.0031250000000000028,-0.0707790172433239,0.07702901724332391,-0.031249999999999993,0.017708333333333333
