par,ai,ci,nominal,efeito,cenario,media,ic95_inf,ic95_sup,N_instancias
amostra_06,11,18,False,total_v2_menos_v1,adaptativa,-0.017708333333333333,-0.07112760388180275,0.03571093721513609,4
amostra_06,11,18,False,total_v2_menos_v1,centralizada,-0.031249999999999993,-0.0785983594101338,0.01609835941013381,4
amostra_07,68,66,False,assistencia_fuga_desligada,contraste_A_menos_C,-0.01875000000000001,-0.03453278647004461,-0.0029672135299554057,4
amostra_07,68,66,False,assistencia_fuga_ligada,contraste_A_menos_C,0.00729166666666667,-0.14757230568085758,0.16215563901419092,4
amostra_07,68,66,False,fuga_assistencia_limiar,contraste_A_menos_C,-0.01666666666666667,-0.09585862899977432,0.062525295666441,4
amostra_07,68,66,False,fuga_assistencia_logistica,contraste_A_menos_C,0.009375000000000008,-0.11957142794457233,0.13832142794457236,4
amostra_07,68,66,False,total_v2_menos_v1,contraste_A_menos_C,-0.009375,-0.1405744296312616,0.12182442963126161,4
amostra_07,68,66,False,interacao,contraste_A_menos_C,0.02604166666666668,-0.1305161440026448,0.18259947733597817,4
amostra_07,68,66,False,assistencia_fuga_desligada,adaptativa,-0.0041666666666666675,-0.021285502139671002,0.012952168806337665,4
amostra_07,68,66,False,assistencia_fuga_desligada,centralizada,0.01458333333333334,0.000781686939925615,0.028384979726741068,4
amostra_07,68,66,False,assistencia_fuga_ligada,adaptativa,0.004166666666666662,-0.08722290629779172,0.09555623963112506,4
amostra_07,68,66,False,assistencia_fuga_ligada,centralizada,-0.0031250000000000045,-0.1380682315109004,0.13181823151090036,4
amostra_07,68,66,False,fuga_assistencia_limiar,adaptativa,-0.01875,-0.07565564588744511,0.038155645887445105,4
amostra_07,68,66,False,fuga_assistencia_limiar,centralizada,-0.0020833333333333277,-0.06670552010624461,0.06253885343957796,4
amostra_07,68,66,False,fuga_assistencia_logistica,adaptativa,-0.010416666666666664,-0.07835493876156704,0.05752160542823372,4
amostra_07,68,66,False,fuga_assistencia_logistica,centralizada,-0.01979166666666667,-0.11966580493658673,0.0800824716032534,4
amostra_07,68,66,False,total_v2_menos_v1,adaptativa,-0.014583333333333332,-0.06579698410310894,0.036630317436442274,4
amostra_07,68,66,False,total_v2_menos_v1,centralizada,-0.0052083333333333304,-0.11406784129681154,0.10365117463014488,4
amostra_08,64,9,False,assistencia_fuga_desligada,contraste_A_menos_C,0.030208333333333334,-0.05697596467238325,0.11739263133904992,4
amostra_08,64,9,False,assistencia_fuga_ligada,contraste_A_menos_C,0.04895833333333333,-0.051792230992283174,0.14970889765894985,4
amostra_08,64,9,False,fuga_assistencia_limiar,contraste_A_menos_C,1.734723475976807e-18,-0.02420968929795636,0.024209689297956367,4
amostra_08,64,9,False,fuga_assistencia_logistica,contraste_A_menos_C,0.01875,-0.12100723340130527,0.15850723340130526,4
