par,ai,ci,nominal,canto,cenario,metrica,media,ic95_inf,ic95_sup,N_instancias
amostra_01,56,65,False,01,centralizada,taxa_falha_efetiva,0.26875,0.1837570937429972,0.3537429062570028,4
amostra_01,56,65,False,01,centralizada,N_req,137.25,58.95532582103692,215.54467417896308,4
amostra_01,56,65,False,01,centralizada,N_success,103.9375,32.33807551652164,175.53692448347834,4
amostra_01,56,65,False,01,centralizada,N_fail,33.3125,10.665794630437059,55.95920536956294,4
amostra_01,56,65,False,01,centralizada,N_blocked,0.1875,-0.4092086822406952,0.7842086822406952,4
amostra_01,56,65,False,01,centralizada,p2_bloqueio,42.3125,17.694834849927247,66.93016515007275,4
amostra_01,56,65,False,01,centralizada,fracao_porta1,0.378125,0.24188498691960345,0.5143650130803965,4
amostra_01,56,65,False,01,centralizada,fracao_fuga,0.10881270120852168,0.041663754855061866,0.17596164756198152,4
amostra_01,56,65,False,01,centralizada,fracao_fuga_p1,0.24029751241546743,0.17686793933390255,0.3037270854970323,4
amostra_01,56,65,False,01,centralizada,n_executadas,60.0,60.0,60.0,4
amostra_01,56,65,False,01,centralizada,n_concluidas,60.0,60.0,60.0,4
amostra_01,56,65,False,01,centralizada,denominador_falha,60.0,60.0,60.0,4
amostra_01,56,65,False,01,centralizada,numerador_falha,16.125,11.025425624579832,21.22457437542017,4
amostra_01,56,65,False,01,centralizada,bateria_media,0.7430117380768575,0.519616390023176,0.966407086130539,4
amostra_01,56,65,False,01,centralizada,confianca_media_final,0.9551204818764948,0.9118107525137669,0.9984302112392227,4
amostra_01,56,65,False,11,adaptativa,taxa_falha_efetiva,0.284375,0.22724449321891954,0.34150550678108044,4
amostra_01,56,65,False,11,adaptativa,N_req,140.5,49.274883838925334,231.72511616107465,4
amostra_01,56,65,False,11,adaptativa,N_success,103.9375,31.98237921408483,175.89262078591517,4
amostra_01,56,65,False,11,adaptativa,N_fail,36.5625,12.192498358968002,60.932501641032,4
amostra_01,56,65,False,11,adaptativa,N_blocked,2.25,0.023234944376862465,4.4767650556231375,4
amostra_01,56,65,False,11,adaptativa,p2_bloqueio,47.875,16.940643784244973,78.80935621575503,4
amostra_01,56,65,False,11,adaptativa,fracao_porta1,0.4104166666666667,0.32072638406996234,0.5001069492633711,4
