perfil_adaptativa,perfil_centralizada,metrica,estimando,pares_previstos,pares_retidos,pares_indefinidos,estatuto,media,ic95_inf,ic95_sup,N_instancias,sinal,evidencia,tau_inicial_A,tau_min_A,p_reporte_A,p_deteccao_A,tau_inicial_C,tau_min_C,p_reporte_C,p_deteccao_C,regiao
0,5,taxa_omissao,observado,16,16,0,COMPLETO,0.1041666666666666,0.0542571135972281,0.1540762197361051,4,positivo,positivo,0.25,0.25,0.15,0.03,0.25,0.25,0.45,0.12,inclui_inversao_de_premissa
0,5,taxa_omissao,pares_completos,16,16,0,COMPLETO,0.1041666666666666,0.0542571135972281,0.1540762197361051,4,positivo,positivo,0.25,0.25,0.15,0.03,0.25,0.25,0.45,0.12,inclui_inversao_de_premissa
0,5,divida_latente_sobre_plano,observado,16,16,0,COMPLETO,0.0558029860274059,0.0371372418364445,0.0744687302183673,4,positivo,positivo,0.25,0.25,0.15,0.03,0.25,0.25,0.45,0.12,inclui_inversao_de_premissa
0,5,divida_latente_sobre_plano,pares_completos,16,16,0,COMPLETO,0.0558029860274059,0.0371372418364445,0.0744687302183673,4,positivo,positivo,0.25,0.25,0.15,0.03,0.25,0.25,0.45,0.12,inclui_inversao_de_premissa
0,5,taxa_falha_efetiva,observado,16,16,0,COMPLETO,-0.0052083333333333,-0.0340448071653312,0.0236281404986645,4,negativo,inclui_zero,0.25,0.25,0.15,0.03,0.25,0.25,0.45,0.12,inclui_inversao_de_premissa
0,5,taxa_falha_efetiva,pares_completos,16,16,0,COMPLETO,-0.0052083333333333,-0.0340448071653312,0.0236281404986645,4,negativo,inclui_zero,0.25,0.25,0.15,0.03,0.25,0.25,0.45,0.12,inclui_inversao_de_premissa
0,5,fracao_porta1,observado,16,16,0,COMPLETO,-0.0197916666666666,-0.0695173901867332,0.0299340568533999,4,negativo,inclui_zero,0.25,0.25,0.15,0.03,0.25,0.25,0.45,0.12,inclui_inversao_de_premissa
0,5,fracao_porta1,pares_completos,16,16,0,COMPLETO,-0.0197916666666666,-0.0695173901867332,0.0299340568533999,4,negativo,inclui_zero,0.25,0.25,0.15,0.03,0.25,0.25,0.45,0.12,inclui_inversao_de_premissa
0,6,atraso_relativo,observado,16,16,0,COMPLETO,0.2505593850176735,-0.0768982309603719,0.578017000995719,4,positivo,inclui_zero,0.25,0.25,0.15,0.03,0.25,0.25,0.75,0.03,inclui_inversao_de_premissa
0,6,atraso_relativo,pares_completos,16,16,0,COMPLETO,0.2505593850176735,-0.0768982309603719,0.578017000995719,4,positivo,inclui_zero,0.25,0.25,0.15,0.03,0.25,0.25,0.75,0.03,inclui_inversao_de_premissa
