kind,celula,cenario,metrica,incompletas,estatuto,media,ic95_inf,ic95_sup,N_instancias,sinal,evidencia
GOV,6,centralizada,taxa_falha_efetiva,0,COMPLETO,0.31770833333333337,0.27197348126998194,0.3634431853966848,4,positivo,positivo
GOV,6,centralizada,fracao_porta1,0,COMPLETO,0.5510416666666667,0.48828881637798593,0.6137945169553474,4,positivo,positivo
GOV,7,adaptativa,atraso_relativo,0,COMPLETO,2.3228752249692146,1.28895207335041,3.356798376588019,4,positivo,positivo
GOV,7,adaptativa,taxa_omissao,0,COMPLETO,0.07604166666666666,0.06609652196265334,0.08598681137067998,4,positivo,positivo
GOV,7,adaptativa,divida_latente_sobre_plano,0,COMPLETO,0.030917129326783498,0.023953142303339156,0.03788111635022784,4,positivo,positivo
GOV,7,adaptativa,taxa_falha_efetiva,0,COMPLETO,0.31145833333333334,0.259428618727585,0.3634880479390817,4,positivo,positivo
GOV,7,adaptativa,fracao_porta1,0,COMPLETO,0.5427083333333333,0.4923967195132174,0.5930199471534493,4,positivo,positivo
GOV,7,centralizada,atraso_relativo,0,COMPLETO,2.3228752249692146,1.28895207335041,3.356798376588019,4,positivo,positivo
GOV,7,centralizada,taxa_omissao,0,COMPLETO,0.07604166666666666,0.06609652196265334,0.08598681137067998,4,positivo,positivo
GOV,7,centralizada,divida_latente_sobre_plano,0,COMPLETO,0.030917129326783498,0.023953142303339156,0.03788111635022784,4,positivo,positivo
GOV,7,centralizada,taxa_falha_efetiva,0,COMPLETO,0.31145833333333334,0.259428618727585,0.3634880479390817,4,positivo,positivo
GOV,7,centralizada,fracao_porta1,0,COMPLETO,0.5427083333333333,0.4923967195132174,0.5930199471534493,4,positivo,positivo
GOV,8,adaptativa,atraso_relativo,0,COMPLETO,2.3750493249677187,1.267855803525667,3.48224284640977,4,positivo,positivo
GOV,8,adaptativa,taxa_omissao,0,COMPLETO,0.07395833333333332,0.027587139701434844,0.1203295269652318,4,positivo,positivo
