perfil_adaptativa,perfil_centralizada,metrica,estimando,pares_previstos,pares_retidos,pares_indefinidos,estatuto,media,ic95_inf,ic95_sup,N_instancias,sinal,evidencia
0,14,atraso_relativo,pares_completos,16,16,0,COMPLETO,0.6675289188266204,-0.02126139029802354,1.3563192279512641,4,positivo,inclui_zero
0,14,taxa_omissao,observado,16,16,0,COMPLETO,0.10416666666666666,0.05425711359722816,0.15407621973610516,4,positivo,positivo
0,14,taxa_omissao,pares_completos,16,16,0,COMPLETO,0.10416666666666666,0.05425711359722816,0.15407621973610516,4,positivo,positivo
0,14,divida_latente_sobre_plano,observado,16,16,0,COMPLETO,0.05580298602740592,0.0371372418364445,0.07446873021836733,4,positivo,positivo
0,14,divida_latente_sobre_plano,pares_completos,16,16,0,COMPLETO,0.05580298602740592,0.0371372418364445,0.07446873021836733,4,positivo,positivo
0,14,taxa_falha_efetiva,observado,16,16,0,COMPLETO,-0.005208333333333334,-0.0340448071653312,0.02362814049866454,4,negativo,inclui_zero
0,14,taxa_falha_efetiva,pares_completos,16,16,0,COMPLETO,-0.005208333333333334,-0.0340448071653312,0.02362814049866454,4,negativo,inclui_zero
0,14,fracao_porta1,observado,16,16,0,COMPLETO,-0.019791666666666666,-0.06951739018673328,0.029934056853399955,4,negativo,inclui_zero
0,14,fracao_porta1,pares_completos,16,16,0,COMPLETO,-0.019791666666666666,-0.06951739018673328,0.029934056853399955,4,negativo,inclui_zero
0,15,atraso_relativo,observado,16,16,0,COMPLETO,0.2505593850176735,-0.07689823096037196,0.578017000995719,4,positivo,inclui_zero
0,15,atraso_relativo,pares_completos,16,16,0,COMPLETO,0.2505593850176735,-0.07689823096037196,0.578017000995719,4,positivo,inclui_zero
0,15,taxa_omissao,observado,16,16,0,COMPLETO,0.18854166666666666,0.14825780577258635,0.22882552756074698,4,positivo,positivo
0,15,taxa_omissao,pares_completos,16,16,0,COMPLETO,0.18854166666666666,0.14825780577258635,0.22882552756074698,4,positivo,positivo
0,15,divida_latente_sobre_plano,observado,16,16,0,COMPLETO,0.052290653030725484,0.041778709250409975,0.06280259681104099,4,positivo,positivo
0,15,divida_latente_sobre_plano,pares_completos,16,16,0,COMPLETO,0.052290653030725484,0.041778709250409975,0.06280259681104099,4,positivo,positivo
0,15,taxa_falha_efetiva,observado,16,16,0,COMPLETO,-0.010416666666666664,-0.03609491987617765,0.015261586542844322,4,negativo,inclui_zero
0,15,taxa_falha_efetiva,pares_completos,16,16,0,COMPLETO,-0.010416666666666664,-0.03609491987617765,0.015261586542844322,4,negativo,inclui_zero
0,15,fracao_porta1,observado,16,16,0,COMPLETO,-0.012499999999999994,-0.07278164021162235,0.04778164021162236,4,negativo,inclui_zero
0,15,fracao_porta1,pares_completos,16,16,0,COMPLETO,-0.012499999999999994,-0.07278164021162235,0.04778164021162236,4,negativo,inclui_zero
0,16,atraso_relativo,observado,16,16,0,COMPLETO,0.6861511506458673,-0.065306170459426,1.4376084717511606,4,positivo,inclui_zero
0,16,atraso_relativo,pares_completos,16,16,0,COMPLETO,0.6861511506458673,-0.065306170459426,1.4376084717511606,4,positivo,inclui_zero
0,16,taxa_omissao,observado,16,16,0,COMPLETO,0.19270833333333337,0.14239671951321742,0.24301994715344932,4,positivo,positivo
0,16,taxa_omissao,pares_completos,16,16,0,COMPLETO,0.19270833333333337,0.14239671951321742,0.24301994715344932,4,positivo,positivo
0,16,divida_latente_sobre_plano,observado,16,16,0,COMPLETO,0.060372514536690625,0.03541467218817837,0.08533035688520288,4,positivo,positivo
0,16,divida_latente_sobre_plano,pares_completos,16,16,0,COMPLETO,0.060372514536690625,0.03541467218817837,0.08533035688520288,4,positivo,positivo
0,16,taxa_falha_efetiva,observado,16,16,0,COMPLETO,-0.004166666666666669,-0.03797365794084523,0.029640324607511894,4,negativo,inclui_zero
0,16,taxa_falha_efetiva,pares_completos,16,16,0,COMPLETO,-0.004166666666666669,-0.03797365794084523,0.029640324607511894,4,negativo,inclui_zero
0,16,fracao_porta1,observado,16,16,0,COMPLETO,-0.004166666666666666,-0.040075438895584965,0.031742105562251634,4,negativo,inclui_zero
0,16,fracao_porta1,pares_completos,16,16,0,COMPLETO,-0.004166666666666666,-0.040075438895584965,0.031742105562251634,4,negativo,inclui_zero
0,17,atraso_relativo,observado,16,16,0,COMPLETO,0.633977050647363,-0.1815841594515697,1.4495382607462957,4,positivo,inclui_zero
0,17,atraso_relativo,pares_completos,16,16,0,COMPLETO,0.633977050647363,-0.1815841594515697,1.4495382607462957,4,positivo,inclui_zero
0,17,taxa_omissao,observado,16,16,0,COMPLETO,0.19479166666666667,0.1394856395493814,0.25009769378395197,4,positivo,positivo
0,17,taxa_omissao,pares_completos,16,16,0,COMPLETO,0.19479166666666667,0.1394856395493814,0.25009769378395197,4,positivo,positivo
0,17,divida_latente_sobre_plano,observado,16,16,0,COMPLETO,0.06657006981606076,0.04831090398029235,0.08482923565182916,4,positivo,positivo
0,17,divida_latente_sobre_plano,pares_completos,16,16,0,COMPLETO,0.06657006981606076,0.04831090398029235,0.08482923565182916,4,positivo,positivo
0,17,taxa_falha_efetiva,observado,16,16,0,COMPLETO,-0.007291666666666672,-0.06569048573897467,0.05110715240564133,4,negativo,inclui_zero
0,17,taxa_falha_efetiva,pares_completos,16,16,0,COMPLETO,-0.007291666666666672,-0.06569048573897467,0.05110715240564133,4,negativo,inclui_zero
0,17,fracao_porta1,observado,16,16,0,COMPLETO,-0.0031249999999999924,-0.0651733993425133,0.05892339934251331,4,negativo,inclui_zero
0,17,fracao_porta1,pares_completos,16,16,0,COMPLETO,-0.0031249999999999924,-0.0651733993425133,0.05892339934251331,4,negativo,inclui_zero
0,18,atraso_relativo,observado,16,16,0,COMPLETO,0.0,0.0,0.0,4,zero,inclui_zero
0,18,atraso_relativo,pares_completos,16,16,0,COMPLETO,0.0,0.0,0.0,4,zero,inclui_zero
0,18,taxa_omissao,observado,16,16,0,COMPLETO,0.0,0.0,0.0,4,zero,inclui_zero
0,18,taxa_omissao,pares_completos,16,16,0,COMPLETO,0.0,0.0,0.0,4,zero,inclui_zero
0,18,divida_latente_sobre_plano,observado,16,16,0,COMPLETO,0.0,0.0,0.0,4,zero,inclui_zero
0,18,divida_latente_sobre_plano,pares_completos,16,16,0,COMPLETO,0.0,0.0,0.0,4,zero,inclui_zero
0,18,taxa_falha_efetiva,observado,16,16,0,COMPLETO,0.0,0.0,0.0,4,zero,inclui_zero
0,18,taxa_falha_efetiva,pares_completos,16,16,0,COMPLETO,0.0,0.0,0.0,4,zero,inclui_zero
0,18,fracao_porta1,observado,16,16,0,COMPLETO,0.0,0.0,0.0,4,zero,inclui_zero
0,18,fracao_porta1,pares_completos,16,16,0,COMPLETO,0.0,0.0,0.0,4,zero,inclui_zero
0,19,atraso_relativo,observado,16,16,0,COMPLETO,0.5430826796139253,-0.11902670931448944,1.20519206854234,4,positivo,inclui_zero
0,19,atraso_relativo,pares_completos,16,16,0,COMPLETO,0.5430826796139253,-0.11902670931448944,1.20519206854234,4,positivo,inclui_zero
0,19,taxa_omissao,observado,16,16,0,COMPLETO,0.004166666666666664,-0.026931242302285732,0.03526457563561906,4,positivo,inclui_zero
0,19,taxa_omissao,pares_completos,16,16,0,COMPLETO,0.004166666666666664,-0.026931242302285732,0.03526457563561906,4,positivo,inclui_zero
0,19,divida_latente_sobre_plano,observado,16,16,0,COMPLETO,0.03306423014429394,0.003821063836482924,0.06230739645210495,4,positivo,positivo
0,19,divida_latente_sobre_plano,pares_completos,16,16,0,COMPLETO,0.03306423014429394,0.003821063836482924,0.06230739645210495,4,positivo,positivo
0,19,taxa_falha_efetiva,observado,16,16,0,COMPLETO,-0.0020833333333333363,-0.027184473448805608,0.023017806782138935,4,negativo,inclui_zero
0,19,taxa_falha_efetiva,pares_completos,16,16,0,COMPLETO,-0.0020833333333333363,-0.027184473448805608,0.023017806782138935,4,negativo,inclui_zero
