metrica,fator,nivel,n_inst,media,ic95_inf,ic95_sup,N_inst,exclui_zero
atraso_relativo,RS,0.5099,1,-0.9377510040160643,,,1,False
taxa_omissao,RS,0.5099,1,-0.23750000000000002,,,1,False
divida_latente_sobre_plano,RS,0.5099,1,-0.08502117631301122,,,1,False
taxa_falha_efetiva,RS,0.5099,1,-0.05833333333333334,,,1,False
fracao_porta1,RS,0.5099,1,-0.10694444444444445,,,1,False
atraso_relativo,RS,0.5109,1,-1.0551643192488263,,,1,False
taxa_omissao,RS,0.5109,1,-0.23055555555555554,,,1,False
divida_latente_sobre_plano,RS,0.5109,1,-0.09513392984329949,,,1,False
taxa_falha_efetiva,RS,0.5109,1,-0.038888888888888876,,,1,False
fracao_porta1,RS,0.5109,1,-0.059722222222222204,,,1,False
atraso_relativo,RS,0.5525,1,-1.1549145299145298,,,1,False
taxa_omissao,RS,0.5525,1,-0.1958333333333334,,,1,False
divida_latente_sobre_plano,RS,0.5525,1,-0.0762428816631235,,,1,False
taxa_falha_efetiva,RS,0.5525,1,-0.06388888888888888,,,1,False
fracao_porta1,RS,0.5525,1,-0.13333333333333333,,,1,False
atraso_relativo,RS,0.6967,1,-1.304232804232804,,,1,False
taxa_omissao,RS,0.6967,1,-0.24027777777777778,,,1,False
divida_latente_sobre_plano,RS,0.6967,1,-0.09024573366433453,,,1,False
taxa_falha_efetiva,RS,0.6967,1,-0.0763888888888889,,,1,False
fracao_porta1,RS,0.6967,1,-0.20555555555555557,,,1,False
atraso_relativo,RS,0.6992,1,-1.0532128514056225,,,1,False
taxa_omissao,RS,0.6992,1,-0.22777777777777777,,,1,False
divida_latente_sobre_plano,RS,0.6992,1,-0.07245265001147368,,,1,False
taxa_falha_efetiva,RS,0.6992,1,-0.08750000000000001,,,1,False
fracao_porta1,RS,0.6992,1,-0.13611111111111115,,,1,False
atraso_relativo,RS,0.6997,1,-1.2554824561403508,,,1,False
taxa_omissao,RS,0.6997,1,-0.1722222222222222,,,1,False
divida_latente_sobre_plano,RS,0.6997,1,-0.08364162854837881,,,1,False
taxa_falha_efetiva,RS,0.6997,1,0.005555555555555552,,,1,False
fracao_porta1,RS,0.6997,1,-0.11666666666666668,,,1,False
atraso_relativo,RS,0.7001,1,-1.1073232323232325,,,1,False
taxa_omissao,RS,0.7001,1,-0.24861111111111112,,,1,False
divida_latente_sobre_plano,RS,0.7001,1,-0.089481212737819,,,1,False
taxa_falha_efetiva,RS,0.7001,1,-0.020833333333333343,,,1,False
fracao_porta1,RS,0.7001,1,-0.10277777777777776,,,1,False
atraso_relativo,RS,0.7002,1,-0.9414414414414415,,,1,False
taxa_omissao,RS,0.7002,1,-0.17222222222222225,,,1,False
divida_latente_sobre_plano,RS,0.7002,1,-0.07280834803155069,,,1,False
taxa_falha_efetiva,RS,0.7002,1,-0.04861111111111114,,,1,False
fracao_porta1,RS,0.7002,1,-0.09166666666666667,,,1,False
atraso_relativo,RS,0.7021,1,-1.0810185185185184,,,1,False
taxa_omissao,RS,0.7021,1,-0.24305555555555558,,,1,False
divida_latente_sobre_plano,RS,0.7021,1,-0.07783792535047945,,,1,False
taxa_falha_efetiva,RS,0.7021,1,-0.0638888888888889,,,1,False
fracao_porta1,RS,0.7021,1,-0.19722222222222222,,,1,False
atraso_relativo,RS,0.7042,1,-1.1992753623188406,,,1,False
taxa_omissao,RS,0.7042,1,-0.26666666666666666,,,1,False
divida_latente_sobre_plano,RS,0.7042,1,-0.09787468306414611,,,1,False
taxa_falha_efetiva,RS,0.7042,1,-0.05277777777777779,,,1,False
fracao_porta1,RS,0.7042,1,-0.11944444444444446,,,1,False
atraso_relativo,RS,0.7052,1,-1.0341880341880343,,,1,False
taxa_omissao,RS,0.7052,1,-0.1722222222222222,,,1,False
divida_latente_sobre_plano,RS,0.7052,1,-0.06765111055311539,,,1,False
taxa_falha_efetiva,RS,0.7052,1,-0.03888888888888888,,,1,False
fracao_porta1,RS,0.7052,1,-0.1013888888888889,,,1,False
atraso_relativo,RS,0.7081,1,-0.8115079365079366,,,1,False
taxa_omissao,RS,0.7081,1,-0.23611111111111108,,,1,False
divida_latente_sobre_plano,RS,0.7081,1,-0.09030198966462828,,,1,False
taxa_falha_efetiva,RS,0.7081,1,-0.04583333333333336,,,1,False
fracao_porta1,RS,0.7081,1,-0.06666666666666667,,,1,False
atraso_relativo,RS,0.7097,1,-1.9147727272727275,,,1,False
taxa_omissao,RS,0.7097,1,-0.2388888888888889,,,1,False
divida_latente_sobre_plano,RS,0.7097,1,-0.10503435776145105,,,1,False
taxa_falha_efetiva,RS,0.7097,1,-0.02361111111111112,,,1,False
fracao_porta1,RS,0.7097,1,-0.06944444444444446,,,1,False
atraso_relativo,RS,0.7121,1,-1.3138888888888889,,,1,False
taxa_omissao,RS,0.7121,1,-0.2222222222222222,,,1,False
divida_latente_sobre_plano,RS,0.7121,1,-0.07682438077293764,,,1,False
taxa_falha_efetiva,RS,0.7121,1,-0.027777777777777752,,,1,False
fracao_porta1,RS,0.7121,1,-0.11944444444444442,,,1,False
atraso_relativo,RS,0.7177,1,-1.1666666666666667,,,1,False
taxa_omissao,RS,0.7177,1,-0.17222222222222225,,,1,False
divida_latente_sobre_plano,RS,0.7177,1,-0.07490277340057543,,,1,False
taxa_falha_efetiva,RS,0.7177,1,0.002777777777777784,,,1,False
fracao_porta1,RS,0.7177,1,-0.026388888888888868,,,1,False
atraso_relativo,RS,1.0,12,-1.0800289947977109,-1.2299213627546575,-0.9301366268407643,12,True
taxa_omissao,RS,1.0,12,-0.22546296296296298,-0.24372456353282512,-0.20720136239310083,12,True
divida_latente_sobre_plano,RS,1.0,12,-0.08958703072046109,-0.09865159833048497,-0.08052246311043722,12,True
taxa_falha_efetiva,RS,1.0,12,-0.043750000000000004,-0.06110999027024669,-0.026390009729753323,12,True
fracao_porta1,RS,1.0,12,-0.11365740740740742,-0.1391109214901173,-0.08820389332469752,12,True
