arquivo,semente,cenario,lei,concluiu,makespan,makespan_cpm,E_total,S_UR_final,S_UR_maximo,S_PV_final,TW,TL,TU,TR,n_limpas,n_com_erro,n_reportadas,n_adiamentos,taxa_omissao,E_plano,retrabalho_sobre_plano,divida_latente_sobre_plano,retrabalho_sobre_esforco_realizado,N_req,N_success,N_fail,N_blocked,violacoes
j6010_1.sm,3,adaptativa,crowder_eq3,True,149,85,0.7666122635915347,8.881784197001252e-16,5.085930124891899,303.0,406.0,12.083046258027347,57.0,54.51975203000572,55,5,14,0,0.08333333333333333,323.0,0.1687918019504821,0.015745913699355723,0.10294460717776319,166,112,54,0,0
j6010_1.sm,4,centralizada,unitario,True,251,85,0.6995082932743885,0.0,30.304565184460557,240.0,525.0,0.0,147.0,78.52719895926086,45,15,4,0,0.25,323.0,0.24311826303176737,0.09382218323362401,0.10462938460878267,0,0,0,138,0
j6010_1.sm,4,centralizada,crowder_eq3,True,251,85,0.6995082932743885,0.0,30.304565184460557,240.0,525.0,0.0,147.0,78.52719895926086,45,15,4,0,0.25,323.0,0.24311826303176737,0.09382218323362401,0.10462938460878267,0,0,0,138,0
j6010_1.sm,4,adaptativa,unitario,True,150,85,0.5819768469572012,0.0,5.357262549917917,277.0,393.0,174.0,61.0,47.284596036346066,54,6,6,0,0.1,323.0,0.14639193819302188,0.016585952166928535,0.07002173056202965,227,174,53,0,0
j6010_1.sm,4,adaptativa,crowder_eq3,True,150,85,0.7585635748740174,0.0,5.357262549917917,277.0,393.0,16.79986387892153,61.0,47.284596036346066,54,6,6,0,0.1,323.0,0.14639193819302188,0.016585952166928535,0.09126812266108007,227,174,53,0,0
j6010_1.sm,5,centralizada,unitario,True,177,85,0.7634351147685857,0.0,16.878011683942027,253.0,511.0,0.0,84.0,74.34306546129403,48,12,7,0,0.2,323.0,0.2301642893538515,0.05225390614223538,0.11106870198178374,0,0,0,77,0
j6010_1.sm,5,centralizada,crowder_eq3,True,177,85,0.7634351147685857,0.0,16.878011683942027,253.0,511.0,0.0,84.0,74.34306546129403,48,12,7,0,0.2,323.0,0.2301642893538515,0.05225390614223538,0.11106870198178374,0,0,0,77,0
j6010_1.sm,5,adaptativa,unitario,True,128,85,0.6808805721277464,0.0,4.752174040220872,291.0,382.0,76.0,41.0,62.038184429690766,54,6,12,0,0.1,323.0,0.19206868244486305,0.014712613127618799,0.11057747253469764,114,76,38,0,0
j6010_1.sm,5,adaptativa,crowder_eq3,True,128,85,0.7747112656188143,0.0,4.752174040220872,291.0,382.0,8.048746086119904,41.0,62.038184429690766,54,6,12,0,0.1,323.0,0.19206868244486305,0.014712613127618799,0.12581591721523339,114,76,38,0,0
j6010_1.sm,6,centralizada,unitario,True,233,85,0.7728134139958569,8.881784197001252e-16,30.6034846964953,232.0,522.0,0.0,98.0,55.454114209770275,45,15,1,0,0.25,323.0,0.17168456411693583,0.09474763063930433,0.08209901019649181,0,0,0,95,0
