metrica,sentido,braco,media_referencia_centralizada,media_braco,efeito_total_adaptativa,fracao_do_efeito_total_pct,dif_absoluta,dif_relativa_pct,p_valor,d_cohen_pareado,prop_instancias_com_dif,n_instancias
E_total,maior e melhor,so_tau_inicial,0.7839008771073722,0.8868498869026942,0.10463105730580514,98.39240130627078,0.10294900979532196,13.13291167311972,3.0517578125e-05,3.279640666523442,1.0,16
E_total,maior e melhor,so_tau_min,0.7839008771073722,0.7839008771073722,0.10463105730580514,0.0,0.0,0.0,,,0.0,16
E_total,maior e melhor,so_p_reporte,0.7839008771073722,0.7883858245654378,0.10463105730580514,4.28643996682309,0.004484947458065602,0.5721319606906489,0.033538818359375,0.48175491447069585,1.0,16
E_total,maior e melhor,so_p_deteccao,0.7839008771073722,0.7858008053567429,0.10463105730580514,1.81583585055223,0.0018999282493706582,0.24236843009813622,0.743560791015625,0.14678906238658496,1.0,16
E_total,maior e melhor,so_par_tau,0.7839008771073722,0.8868498869026942,0.10463105730580514,98.39240130627078,0.10294900979532196,13.13291167311972,3.0517578125e-05,3.279640666523442,1.0,16
E_total,maior e melhor,sem_par_tau,0.7839008771073722,0.7878586493912151,0.10463105730580514,3.7825980026900536,0.003957772283842871,0.5048817266855499,0.07391357421875,0.4343213054149416,1.0,16
TL,informativa,centralizada,0.0,0.0,10.489583333333334,0.0,0.0,0.0,,,0.0,16
TL,informativa,adaptativa,0.0,10.489583333333334,10.489583333333334,100.00000000000001,10.489583333333334,,0.00043680902321148305,6.443840540614198,1.0,16
TL,informativa,so_tau_inicial,0.0,10.385416666666668,10.489583333333334,99.00695134061569,10.385416666666668,,0.0004358423668112835,5.911889257336124,1.0,16
TL,informativa,so_tau_min,0.0,0.0,10.489583333333334,0.0,0.0,0.0,,,0.0,16
TL,informativa,so_p_reporte,0.0,0.0,10.489583333333334,0.0,0.0,0.0,,,0.0,16
TL,informativa,so_p_deteccao,0.0,0.0,10.489583333333334,0.0,0.0,0.0,,,0.0,16
TL,informativa,so_par_tau,0.0,10.385416666666668,10.489583333333334,99.00695134061569,10.385416666666668,,0.0004358423668112835,5.911889257336124,1.0,16
TL,informativa,sem_par_tau,0.0,0.0,10.489583333333334,0.0,0.0,0.0,,,0.0,16
TU,menor e melhor,centralizada,126.265625,126.265625,-120.32291666666666,-0.0,0.0,0.0,,,0.0,16
TU,menor e melhor,adaptativa,126.265625,5.942708333333333,-120.32291666666666,100.0,-120.32291666666666,-95.29348677968898,3.0517578125e-05,-4.4932606136434945,1.0,16
TU,menor e melhor,so_tau_inicial,126.265625,6.177083333333334,-120.32291666666666,99.80521166998528,-120.08854166666666,-95.10786618817802,3.0517578125e-05,-4.480756109212074,1.0,16
