celula,arquivo,semente,A,B,C,D,atraso_relativo,E_total,TW,TL,TU,TR,n_com_erro,taxa_omissao,S_UR_maximo,retrabalho_sobre_plano,divida_latente_sobre_plano,p2_ajuda
0111,j6024_1.sm,4,0,1,1,1,2.3230769230769237,0.8006861762981179,557.0,0.0,92.0,46.653323971729634,3,0.05,5.5,0.1642722675060902,0.0193661971830985,0
0111,j6024_1.sm,5,0,1,1,1,2.246153846153846,0.8024000302737891,558.0,0.0,76.0,61.413732486529504,2,0.0333333333333333,3.5,0.2162455369243996,0.0123239436619718,0
0111,j6024_1.sm,6,0,1,1,1,2.2153846153846155,0.8112057018639401,569.0,0.0,87.0,45.425050012081634,2,0.0333333333333333,3.0,0.1599473591974705,0.0105633802816901,0
0111,j6024_1.sm,7,0,1,1,1,2.2,0.7836867030036586,525.0,0.0,110.0,34.91056245795338,1,0.0166666666666666,5.0,0.1229245156970189,0.0176056338028169,0
0111,j6024_1.sm,8,0,1,1,1,2.6615384615384614,0.694497635034334,629.0,0.0,226.0,50.690629124898194,2,0.0333333333333333,6.432781116422038,0.1784881307214725,0.0226506377338804,0
0111,j6024_1.sm,9,0,1,1,1,2.2153846153846155,0.7571061845849496,538.0,0.0,110.0,62.600455991434046,3,0.05,10.46845864447773,0.2204241408149086,0.0368607698749215,0
0111,j6024_1.sm,10,0,1,1,1,2.5384615384615383,0.7141003768571342,622.0,0.0,209.0,40.02600720856334,2,0.0333333333333333,3.0214265433897136,0.1409366451005751,0.010638825857006,0
0111,j6024_1.sm,11,0,1,1,1,2.1846153846153844,0.7835226644002331,544.0,0.0,84.0,66.30027326193346,6,0.1,5.5,0.2334516664152586,0.0193661971830985,0
0111,j6027_1.sm,0,0,1,1,1,2.0625,0.8218651094565551,585.0,0.0,100.0,26.7956380783967,5,0.0833333333333333,3.0,0.0774440406890078,0.0086705202312138,0
0111,j6027_1.sm,1,0,1,1,1,2.1875,0.7850251191584311,609.0,0.0,99.0,67.77135449228051,5,0.0833333333333333,9.307769572724476,0.1958709667406951,0.0269010681292614,0
0111,j6027_1.sm,2,0,1,1,1,2.1041666666666665,0.8954655575441053,625.0,0.0,43.0,29.96095978735193,2,0.0333333333333333,4.0,0.0865923693276067,0.0115606936416184,0
0111,j6027_1.sm,3,0,1,1,1,2.2916666666666665,0.806741069766882,635.0,0.0,106.0,46.11748266825101,1,0.0166666666666666,12.180013368712746,0.1332875221625752,0.0352023507766264,0
0111,j6027_1.sm,4,0,1,1,1,2.177083333333333,0.8165740876738834,613.0,0.0,107.0,30.697345474443743,2,0.0333333333333333,2.5,0.088720651660242,0.0072254335260115,0
0111,j6027_1.sm,5,0,1,1,1,1.96875,0.7533762168328059,556.0,0.0,119.0,63.01108606457522,1,0.0166666666666666,1.5,0.1821129655045526,0.0043352601156069,0
0111,j6027_1.sm,6,0,1,1,1,2.177083333333333,0.8339523127042537,627.0,0.0,45.0,79.84155070789328,6,0.1,8.861001455520485,0.2307559269014256,0.0256098307963019,0
0111,j6027_1.sm,7,0,1,1,1,2.09375,0.7544598446352321,620.0,0.0,160.0,41.779985255224574,2,0.0333333333333333,4.5,0.1207514024717473,0.0130057803468208,0
0111,j6027_1.sm,8,0,1,1,1,2.40625,0.6392713308094097,729.0,0.0,305.0,106.36085284315948,4,0.0666666666666666,13.470380194518125,0.3074013087952586,0.0389317346662373,0
0111,j6027_1.sm,9,0,1,1,1,1.8854166666666667,0.7319021558861096,577.0,0.0,149.0,62.35674326089327,2,0.0333333333333333,6.038362038824952,0.1802218013320614,0.0174519134070085,0
0111,j6027_1.sm,10,0,1,1,1,2.375,0.7136992416554044,618.0,0.0,204.0,43.910966314840266,6,0.1,4.295638078396699,0.1269103072683244,0.0124151389549037,0
0111,j6027_1.sm,11,0,1,1,1,2.052083333333333,0.7653164004719692,583.0,0.0,117.0,61.776436047189065,5,0.0833333333333333,9.266294953321774,0.1785446128531476,0.0267811992870571,0
0111,j602_1.sm,0,0,1,1,1,2.4461538461538463,0.8294190668572337,655.0,0.0,85.0,49.70935944584927,3,0.05,10.805977251739993,0.1534239489069422,0.0333517816411728,0
0111,j602_1.sm,1,0,1,1,1,2.6,0.8320411188353891,700.0,0.0,86.0,55.30457516305498,8,0.1333333333333333,14.031286937007703,0.1706931332193055,0.043306441163604,0
0111,j602_1.sm,2,0,1,1,1,2.476923076923077,0.838744552357168,705.0,0.0,72.0,63.54197194926786,3,0.05,8.28566484716902,0.1961171973742835,0.0255730396517562,0
