etapa,arquivo,cenario,P_max,semente,P_realizada_media,mu_cog_medio,defeitos_gerados,S_UR_maximo,fracao_heuristica
confirmatorio,j6010_1.sm,centralizada,0.2,1064,0.2,0.9833731323799269,17,20.5,0.4451612903225806
confirmatorio,j6010_1.sm,centralizada,0.2,1065,0.2,0.9532333217793074,14,24.633091701276182,0.2144249512670565
confirmatorio,j6010_1.sm,centralizada,0.2,1066,0.2,0.9775762731103842,11,16.5,0.294238683127572
confirmatorio,j6010_1.sm,centralizada,0.2,1067,0.2,0.9828019931342636,13,13.5,0.4267515923566879
confirmatorio,j6010_1.sm,centralizada,0.2,1068,0.2,0.9895943954146472,9,7.5,0.3515283842794759
confirmatorio,j6010_1.sm,centralizada,0.2,1069,0.1999999999999999,0.982239004068016,10,8.0,0.2978723404255319
confirmatorio,j6010_1.sm,centralizada,0.2,1070,0.1999999999999999,0.9817064929313988,13,16.5,0.3723404255319149
confirmatorio,j6010_1.sm,centralizada,0.2,1071,0.1999999999999999,0.9714238903617956,10,11.0,0.2153209109730849
confirmatorio,j6010_1.sm,centralizada,0.2,1072,0.2,0.9847384607587414,9,11.5,0.4048140043763676
confirmatorio,j6010_1.sm,centralizada,0.2,1073,0.2,0.9846216676638884,13,14.0,0.4248927038626609
confirmatorio,j6010_1.sm,centralizada,0.2,1074,0.1999999999999999,0.9709005684830916,13,14.5,0.1033057851239669
confirmatorio,j6010_1.sm,centralizada,0.2,1075,0.1999999999999999,0.9904586414202992,12,20.5,0.4660831509846827
confirmatorio,j6010_1.sm,centralizada,0.2,1076,0.2,0.975082478424104,14,10.0,0.2871900826446281
confirmatorio,j6010_1.sm,centralizada,0.2,1077,0.1999999999999999,0.9894186523439532,12,16.0,0.5626373626373626
confirmatorio,j6010_1.sm,centralizada,0.2,1078,0.1999999999999999,0.986813818129033,10,13.5,0.2875536480686695
confirmatorio,j6010_1.sm,centralizada,0.2,1079,0.1999999999999999,0.9762568274450576,9,9.5,0.2165605095541401
confirmatorio,j6010_1.sm,centralizada,0.2,1080,0.1999999999999999,0.961304923027516,21,22.107999406712334,0.3205645161290322
