arquivo,combinacao,makespan_cpm,makespan_recursos,razao_makespan,ativas_media,ativas_p90,ativas_max
j6025_4.sm,25,78,139,1.7820512820512822,2.41726618705036,3.0,4
j6025_5.sm,25,61,122,2.0,2.319672131147541,3.0,4
j6025_6.sm,25,75,149,1.9866666666666666,2.335570469798658,3.0,5
j6025_7.sm,25,66,112,1.696969696969697,2.5267857142857144,3.0,5
j6025_8.sm,25,57,134,2.3508771929824563,2.4328358208955225,3.0,4
j6025_9.sm,25,69,125,1.8115942028985508,2.296,3.6000000000000085,4
j6026_1.sm,26,80,83,1.0375,3.8433734939759034,5.799999999999997,7
j6026_10.sm,26,85,85,1.0,3.6941176470588237,5.0,6
j6026_2.sm,26,63,77,1.2222222222222223,3.831168831168831,5.0,6
j6026_3.sm,26,71,86,1.2112676056338028,4.034883720930233,6.0,8
j6026_4.sm,26,65,82,1.2615384615384615,3.8048780487804876,5.0,7
j6026_5.sm,26,61,64,1.0491803278688525,4.5625,6.0,7
j6026_6.sm,26,73,86,1.178082191780822,3.8372093023255816,5.0,6
j6026_7.sm,26,72,72,1.0,4.138888888888889,6.0,8
j6026_8.sm,26,89,90,1.0112359550561798,3.8333333333333335,6.0,7
j6026_9.sm,26,62,83,1.3387096774193548,4.373493975903615,7.0,7
j6027_1.sm,27,96,97,1.0104166666666667,3.5670103092783507,6.0,6
j6027_10.sm,27,57,63,1.105263157894737,5.174603174603175,8.0,9
j6027_2.sm,27,74,74,1.0,3.7432432432432434,5.0,7
j6027_3.sm,27,76,76,1.0,3.986842105263158,5.0,6
j6027_4.sm,27,60,61,1.0166666666666666,4.950819672131147,8.0,9
j6027_5.sm,27,78,78,1.0,4.410256410256411,8.0,9
j6027_6.sm,27,64,64,1.0,5.4375,8.0,10
j6027_7.sm,27,83,83,1.0,4.072289156626506,7.0,7
j6027_8.sm,27,88,88,1.0,3.6931818181818183,5.0,6
j6027_9.sm,27,76,76,1.0,4.25,7.0,9
j6028_1.sm,28,92,92,1.0,3.847826086956522,6.0,7
j6028_10.sm,28,74,74,1.0,5.45945945945946,11.0,14
j6028_2.sm,28,64,64,1.0,4.796875,8.0,9
j6028_3.sm,28,72,72,1.0,4.263888888888889,6.899999999999999,8
j6028_4.sm,28,84,84,1.0,3.9404761904761907,6.0,7
j6028_5.sm,28,71,71,1.0,4.661971830985915,8.0,9
j6028_6.sm,28,89,89,1.0,3.8876404494382024,7.0,8
j6028_7.sm,28,75,75,1.0,4.426666666666667,9.0,11
j6028_8.sm,28,62,62,1.0,5.145161290322581,7.0,9
j6028_9.sm,28,74,74,1.0,4.6891891891891895,7.0,9
j6029_1.sm,29,59,131,2.2203389830508473,2.3435114503816794,3.0,4
j6029_10.sm,29,70,147,2.1,2.3945578231292517,3.0,4
j6029_2.sm,29,88,166,1.8863636363636365,1.9096385542168675,2.0,3
j6029_3.sm,29,72,170,2.361111111111111,2.0352941176470587,3.0,4
j6029_4.sm,29,75,164,2.1866666666666665,2.182926829268293,3.0,3
