arquivo,semente,cenario,concluiu,makespan,makespan_cpm,atraso_relativo,E_total,S_UR_maximo,n_com_erro,n_reportadas,taxa_omissao,E_plano,retrabalho_sobre_plano,divida_latente_sobre_plano,retrabalho_sobre_esforco_realizado,TW,TL,TU,TR
j602_1.sm,2,centralizada,True,333,65,5.123076923076923,0.8706081361737347,26.005247064134096,14,0,0.23333333333333334,324.0,0.13599761316124456,0.0802631082226361,0.05641441711758472,680.0,0.0,57.0,44.06322666424324
j602_1.sm,2,adaptativa,True,125,65,1.9230769230769231,0.8893998969846146,2.053622942678375,1,11,0.016666666666666666,324.0,0.14244123013256937,0.006338342415673997,0.07601232924376139,540.0,11.0,10.0,46.150958562952475
j602_1.sm,3,centralizada,True,256,65,3.9384615384615387,0.7929854673133355,25.7260332467844,11,2,0.18333333333333332,324.0,0.13714421306509436,0.07940133718143333,0.0506994117918056,695.0,0.0,137.0,44.43472503309057
j602_1.sm,3,adaptativa,True,126,65,1.9384615384615385,0.8679524942778392,2.0,1,13,0.016666666666666666,324.0,0.19331017998594519,0.006172839506172839,0.10256987384102666,530.0,10.0,8.0,62.63249831544624
j602_1.sm,4,centralizada,True,178,65,2.7384615384615385,0.7927855640443673,27.419350479107354,13,3,0.21666666666666667,324.0,0.21302384288872153,0.08462762493551652,0.07526525679556609,727.0,0.0,121.0,69.01972509594577
j602_1.sm,4,adaptativa,True,121,65,1.8615384615384616,0.9073456863133637,6.181170502017524,4,7,0.06666666666666667,324.0,0.10096574375043399,0.019077686734621988,0.05642948590606475,526.0,11.0,10.0,32.71290097514061
j602_1.sm,5,centralizada,True,161,65,2.476923076923077,0.8163074912851692,31.377799630123803,15,5,0.25,324.0,0.25082892441904936,0.09684506058680187,0.10206175958631379,650.0,0.0,65.0,81.268571511772
j602_1.sm,5,adaptativa,True,128,65,1.9692307692307693,0.8887314179405217,5.0,2,10,0.03333333333333333,324.0,0.14617909252757755,0.015432098765432098,0.07489701157436804,562.0,12.0,11.0,47.36202597893512
j602_1.sm,6,centralizada,True,162,65,2.4923076923076923,0.8506615359008403,27.974648921415955,13,2,0.21666666666666667,324.0,0.15023345510159308,0.08634150901671592,0.06125221038161715,676.0,0.0,70.0,48.67563945291616
j602_1.sm,6,adaptativa,True,126,65,1.9384615384615385,0.8897368349217074,4.5,5,11,0.08333333333333333,324.0,0.148313392882403,0.013888888888888888,0.08021576727605857,533.0,11.0,7.0,48.053539293898574
j602_1.sm,7,centralizada,True,234,65,3.6,0.7721677828077773,37.78027693674525,13,2,0.21666666666666667,324.0,0.23830800017366244,0.11660579301464584,0.08965482447925197,665.0,0.0,119.0,77.21179205626663
j602_1.sm,7,adaptativa,True,131,65,2.0153846153846153,0.8607513639967626,6.706742189467985,5,11,0.08333333333333333,324.0,0.19478102769027417,0.02069982157243205,0.09752460220088092,557.0,10.0,17.0,63.10905297164883
j602_1.sm,8,centralizada,True,185,65,2.8461538461538463,0.744192302013285,34.25947942294545,14,2,0.23333333333333334,324.0,0.22470490746288557,0.10573913402143656,0.07546025989435903,718.0,0.0,174.0,72.80439001797492
j602_1.sm,8,adaptativa,True,120,65,1.8461538461538463,0.8605247095752069,6.5,2,12,0.03333333333333333,324.0,0.15569307150676986,0.020061728395061727,0.08331820765021145,521.0,16.0,18.0,50.44455516819344
j602_1.sm,9,centralizada,True,291,65,4.476923076923077,0.7900466271128774,47.66155054610628,13,1,0.21666666666666667,324.0,0.222769126718878,0.14710355106822925,0.08410523759480583,678.0,0.0,108.0,72.17719705691647
j602_1.sm,9,adaptativa,True,128,65,1.9692307692307693,0.9000681377341668,8.404144018410689,3,7,0.05,324.0,0.12126054414130916,0.02593871610620583,0.06622144512223138,534.0,11.0,9.0,39.28841630178417
j602_1.sm,10,centralizada,True,217,65,3.3384615384615386,0.7463883893011245,14.73005698005698,10,1,0.16666666666666666,324.0,0.14788951390792834,0.04546313882733636,0.04693451077428586,762.0,0.0,211.0,47.91620250616879
j602_1.sm,10,adaptativa,True,127,65,1.9538461538461538,0.9107574367538043,10.999430759628112,3,7,0.05,324.0,0.10339816817169847,0.03394886036922257,0.055881484976825546,546.0,16.0,4.0,33.501006487630306
j602_1.sm,11,centralizada,True,166,65,2.5538461538461537,0.7807692569911322,25.992549332885456,13,2,0.21666666666666667,324.0,0.22272386746137235,0.08022391769409092,0.08498082551717993,663.0,0.0,114.0,72.16253305748464
j602_1.sm,11,adaptativa,True,122,65,1.876923076923077,0.8618209814595795,6.0,5,13,0.08333333333333333,324.0,0.20808613960965344,0.018518518518518517,0.10779942921253177,539.0,11.0,8.0,67.41990923352772
j6032_1.sm,0,centralizada,True,205,69,2.971014492753623,0.7792386924206031,20.115479148328525,11,0,0.18333333333333332,337.0,0.15171764842744717,0.05968984910483242,0.05556705200348106,717.0,0.0,152.0,51.128847520049696
j6032_1.sm,0,adaptativa,True,121,69,1.7536231884057971,0.9051715733421549,10.464694196460625,6,7,0.1,337.0,0.12431980889886766,0.03105250503400779,0.0723718799909596,524.0,7.0,6.0,41.895775598918405
j6032_1.sm,1,centralizada,True,205,69,2.971014492753623,0.7689882978631827,27.33644642371605,13,1,0.21666666666666667,337.0,0.1854381980848781,0.08111705170242152,0.06730550987462712,714.0,0.0,152.0,62.49267275460392
j6032_1.sm,1,adaptativa,True,116,69,1.681159420289855,0.9064558673939597,6.5,4,7,0.06666666666666667,337.0,0.12157976531114001,0.019287833827893175,0.07101272481230896,523.0,8.0,5.0,40.97238090985418
j6032_1.sm,2,centralizada,True,339,69,4.913043478260869,0.8031072874325407,24.003963550368102,12,2,0.2,337.0,0.19833938295302733,0.07122837848773918,0.07614182963433977,705.0,0.0,106.0,66.8403720551702
j6032_1.sm,2,adaptativa,True,121,69,1.7536231884057971,0.8970946923756556,6.41067947695044,2,11,0.03333333333333333,337.0,0.14848754206181589,0.01902278776543157,0.0791726438048825,567.0,7.0,8.0,50.04030167483195
j6032_1.sm,3,centralizada,True,174,69,2.5217391304347827,0.7489788877460174,28.20184213125172,11,0,0.18333333333333332,337.0,0.17509309977101625,0.08368499148739383,0.059965439396111125,737.0,0.0,188.0,59.00637462283248
j6032_1.sm,3,adaptativa,True,127,69,1.8405797101449275,0.9016929479523903,8.438154591261195,6,6,0.1,337.0,0.14518156199337634,0.025039034395433816,0.07766971345010784,568.0,7.0,6.0,48.92618639176783
j6032_1.sm,4,centralizada,True,218,69,3.1594202898550723,0.7637419479638451,28.742801614379403,13,1,0.21666666666666667,337.0,0.23036607960485678,0.08529021250557686,0.08350966244338583,710.0,0.0,142.0,77.63336882683673
j6032_1.sm,4,adaptativa,True,125,69,1.8115942028985508,0.9160072022373111,8.231292849298434,3,5,0.05,337.0,0.08970710044302206,0.024425201333229774,0.05264654369373135,526.0,8.0,10.0,30.231292849298434
j6032_1.sm,5,centralizada,True,198,69,2.869565217391304,0.7746143492112745,19.39576137030637,15,3,0.25,337.0,0.19072480217508314,0.05755418804245214,0.07343327845082075,678.0,0.0,133.0,64.27425833300302
j6032_1.sm,5,adaptativa,True,119,69,1.7246376811594204,0.9106039035587098,1.5,2,10,0.03333333333333333,337.0,0.10744628078130107,0.004451038575667656,0.060834719392400635,542.0,6.0,11.0,36.20939662329846
j6032_1.sm,6,centralizada,True,174,69,2.5217391304347827,0.7966566319163744,33.19275457032359,13,3,0.21666666666666667,337.0,0.21318536054459156,0.09849482068345278,0.0835541227005795,685.0,0.0,103.0,71.84346650352735
j6032_1.sm,6,adaptativa,True,121,69,1.7536231884057971,0.9105672943958024,6.330028728388143,5,8,0.08333333333333333,337.0,0.11787658528455983,0.01878346803676007,0.06612750976957017,547.0,6.0,8.0,39.72440924089666
j6032_1.sm,7,centralizada,True,186,69,2.6956521739130435,0.7871956394932375,49.78105080473503,11,3,0.18333333333333332,337.0,0.20760987717104865,0.147718251646098,0.07483121173688799,736.0,0.0,129.0,69.9645286066434
j6032_1.sm,7,adaptativa,True,123,69,1.7826086956521738,0.9104531276080725,3.5,3,8,0.05,337.0,0.09348568212039626,0.010385756676557863,0.0527270767901304,544.0,10.0,12.0,31.50467487457354
j6032_1.sm,8,centralizada,True,186,69,2.6956521739130435,0.7615044434643929,16.01349429266121,10,3,0.16666666666666666,337.0,0.15305427364173177,0.04751778721857926,0.052440398786629816,749.0,0.0,183.0,51.579290217263605
j6032_1.sm,8,adaptativa,True,123,69,1.7826086956521738,0.8529783399777476,6.933533392025308,8,9,0.13333333333333333,337.0,0.19320486882647556,0.020574283062389637,0.10171694965713375,546.0,13.0,16.0,65.11004079452226
j6032_1.sm,9,centralizada,True,183,69,2.652173913043478,0.747067427866667,25.471524507668775,12,2,0.2,337.0,0.20660863864092513,0.07558315877646521,0.07505937502222183,693.0,0.0,165.0,69.62711122199177
j6032_1.sm,9,adaptativa,True,127,69,1.8405797101449275,0.902607536470729,4.5,2,10,0.03333333333333333,337.0,0.12830200401546799,0.013353115727002967,0.07108696155562501,549.0,8.0,8.0,43.23777535321271
j6032_1.sm,10,centralizada,True,173,69,2.5072463768115942,0.7350353555134623,18.910891839391233,12,1,0.2,337.0,0.16944451884470846,0.05611540605160603,0.058620920382898026,716.0,0.0,201.0,57.10280285066675
j6032_1.sm,10,adaptativa,True,126,69,1.826086956521739,0.9059317875080491,11.438154591261195,7,5,0.11666666666666667,337.0,0.13223569412909705,0.033941111546769126,0.07158054400770844,564.0,8.0,6.0,44.56342892150571
j6032_1.sm,11,centralizada,True,197,69,2.8550724637681157,0.8503485400475139,16.0,11,4,0.18333333333333332,337.0,0.15527690679439138,0.04747774480712166,0.06731816711883881,661.0,0.0,64.0,52.3283175897099
j6032_1.sm,11,adaptativa,True,120,69,1.7391304347826086,0.8605141437986344,10.0,7,10,0.11666666666666667,337.0,0.1768150169880044,0.02967359050445104,0.0971120536658267,528.0,6.0,20.0,59.586660724957476
j6035_1.sm,0,centralizada,True,196,78,2.5128205128205128,0.8393539351996586,15.913433435937531,8,0,0.13333333333333333,353.0,0.10306329602348772,0.04508054797716014,0.045172816318731504,676.0,0.0,93.0,36.381343496291166
j6035_1.sm,0,adaptativa,True,134,78,1.7179487179487178,0.9180686417864978,3.0,4,6,0.06666666666666667,353.0,0.09498572455054266,0.0084985835694051,0.05546451448632388,555.0,11.0,5.0,33.52996076634156
j6035_1.sm,1,centralizada,True,358,78,4.589743589743589,0.7665137625034664,36.63784953966748,18,3,0.3,353.0,0.2855713915920858,0.10378994203871807,0.10153708784087773,761.0,0.0,131.0,100.80670123200628
j6035_1.sm,1,adaptativa,True,138,78,1.7692307692307692,0.9213104230937025,6.048953907431375,5,6,0.08333333333333333,353.0,0.1100702596688773,0.017135846763261686,0.0625827513277363,572.0,8.0,2.0,38.85480166311369
j6035_1.sm,2,centralizada,True,332,78,4.256410256410256,0.8399970113399519,14.21196114146934,14,2,0.23333333333333334,353.0,0.16525939130312442,0.040260513148638356,0.06422351292403788,763.0,0.0,87.0,58.336565130002924
j6035_1.sm,2,adaptativa,True,157,78,2.0128205128205128,0.8901272952716651,4.0,3,12,0.05,353.0,0.1572062467111903,0.0113314447592068,0.08773810058303587,563.0,11.0,3.0,55.49380508905017
j6035_1.sm,3,centralizada,True,227,78,2.91025641025641,0.7822155684258383,14.774742437970566,10,3,0.16666666666666666,353.0,0.16202695346460944,0.041854794441842966,0.06070450738552658,737.0,0.0,148.0,57.19551457300713
j6035_1.sm,3,adaptativa,True,158,78,2.0256410256410255,0.884429294689242,4.0,1,13,0.016666666666666666,353.0,0.1537166188917551,0.0113314447592068,0.08678277166807025,553.0,13.0,5.0,54.26196646878955
j6035_1.sm,4,centralizada,True,210,78,2.6923076923076925,0.782440705314857,32.984261918408166,19,1,0.31666666666666665,353.0,0.24248629229005747,0.09343983546291265,0.08800932245167128,761.0,0.0,126.0,85.59766117839028
j6035_1.sm,4,adaptativa,True,131,78,1.6794871794871795,0.920510567190027,5.523766799341408,3,8,0.05,353.0,0.0951298936327119,0.015648064587369427,0.056100779560135795,551.0,11.0,3.0,33.5808524523473
j6035_1.sm,5,centralizada,True,198,78,2.5384615384615383,0.7655641532386669,31.49326670263023,19,1,0.31666666666666665,353.0,0.25547242777008944,0.08921605298195533,0.08989573970455358,768.0,0.0,145.0,90.18176700284157
j6035_1.sm,5,adaptativa,True,137,78,1.7564102564102564,0.913906779669865,5.0,4,8,0.06666666666666667,353.0,0.11742103372415054,0.014164305949008499,0.06553822355555328,578.0,10.0,3.0,41.44962490462514
j6035_1.sm,6,centralizada,True,199,78,2.551282051282051,0.8561910685762102,26.485953441109416,11,1,0.18333333333333332,353.0,0.12404864260514163,0.07503102957821364,0.05087095925812237,737.0,0.0,80.0,43.789170839615
j6035_1.sm,6,adaptativa,True,140,78,1.794871794871795,0.8581966168772517,11.5,6,10,0.1,353.0,0.18216917951405426,0.032577903682719546,0.09182521075884847,601.0,4.0,31.0,64.30572036846115
