tau_min,tau_inicial,empate_exato,valores_distintos_de_confianca,arquivo,semente,atraso_relativo,E_total,TW,TL,TU,TR,n_com_erro,S_UR_maximo,p2_ajuda,p2_bloqueio,p1_omissao,p3_analitica
0.2,0.25,False,1,j6013_1.sm,3,4.231884057971015,0.8880854344233164,706.0,4.0,4.0,80.96856117051988,12,16.51587341010406,4,4,38,22
0.2,0.25,False,1,j6013_1.sm,4,5.2898550724637685,0.8845446132031985,698.0,8.0,2.0,81.10660873546547,19,33.74896453118173,8,2,35,25
0.2,0.25,False,1,j6013_1.sm,5,4.507246376811594,0.8362769611597831,696.0,8.0,3.0,125.26016299045082,15,18.96283452221747,8,3,33,27
0.2,0.25,False,1,j6013_1.sm,6,4.3478260869565215,0.880245669256953,707.0,4.0,1.0,91.18486610312333,16,30.203388446850617,4,1,35,25
0.2,0.25,False,1,j6013_1.sm,7,6.028985507246377,0.8970912895555486,685.0,10.0,3.0,65.5789222068733,7,17.369978365986164,10,3,34,26
0.2,0.25,False,1,j6013_1.sm,8,4.318840579710145,0.8546988902706626,695.0,14.0,4.0,100.151868934696,13,29.34447054944946,14,4,32,28
0.2,0.25,False,1,j6013_1.sm,9,5.043478260869565,0.8660241087433919,701.0,7.0,2.0,99.44628783736384,13,31.60445124589707,7,2,38,22
0.2,0.25,False,1,j6013_1.sm,10,4.579710144927536,0.8970124507601517,697.0,9.0,2.0,69.02377420663908,12,21.25485697961541,9,2,34,26
0.2,0.25,False,1,j6013_1.sm,11,4.202898550724638,0.8997410402066279,694.0,4.0,2.0,71.33304916336931,10,29.32377775067359,4,2,39,21
0.2,0.25,False,1,j6016_1.sm,0,2.9375,0.8911485105635397,810.0,11.0,6.0,81.93940841328076,14,36.58329800801,11,6,40,20
0.2,0.25,False,1,j6016_1.sm,1,4.6875,0.9074702127109164,801.0,9.0,6.0,66.67360049994973,11,25.85640208456936,9,6,39,21
0.2,0.25,False,1,j6016_1.sm,2,4.71875,0.8831060982728629,793.0,11.0,6.0,87.96684854844948,17,34.464395745336745,11,6,34,26
0.2,0.25,False,1,j6016_1.sm,3,3.09375,0.8648224913719739,772.0,9.0,13.0,98.66873572550344,19,49.69583924699499,9,13,33,27
0.2,0.25,False,1,j6016_1.sm,4,2.609375,0.9091742687184968,788.0,11.0,4.0,63.7205255497444,12,34.75063694475997,11,4,32,28
0.2,0.25,False,1,j6016_1.sm,5,2.828125,0.8886737433251874,782.0,12.0,6.0,79.96298514903582,14,28.686135746759504,12,6,35,25
0.2,0.25,False,1,j6016_1.sm,6,2.578125,0.917476668491476,782.0,8.0,5.0,57.33775076348465,12,27.06760654141932,8,5,33,27
0.2,0.25,False,1,j6016_1.sm,7,3.171875,0.8909853809747016,811.0,11.0,4.0,84.22817805697234,16,27.477746120123484,11,4,40,20
0.2,0.25,False,1,j6016_1.sm,8,3.03125,0.8806123502670006,785.0,16.0,5.0,85.42515405557161,12,31.200494259800266,16,5,30,30
0.2,0.25,False,1,j6016_1.sm,9,3.390625,0.8738028028200919,793.0,11.0,4.0,99.52741630112568,16,39.89133824253326,11,4,33,27
0.2,0.25,False,1,j6016_1.sm,10,3.59375,0.9225376974357278,794.0,12.0,4.0,50.66943628102218,11,20.5,12,4,35,25
0.2,0.25,False,1,j6016_1.sm,11,2.8125,0.8874684565565834,796.0,9.0,4.0,87.93328717114638,14,23.5,9,4,36,24
0.2,0.25,False,1,j6019_1.sm,0,2.467741935483871,0.9425605352372154,697.0,8.0,8.0,26.475051143091967,7,20.74495487845697,8,8,34,26
0.2,0.25,False,1,j6019_1.sm,1,3.741935483870968,0.8848406599166181,661.0,7.0,10.0,69.02715408928937,14,21.526659341243203,7,10,21,39
0.2,0.25,False,1,j6019_1.sm,2,2.435483870967742,0.9079276509252074,692.0,6.0,7.0,57.17526726367426,11,21.38308457594377,6,7,30,30
0.2,0.25,False,1,j6019_1.sm,3,3.2580645161290325,0.8792294292097144,667.0,9.0,15.0,67.61882898929528,16,20.501502728307376,9,15,25,35
0.2,0.25,False,1,j6019_1.sm,4,2.370967741935484,0.9424732180571987,690.0,7.0,9.0,26.116294426229345,8,16.14482058913326,7,9,30,30
0.2,0.25,False,1,j6019_1.sm,5,2.4838709677419355,0.9290845095145756,705.0,9.0,3.0,41.81148892294598,7,21.113123139530344,9,3,32,28
0.2,0.25,False,1,j6019_1.sm,6,2.806451612903226,0.9031187404125968,666.0,7.0,14.0,50.444557617897374,16,22.0,7,14,22,38
0.2,0.25,False,1,j6019_1.sm,7,4.774193548387097,0.8669982890822001,685.0,11.0,18.0,76.08229730780377,15,40.62248850870306,11,18,27,33
0.2,0.25,False,1,j6019_1.sm,8,3.2096774193548385,0.9147307691358068,703.0,15.0,3.0,47.53214488910248,13,20.71576147000378,15,3,27,33
0.2,0.25,False,1,j6019_1.sm,9,2.903225806451613,0.8946390926658667,651.0,9.0,10.0,57.66773253797215,11,20.45604691274448,9,10,25,35
0.2,0.25,False,1,j6019_1.sm,10,2.5161290322580645,0.9150556087608062,683.0,12.0,5.0,46.4027251031636,10,22.389509856546372,12,5,24,36
0.2,0.25,False,1,j6019_1.sm,11,2.4516129032258065,0.8914429226557686,703.0,8.0,14.0,63.60909894896765,11,18.5,8,14,29,31
