metrica,termo,ordem,parcela_media,pct_do_contraste,p_valor,n_instancias
TR,BC,2,0.0,-0.0,,16
TR,BD,2,0.0,-0.0,,16
TR,CD,2,1.396911076262401,-8.540448609459446,0.433197021484375,16
TR,ABC,3,0.0,-0.0,,16
TR,ABD,3,0.0,-0.0,,16
TR,ACD,3,-1.5367466064270219,9.395376442333989,0.705718994140625,16
TR,BCD,3,0.0,-0.0,,16
TR,ABCD,4,-4.440892098500626e-16,2.7150769574308055e-15,,16
TR,SOMA_principais,0,-17.249831000285965,105.46218559163987,,16
TR,SOMA_interacoes,0,0.8934176531559905,-5.462185591639849,,16
TW,A,1,-147.26041666666669,98.43336582648655,3.0517578125e-05,16
TW,B,1,0.0,-0.0,,16
TW,C,1,0.4166666666666643,-0.27851274195794296,0.7173356752327977,16
TW,D,1,1.374999999999993,-0.9190920484612123,0.5618896484375,16
TW,AB,2,0.0,-0.0,,16
TW,AC,2,-1.421875000000007,0.9504247319314905,0.528167724609375,16
TW,AD,2,-2.411458333333332,1.611892494081603,0.322509765625,16
TW,BC,2,0.0,-0.0,,16
TW,BD,2,0.0,-0.0,,16
TW,CD,2,-0.953125,0.6370978972287982,0.820892333984375,16
TW,ABC,3,0.0,-0.0,,16
TW,ABD,3,0.0,-0.0,,16
TW,ACD,3,0.6510416666666785,-0.43517615930929626,0.93988037109375,16
TW,BCD,3,0.0,-0.0,,16
TW,ABCD,4,0.0,-0.0,,16
TW,SOMA_principais,0,-145.46875000000003,97.23576103606742,,16
TW,SOMA_interacoes,0,-4.135416666666661,2.7642389639325957,,16
n_com_erro,A,1,-0.9791666666666665,10.645526613816534,0.007714008711240011,16
n_com_erro,B,1,0.0,-0.0,,16
n_com_erro,C,1,-9.255208333333334,100.6228765571914,0.0004358423668112835,16
n_com_erro,D,1,-0.09374999999999989,1.0192525481313692,0.5345151908359941,16
n_com_erro,AB,2,0.0,-0.0,,16
n_com_erro,AC,2,1.078125,-11.72140430351076,0.00762939453125,16
n_com_erro,AD,2,0.41145833333333315,-4.473386183465457,0.1786647779062852,16
n_com_erro,BC,2,8.326672684688674e-17,-9.052781174746463e-16,,16
n_com_erro,BD,2,0.0,-0.0,,16
n_com_erro,CD,2,0.19791666666666646,-2.1517553793884465,0.2890504586462975,16
n_com_erro,ABC,3,-2.498001805406602e-16,2.715834352423939e-15,,16
n_com_erro,ABD,3,0.0,-0.0,,16
n_com_erro,ACD,3,-0.5572916666666665,6.058890147225367,0.21142578125,16
n_com_erro,BCD,3,-2.7755575615628914e-17,3.017593724915488e-16,,16
n_com_erro,ABCD,4,2.220446049250313e-16,-2.4140749799323904e-15,,16
n_com_erro,SOMA_principais,0,-10.328125,112.28765571913931,,16
n_com_erro,SOMA_interacoes,0,1.130208333333333,-12.287655719139295,,16
taxa_omissao,A,1,-0.01631944444444445,10.64552661381654,0.007150446793058355,16
taxa_omissao,B,1,0.0,-0.0,,16
taxa_omissao,C,1,-0.15425347222222222,100.6228765571914,0.0004339135941093194,16
taxa_omissao,D,1,-0.0015624999999999997,1.0192525481313703,0.596588134765625,16
taxa_omissao,AB,2,0.0,-0.0,,16
taxa_omissao,AC,2,0.01796875000000001,-11.721404303510766,0.00762939453125,16
taxa_omissao,AD,2,0.0068576388888888905,-4.47338618346546,0.17535400390625,16
taxa_omissao,BC,2,3.469446951953614e-18,-2.2631952936866162e-15,,16
taxa_omissao,BD,2,0.0,-0.0,,16
taxa_omissao,CD,2,0.003298611111111116,-2.151755379388452,0.2552110754513822,16
taxa_omissao,ABC,3,-2.168404344971009e-18,1.414497058554135e-15,,16
taxa_omissao,ABD,3,0.0,-0.0,,16
taxa_omissao,ACD,3,-0.009288194444444446,6.0588901472253704,0.21142578125,16
taxa_omissao,BCD,3,3.903127820947816e-18,-2.546094705397443e-15,,16
taxa_omissao,ABCD,4,-6.5052130349130266e-18,4.243491175662405e-15,,16
taxa_omissao,SOMA_principais,0,-0.17213541666666665,112.2876557191393,,16
taxa_omissao,SOMA_interacoes,0,0.018836805555555565,-12.287655719139305,,16
retrabalho_sobre_plano,A,1,-0.044483441066888466,91.47212392809959,3.0517578125e-05,16
retrabalho_sobre_plano,B,1,0.0,-0.0,,16
retrabalho_sobre_plano,C,1,-0.005179438003793982,10.650574317048704,0.21142578125,16
retrabalho_sobre_plano,D,1,-0.002486484202450092,5.113003527981923,0.49542236328125,16
retrabalho_sobre_plano,AB,2,0.0,-0.0,,16
retrabalho_sobre_plano,AC,2,0.00045522739624895454,-0.9360925280608726,0.899932861328125,16
retrabalho_sobre_plano,AD,2,0.0035372245375128834,-7.273660344090046,0.705718994140625,16
retrabalho_sobre_plano,BC,2,0.0,-0.0,,16
retrabalho_sobre_plano,BD,2,0.0,-0.0,,16
retrabalho_sobre_plano,CD,2,0.004422940769457534,-9.094975039860671,0.40374755859375,16
retrabalho_sobre_plano,ABC,3,0.0,-0.0,,16
retrabalho_sobre_plano,ABD,3,0.0,-0.0,,16
retrabalho_sobre_plano,ACD,3,-0.004896627645838413,10.06902613888139,0.668548583984375,16
retrabalho_sobre_plano,BCD,3,0.0,-0.0,,16
retrabalho_sobre_plano,ABCD,4,0.0,-0.0,,16
retrabalho_sobre_plano,SOMA_principais,0,-0.052149363273132535,107.2357017731302,,16
retrabalho_sobre_plano,SOMA_interacoes,0,0.0035187650573809594,-7.235701773130199,,16
divida_latente_sobre_plano,A,1,-0.012200907231012213,22.60142987565434,0.000762939453125,16
divida_latente_sobre_plano,B,1,0.0,-0.0,,16
divida_latente_sobre_plano,C,1,-0.04436471311641703,82.18290111292283,3.0517578125e-05,16
divida_latente_sobre_plano,D,1,-0.030798888577499635,57.05304591310295,3.0517578125e-05,16
divida_latente_sobre_plano,AB,2,0.0,-0.0,,16
divida_latente_sobre_plano,AC,2,0.009377923711192278,-17.372026614463834,0.00335693359375,16
divida_latente_sobre_plano,AD,2,0.006293064612639838,-11.657514957905411,0.01824951171875,16
divida_latente_sobre_plano,BC,2,-2.168404344971009e-19,4.0168356186133013e-16,,16
divida_latente_sobre_plano,BD,2,0.0,-0.0,,16
divida_latente_sobre_plano,CD,2,0.024550727629156492,-45.47871223020814,3.0517578125e-05,16
divida_latente_sobre_plano,ABC,3,-8.673617379884035e-19,1.6067342474453205e-15,,16
divida_latente_sobre_plano,ABD,3,0.0,-0.0,,16
divida_latente_sobre_plano,ACD,3,-0.006840106774392619,12.67087690089726,0.0155029296875,16
divida_latente_sobre_plano,BCD,3,-6.505213034913027e-19,1.2050506855839904e-15,,16
divida_latente_sobre_plano,ABCD,4,2.168404344971009e-19,-4.0168356186133013e-16,,16
divida_latente_sobre_plano,SOMA_principais,0,-0.08736450892492888,161.83737690168013,,16
divida_latente_sobre_plano,SOMA_interacoes,0,0.03338160917859599,-61.83737690168013,,16
S_UR_maximo,A,1,-4.086631023865824,22.345016801130097,0.000762939453125,16
S_UR_maximo,B,1,0.0,-0.0,,16
S_UR_maximo,C,1,-15.01705397632761,82.11074634457512,3.0517578125e-05,16
S_UR_maximo,D,1,-10.46757679157066,57.23496393699513,3.0517578125e-05,16
S_UR_maximo,AB,2,0.0,-0.0,,16
S_UR_maximo,AC,2,3.1185612775843703,-17.05177289949151,0.00335693359375,16
