braco,cenario,ablacao,arquivo,semente,concluiu,makespan,atraso_relativo,E_total,TW,TL,TU,TR,n_com_erro,n_reportadas,n_adiamentos,taxa_omissao,S_UR_maximo,E_plano,retrabalho_sobre_plano,divida_latente_sobre_plano,p1_omissao,p1_fuga,p2_ajuda,p2_bloqueio,p3_analitica,hiato_encontrado,hiato_sem_colega_capaz,hiato_sem_colega_livre,hiato_colega_capaz_sem_confianca,tarefas_acima_da_competencia_maxima_inicial,competencia_minima_inicial,competencia_maxima_inicial,competencia_maxima_final
centralizada__sem_filtro_competencia,centralizada,sem_filtro_competencia,j6013_1.sm,7,True,291,4.217391304347826,0.7793112109722334,697.0,0.0,82.0,115.37953693807935,15,4,0,0.25,37.561345658980855,340.0,0.3393515792296451,0.110474546055826,43,0,0,82,17,82,0,0,82,29,0.4310024134004245,0.5858494645010164,0.5858494645010164
centralizada__sem_filtro_competencia,centralizada,sem_filtro_competencia,j6013_1.sm,8,True,307,4.449275362318841,0.69962321860581,681.0,0.0,214.0,78.3810741116886,11,4,0,0.1833333333333333,24.496847276542105,340.0,0.2305325709167311,0.0720495508133591,39,0,0,214,21,214,0,0,214,31,0.2724902104363956,0.5273323364698471,0.5273323364698471
centralizada__sem_filtro_competencia,centralizada,sem_filtro_competencia,j6013_1.sm,9,True,345,5.0,0.7817526329655623,676.0,0.0,97.0,91.72366256779732,16,2,0,0.2666666666666666,45.69470805292978,340.0,0.2697754781405804,0.1343962001556758,40,0,0,97,20,97,0,0,97,14,0.3512385487549321,0.6872143627230507,0.6872143627230507
centralizada__sem_filtro_competencia,centralizada,sem_filtro_competencia,j6013_1.sm,10,True,311,4.507246376811594,0.7477816277080737,723.0,0.0,141.0,102.8598066737364,17,2,0,0.2833333333333333,29.080958905088472,340.0,0.3025288431580482,0.0855322320737896,52,0,0,141,8,141,0,0,141,29,0.4175993861121362,0.5820371027673271,0.5820371027673271
centralizada__sem_filtro_competencia,centralizada,sem_filtro_competencia,j6013_1.sm,11,True,280,4.057971014492754,0.9071512879322808,684.0,0.0,21.0,49.00874043741745,11,3,0,0.1833333333333333,12.602190315790253,340.0,0.1441433542276984,0.0370652656346772,39,0,0,21,21,21,0,0,21,13,0.486713896835989,0.7131697048371954,0.7131697048371954
centralizada__sem_filtro_competencia,centralizada,sem_filtro_competencia,j6016_1.sm,0,True,187,2.921875,0.8570078912735247,849.0,0.0,104.0,37.65598887120528,10,1,0,0.1666666666666666,19.021282467351163,365.0,0.1031670927978226,0.0521131026502771,52,0,0,104,8,104,10,10,94,27,0.4857196752206667,0.6268507180531939,0.6268507180531939
centralizada__sem_filtro_competencia,centralizada,sem_filtro_competencia,j6016_1.sm,1,True,273,4.265625,0.8069087217938585,810.0,0.0,92.0,101.83101349960522,12,4,0,0.2,25.592287742913676,365.0,0.2789890780811102,0.0701158568299004,47,0,0,92,13,92,5,5,87,18,0.3936211322074767,0.6586427040007742,0.6586427040007742
centralizada__sem_filtro_competencia,centralizada,sem_filtro_competencia,j6016_1.sm,2,True,182,2.84375,0.8394357995830629,819.0,0.0,99.0,57.65531563794024,10,3,0,0.1666666666666666,30.282088146959385,365.0,0.1579597688710691,0.0829646250601627,49,0,0,99,11,99,3,3,96,9,0.2570239140832174,0.7659648859265082,0.7659648859265082
centralizada__sem_filtro_competencia,centralizada,sem_filtro_competencia,j6016_1.sm,3,True,220,3.4375,0.7969262223548871,818.0,0.0,141.0,67.44382510446287,12,1,0,0.2,32.07816598926507,365.0,0.1847776030259257,0.087885386271959,47,0,0,141,13,141,28,28,113,6,0.2433201962422982,0.794910294566222,0.794910294566222
centralizada__sem_filtro_competencia,centralizada,sem_filtro_competencia,j6016_1.sm,4,True,221,3.453125,0.774116104340608,870.0,0.0,177.0,76.86242208598152,10,3,0,0.1666666666666666,36.82981568340804,365.0,0.2105819783177576,0.1009036046120768,53,0,0,177,7,177,4,4,173,9,0.3530323246498424,0.7496468789669437,0.7496468789669437
centralizada__sem_filtro_competencia,centralizada,sem_filtro_competencia,j6016_1.sm,5,True,202,3.15625,0.767485499907486,838.0,0.0,140.0,113.8773059569384,20,3,0,0.3333333333333333,33.60878522885502,365.0,0.3119926190601052,0.0920788636406986,54,0,0,140,6,140,4,4,136,15,0.3910769205246226,0.6863255838987572,0.6863255838987572
centralizada__sem_filtro_competencia,centralizada,sem_filtro_competencia,j6016_1.sm,6,True,187,2.921875,0.830385026408001,822.0,0.0,67.0,100.90224276529624,13,4,0,0.2166666666666666,33.26498909499557,365.0,0.276444500726839,0.0911369564246454,45,0,0,67,15,67,22,22,45,9,0.2436049793851584,0.7631789564580391,0.7631789564580391
centralizada__sem_filtro_competencia,centralizada,sem_filtro_competencia,j6016_1.sm,7,True,217,3.390625,0.79623360548484,836.0,0.0,147.0,66.94312503419843,15,3,0,0.25,39.05981281704441,365.0,0.1834058220115025,0.1070131858001216,51,0,0,147,9,147,10,10,137,33,0.4310024134004245,0.5858494645010164,0.5858494645010164
centralizada__sem_filtro_competencia,centralizada,sem_filtro_competencia,j6016_1.sm,8,True,240,3.75,0.7395378701742581,868.0,0.0,197.0,108.70595206364789,18,4,0,0.3,32.91095402926344,365.0,0.297824526201775,0.0901669973404477,57,0,0,197,3,197,9,9,188,40,0.2724902104363956,0.5273323364698471,0.5273323364698471
