desenho,ponto,instancia,semente,risco.F_ancora,retrabalho.f_retrabalho,agentes.tau_sat,agentes.k_heuristico,fuzzy.mu_minimo,taxa_omissao,atraso_relativo,retrabalho_sobre_plano,E_total,concluiu,divida_pendente,violacoes,makespan
legado,171,j6010_1.sm,2,0.11373753948882932,0.7604938566947859,0.9251877854571041,0.10509141297213453,0.6681167213125444,0.05,1.4,0.2242727879712293,0.8278774141812008,True,0,0,119
legado,171,j6010_1.sm,3,0.11373753948882932,0.7604938566947859,0.9251877854571041,0.10509141297213453,0.6681167213125444,0.05,1.4705882352941178,0.1524957081387501,0.8719084956750214,True,0,0,125
legado,171,j6032_1.sm,0,0.11373753948882932,0.7604938566947859,0.9251877854571041,0.10509141297213453,0.6681167213125444,0.13333333333333333,1.5072463768115942,0.15812678291328955,0.8738230857298444,True,0,0,104
legado,171,j6032_1.sm,1,0.11373753948882932,0.7604938566947859,0.9251877854571041,0.10509141297213453,0.6681167213125444,0.11666666666666667,1.434782608695652,0.2157240558159917,0.8380515470959012,True,0,0,99
legado,171,j6032_1.sm,2,0.11373753948882932,0.7604938566947859,0.9251877854571041,0.10509141297213453,0.6681167213125444,0.05,1.565217391304348,0.2444074245537497,0.831093470500049,True,0,0,108
legado,171,j6032_1.sm,3,0.11373753948882932,0.7604938566947859,0.9251877854571041,0.10509141297213453,0.6681167213125444,0.06666666666666667,1.463768115942029,0.24597575780335798,0.8134142406301023,True,0,0,101
legado,228,j6010_1.sm,0,0.11422824372137172,0.5005753994229606,1.0002762546698036,0.08575664885473969,0.6554708552113134,0.03333333333333333,1.4470588235294117,0.14985224877306222,0.8721118786955395,True,0,0,123
legado,228,j6010_1.sm,1,0.11422824372137172,0.5005753994229606,1.0002762546698036,0.08575664885473969,0.6554708552113134,0.03333333333333333,1.4,0.11664008532260141,0.8926483422649645,True,0,0,119
legado,228,j6010_1.sm,2,0.11422824372137172,0.5005753994229606,1.0002762546698036,0.08575664885473969,0.6554708552113134,0.03333333333333333,1.5058823529411764,0.21030288416456364,0.8492023374301377,True,0,0,128
legado,228,j6010_1.sm,3,0.11422824372137172,0.5005753994229606,1.0002762546698036,0.08575664885473969,0.6554708552113134,0.03333333333333333,1.6,0.13831114883179563,0.8869435738955406,True,0,0,136
legado,228,j6032_1.sm,0,0.11422824372137172,0.5005753994229606,1.0002762546698036,0.08575664885473969,0.6554708552113134,0.13333333333333333,1.565217391304348,0.10991863370118422,0.9016601304639896,True,0,0,108
