configuracao,metrica,n_instancias,media_centralizada,media_adaptativa,media_diferenca,ic95_inferior,ic95_superior,n_positivo,n_negativo,n_zero,n_pares_censurados
C4_C1_Crowder,S_PV_final,16,225.24479166666669,308.47395833333337,83.22916666666666,77.54716329733306,88.91117003600026,16,0,0,0
C4_C1_Crowder,S_UR_final,16,1.5491080640472887e-15,8.0953762212251e-17,-1.4681543018350378e-15,-2.055083349206369e-15,-8.812252544637068e-16,0,16,0,0
C4_C1_Crowder,S_UR_maximo,16,35.14699954028097,8.499746119165689,-26.64725342111528,-30.045534591046046,-23.248972251184515,0,16,0,0
C4_C1_Crowder,TL,16,0.0,43.47395833333333,43.47395833333333,39.52937946631072,47.418537200355935,16,0,0,0
C4_C1_Crowder,TR,16,98.57459165903293,68.65672880759318,-29.917862851439757,-35.62113364209501,-24.214592060784504,0,16,0,0
C4_C1_Crowder,TU,16,140.78125,18.4375,-122.34375,-135.87631844105428,-108.81118155894572,0,16,0,0
C4_C1_Crowder,TW,16,564.6458333333333,452.63020833333337,-112.015625,-116.15731446622,-107.87393553378,0,16,0,0
C4_C1_Crowder,atraso_relativo,16,3.0608024318896927,1.8582766675477351,-1.2025257643419571,-1.3022509238643307,-1.1028006048195835,0,16,0,0
C4_C1_Crowder,competencia_maxima_final,16,0.6784269160974062,0.8003277520458703,0.12190083594846396,0.10464037849343238,0.13916129340349553,16,0,0,0
C4_C1_Crowder,competencia_maxima_inicial,16,0.6784269160974062,0.6784269160974062,0.0,0.0,0.0,0,0,16,0
C4_C1_Crowder,competencia_minima_inicial,16,0.36053696648776334,0.36053696648776334,0.0,0.0,0.0,0,0,16,0
C4_C1_Crowder,concluiu,16,1.0,1.0,0.0,0.0,0.0,0,0,16,0
C4_C1_Crowder,confianca_media_final,16,0.25,0.9661145106873297,0.7161145106873297,0.7109089159261378,0.7213201054485215,16,0,0,0
C4_C1_Crowder,divida_latente_sobre_plano,16,0.1032721848447554,0.024973539500740827,-0.07829864534401457,-0.08694249217004484,-0.0696547985179843,0,16,0,0
C4_C1_Crowder,dividas_pendentes,16,0.0,0.0,0.0,0.0,0.0,0,0,16,0
C4_C1_Crowder,extensoes_horizonte,16,0.0,0.0,0.0,0.0,0.0,0,0,16,0
C4_C1_Crowder,hiato_colega_capaz_sem_confianca,16,130.5625,0.0,-130.5625,-144.2341052398465,-116.89089476015349,0,16,0,0
C4_C1_Crowder,hiato_encontrado,16,140.78125,61.91145833333333,-78.86979166666666,-90.38980424613065,-67.34977908720266,0,16,0,0
C4_C1_Crowder,hiato_sem_colega_capaz,16,10.21875,8.359375,-1.859375,-3.6940294988095337,-0.024720501190466093,4,12,0,0
C4_C1_Crowder,hiato_sem_colega_livre,16,13.192708333333332,2.703125,-10.489583333333332,-14.297912745691516,-6.681253920975148,0,15,1,0
C4_C1_Crowder,makespan,16,231.73958333333334,140.48958333333331,-91.25,-96.50684540953799,-85.99315459046201,0,16,0,0
C4_C1_Crowder,makespan_cpm,16,77.1875,77.1875,0.0,0.0,0.0,0,0,16,0
C4_C1_Crowder,n_adiamentos,16,0.0,0.0,0.0,0.0,0.0,0,0,16,0
C4_C1_Crowder,n_com_erro,16,18.75,5.0,-13.75,-14.538030695093466,-12.961969304906534,0,16,0,0
C4_C1_Crowder,n_limpas,16,41.25,55.0,13.75,12.961969304906534,14.538030695093466,16,0,0,0
C4_C1_Crowder,n_reportadas,16,2.96875,12.828125,9.859375,8.717350317782826,11.001399682217174,16,0,0,0
C4_C1_Crowder,n_tarefas,16,60.0,60.0,0.0,0.0,0.0,0,0,16,0
C4_C1_Crowder,ocupacao_retrabalho,16,107.4375,74.90625,-32.53125,-38.65989407968247,-26.402605920317523,0,16,0,0
C4_C1_Crowder,p1_fuga,16,0.0,0.0,0.0,0.0,0.0,0,0,16,0
C4_C1_Crowder,p1_omissao,16,38.21875,22.15625,-16.0625,-18.097434150294866,-14.027565849705134,0,16,0,0
C4_C1_Crowder,p2_ajuda,16,0.0,43.47395833333333,43.47395833333333,39.52937946631072,47.418537200355935,16,0,0,0
C4_C1_Crowder,p2_bloqueio,16,140.78125,18.4375,-122.34375,-135.87631844105428,-108.81118155894572,0,16,0,0
C4_C1_Crowder,p3_analitica,16,21.78125,37.84375,16.0625,14.027565849705134,18.097434150294866,16,0,0,0
C4_C1_Crowder,retrabalho_gerado,16,98.57459165903293,68.65672880759318,-29.917862851439757,-35.62113364209501,-24.214592060784504,0,16,0,0
C4_C1_Crowder,retrabalho_pendente,16,0.0,0.0,0.0,0.0,0.0,0,0,16,0
C4_C1_Crowder,retrabalho_sobre_esforco_realizado,16,0.12144735548643036,0.11557861636634514,-0.005868739120085222,-0.0133829059697148,0.0016454277295443569,2,14,0,0
C4_C1_Crowder,retrabalho_sobre_plano,16,0.2892036315045449,0.20148600953525214,-0.08771762196929281,-0.10292418830455789,-0.07251105563402772,0,16,0,0
C4_C1_Crowder,tarefas_acima_da_competencia_maxima_inicial,16,14.541666666666666,14.541666666666666,0.0,0.0,0.0,0,0,16,0
C4_C1_Crowder,tarefas_pendentes,16,0.0,0.0,0.0,0.0,0.0,0,0,16,0
C4_C1_Crowder,taxa_omissao,16,0.3125,0.08333333333333334,-0.22916666666666666,-0.2423005115848911,-0.2160328217484422,0,16,0,0
C4_C1_Crowder_C6,E_plano,16,339.25,339.25,0.0,0.0,0.0,0,0,16,0
C4_C1_Crowder_C6,E_total,16,0.7067130346128633,0.6558684628165047,-0.05084457179635853,-0.05977342717986634,-0.041915716412850725,0,16,0,0
