base,heterogeneidade,arquivo,semente,cenario,executada,concluiu,estatuto,motivo,violacoes,atraso_relativo,taxa_omissao,divida_latente_sobre_plano,taxa_falha_efetiva,fracao_porta1,TW,TL,TU,TR
historica_0.1,nenhuma,j6032_1.sm,3,centralizada,True,True,COMPLETA,terminal,0,3.1884057971014492,0.3,0.09124377311585785,0.31666666666666665,0.55,557.0,0.0,165.0,77.3133163150021
historica_0.1,nenhuma,j6032_1.sm,3,adaptativa,True,True,COMPLETA,terminal,0,1.8695652173913044,0.06666666666666667,0.04119843409525285,0.21666666666666667,0.48333333333333334,460.0,94.0,62.0,41.832369695010556
historica_0.1,nenhuma,j6043_1.sm,0,centralizada,True,True,COMPLETA,terminal,0,1.9907407407407407,0.21666666666666667,0.05028318503755579,0.23333333333333334,0.45,510.0,0.0,207.0,58.09857985334466
historica_0.1,nenhuma,j6043_1.sm,0,adaptativa,True,True,COMPLETA,terminal,0,1.7685185185185186,0.05,0.020594804985097033,0.25,0.31666666666666665,394.0,229.0,72.0,53.90301745994712
historica_0.1,nenhuma,j6043_1.sm,1,centralizada,True,True,COMPLETA,terminal,0,2.259259259259259,0.18333333333333332,0.08340152766628926,0.2,0.48333333333333334,506.0,0.0,181.0,53.85695468621138
historica_0.1,nenhuma,j6043_1.sm,1,adaptativa,True,True,COMPLETA,terminal,0,1.5740740740740742,0.06666666666666667,0.017964071856287425,0.3333333333333333,0.35,388.0,145.0,43.0,73.54734617528402
historica_0.1,nenhuma,j6043_1.sm,2,centralizada,True,True,COMPLETA,terminal,0,2.1666666666666665,0.2833333333333333,0.08923715596498813,0.3333333333333333,0.43333333333333335,534.0,0.0,82.0,77.78773422167602
historica_0.1,nenhuma,j6043_1.sm,2,adaptativa,True,True,COMPLETA,terminal,0,1.5648148148148149,0.08333333333333333,0.018313312445540606,0.36666666666666664,0.3333333333333333,396.0,126.0,53.0,80.25361986203313
historica_0.1,nenhuma,j6043_1.sm,3,centralizada,True,True,COMPLETA,terminal,0,1.9444444444444444,0.3,0.06185953200576928,0.3333333333333333,0.48333333333333334,492.0,0.0,236.0,85.5801560890785
historica_0.1,nenhuma,j6043_1.sm,3,adaptativa,True,True,COMPLETA,terminal,0,1.4537037037037037,0.03333333333333333,0.0074850299401197605,0.2,0.38333333333333336,370.0,187.0,60.0,37.53606153759509
historica_0.1,beta_cv113,j6010_1.sm,0,centralizada,True,True,COMPLETA,terminal,0,2.3058823529411763,0.21666666666666667,0.09230541561473055,0.23333333333333334,0.5166666666666667,513.0,0.0,130.0,56.78543195346796
historica_0.1,beta_cv113,j6010_1.sm,0,adaptativa,True,True,COMPLETA,terminal,0,1.5529411764705883,0.06666666666666667,0.028602112118569428,0.25,0.25,385.0,97.0,35.0,54.484148724586575
historica_0.1,beta_cv113,j6010_1.sm,1,centralizada,True,True,COMPLETA,terminal,0,2.6588235294117646,0.26666666666666666,0.08951917230984785,0.2833333333333333,0.45,529.0,0.0,57.0,73.22477567372444
historica_0.1,beta_cv113,j6010_1.sm,1,adaptativa,True,True,COMPLETA,terminal,0,1.3647058823529412,0.05,0.015479876160990712,0.21666666666666667,0.21666666666666667,370.0,73.0,42.0,42.0
historica_0.1,beta_cv113,j6010_1.sm,2,centralizada,True,True,COMPLETA,terminal,0,2.541176470588235,0.3333333333333333,0.10240889223476411,0.4,0.7,547.0,0.0,74.0,83.13994330781817
historica_0.1,beta_cv113,j6010_1.sm,2,adaptativa,True,True,COMPLETA,terminal,0,1.6823529411764706,0.016666666666666666,0.014690877094784172,0.2,0.5333333333333333,415.0,49.0,21.0,53.55749501694146
historica_0.1,beta_cv113,j6010_1.sm,3,centralizada,True,True,COMPLETA,terminal,0,2.2823529411764705,0.2833333333333333,0.12179865312583199,0.35,0.55,525.0,0.0,135.0,84.0723193777027
historica_0.1,beta_cv113,j6010_1.sm,3,adaptativa,True,True,COMPLETA,terminal,0,1.576470588235294,0.016666666666666666,0.015479876160990712,0.16666666666666666,0.31666666666666665,364.0,127.0,51.0,36.22807348962813
historica_0.1,beta_cv113,j6021_1.sm,0,centralizada,True,True,COMPLETA,terminal,0,3.9342105263157894,0.36666666666666664,0.07973887910021363,0.4,0.5333333333333333,533.0,0.0,122.0,105.48145679036602
historica_0.1,beta_cv113,j6021_1.sm,0,adaptativa,True,True,COMPLETA,terminal,0,2.289473684210526,0.06666666666666667,0.03718493829795418,0.15,0.48333333333333334,404.0,76.0,28.0,33.14661514952762
historica_0.1,beta_cv113,j6021_1.sm,1,centralizada,True,True,COMPLETA,terminal,0,4.223684210526316,0.3333333333333333,0.1081539808974285,0.35,0.5166666666666667,538.0,0.0,69.0,106.96034358804023
historica_0.1,beta_cv113,j6021_1.sm,1,adaptativa,True,True,COMPLETA,terminal,0,2.8157894736842106,0.05,0.009036144578313253,0.26666666666666666,0.4166666666666667,397.0,61.0,21.0,52.95645794814776
historica_0.1,beta_cv113,j6021_1.sm,2,centralizada,True,True,COMPLETA,terminal,0,3.9210526315789473,0.31666666666666665,0.11629003584763768,0.36666666666666664,0.5666666666666667,530.0,0.0,27.0,111.33554932922912
historica_0.1,beta_cv113,j6021_1.sm,2,adaptativa,True,True,COMPLETA,terminal,0,2.223684210526316,0.016666666666666666,0.017958498238324648,0.26666666666666666,0.45,391.0,55.0,25.0,64.94005665031217
historica_0.1,beta_cv113,j6021_1.sm,3,centralizada,True,True,COMPLETA,terminal,0,3.5789473684210527,0.2833333333333333,0.11670055352504578,0.38333333333333336,0.6,555.0,0.0,91.0,112.17306350210663
historica_0.1,beta_cv113,j6021_1.sm,3,adaptativa,True,True,COMPLETA,terminal,0,2.9210526315789473,0.11666666666666667,0.03494041056421032,0.43333333333333335,0.6,416.0,66.0,27.0,94.97584176604717
historica_0.1,beta_cv113,j6032_1.sm,0,centralizada,True,True,COMPLETA,terminal,0,2.6956521739130435,0.2,0.07578105530069225,0.23333333333333334,0.5666666666666667,579.0,0.0,160.0,63.257561146428905
