configuracao,metrica,numero,ANTES,DEPOIS,delta,CONTROLE_mesmo_ambiente,delta_vs_controle
C4_C1_Crowder,atraso_relativo,variacao_percentual,-36.222282246810536,-39.28792501643225,-3.065642769621711,-36.222282246810536,-3.065642769621711
C4_C1_Crowder,atraso_relativo,d_instancia,-5.54647837551483,-6.425467269759036,-0.8789888942442055,-5.546478375514831,-0.8789888942442046
C4_C1_Crowder,atraso_relativo,favoraveis_instancia,1.0,1.0,0.0,1.0,0.0
C4_C1_Crowder,atraso_relativo,p_instancia,3.0517578125e-05,3.0517578125e-05,0.0,3.0517578125e-05,0.0
C4_C1_Crowder,E_total,media_centralizada,0.7839008771073722,0.7067130346128632,-0.07718784249450905,0.7839008771073722,-0.07718784249450905
C4_C1_Crowder,E_total,media_adaptativa,0.8885319344131772,0.7773500125319417,-0.11118192188123555,0.8885319344131772,-0.11118192188123555
C4_C1_Crowder,E_total,variacao_percentual,13.347485678533502,9.99514293064841,-3.3523427478850927,13.347485678533518,-3.3523427478851087
C4_C1_Crowder,E_total,d_instancia,3.752444045375827,2.3953309979272728,-1.3571130474485544,3.7524440453758268,-1.357113047448554
C4_C1_Crowder,E_total,favoraveis_instancia,1.0,0.9375,-0.0625,1.0,-0.0625
C4_C1_Crowder,E_total,p_instancia,3.0517578125e-05,6.103515625e-05,3.0517578125e-05,3.0517578125e-05,3.0517578125e-05
C4_C1_Crowder,retrabalho_sobre_plano,media_centralizada,0.20309877307027,0.2892036315045449,0.08610485843427493,0.20309877307027008,0.08610485843427484
C4_C1_Crowder,retrabalho_sobre_plano,media_adaptativa,0.1544681748545185,0.2014860095352521,0.04701783468073359,0.15446817485451853,0.04701783468073356
C4_C1_Crowder,retrabalho_sobre_plano,variacao_percentual,-23.94430920512054,-30.330747063220862,-6.386437858100322,-23.944309205120547,-6.386437858100315
C4_C1_Crowder,retrabalho_sobre_plano,d_instancia,-3.0736131015502792,-3.07376565757661,-0.00015255602633068577,-3.0736131015502792,-0.00015255602633068577
C4_C1_Crowder,retrabalho_sobre_plano,favoraveis_instancia,1.0,1.0,0.0,1.0,0.0
C4_C1_Crowder,retrabalho_sobre_plano,p_instancia,3.0517578125e-05,3.0517578125e-05,0.0,3.0517578125e-05,0.0
C4_C1_Crowder,retrabalho_sobre_esforco_realizado,media_centralizada,0.0770044237565273,0.12144735548643032,0.04444293172990302,0.0770044237565273,0.04444293172990302
C4_C1_Crowder,retrabalho_sobre_esforco_realizado,media_adaptativa,0.0846140173868061,0.1155786163663451,0.030964598979539,0.0846140173868061,0.030964598979539
C4_C1_Crowder,retrabalho_sobre_esforco_realizado,variacao_percentual,9.882021394431602,-4.832331751135536,-14.714353145567138,9.882021394431588,-14.714353145567124
C4_C1_Crowder,retrabalho_sobre_esforco_realizado,d_instancia,1.2846685517413916,-0.4161779203481654,-1.700846472089557,1.2846685517413916,-1.700846472089557
C4_C1_Crowder,retrabalho_sobre_esforco_realizado,favoraveis_instancia,0.0625,0.875,0.8125,0.0625,0.8125
C4_C1_Crowder,retrabalho_sobre_esforco_realizado,p_instancia,9.1552734375e-05,0.0155029296875,0.015411376953125,9.1552734375e-05,0.015411376953125
C4_C1_Crowder_C6,n_com_erro,media_centralizada,13.020833333333332,18.75,5.729166666666668,13.020833333333332,5.729166666666668
C4_C1_Crowder_C6,n_com_erro,media_adaptativa,3.8229166666666665,5.057291666666666,1.2343749999999996,3.8229166666666665,1.2343749999999996
C4_C1_Crowder_C6,n_com_erro,variacao_percentual,-70.64,-73.02777777777779,-2.387777777777785,-70.64,-2.387777777777785
C4_C1_Crowder_C6,n_com_erro,d_instancia,-7.815444732066754,-8.313583629588218,-0.49813889752146334,-7.815444732066754,-0.49813889752146334
C4_C1_Crowder_C6,n_com_erro,favoraveis_instancia,1.0,1.0,0.0,1.0,0.0
C4_C1_Crowder_C6,n_com_erro,p_instancia,0.0004368090232114,3.0517578125e-05,-0.0004062914450864,3.0517578125e-05,0.0
C4_C1_Crowder_C6,taxa_omissao,media_centralizada,0.2170138888888888,0.3125,0.09548611111111119,0.21701388888888884,0.09548611111111116
C4_C1_Crowder_C6,taxa_omissao,media_adaptativa,0.0637152777777777,0.08428819444444441,0.020572916666666705,0.06371527777777775,0.020572916666666663
C4_C1_Crowder_C6,taxa_omissao,variacao_percentual,-70.64,-73.0277777777778,-2.3877777777777993,-70.64,-2.3877777777777993
C4_C1_Crowder_C6,taxa_omissao,d_instancia,-7.815444732066755,-8.31358362958822,-0.49813889752146423,-7.815444732066755,-0.49813889752146423
C4_C1_Crowder_C6,taxa_omissao,favoraveis_instancia,1.0,1.0,0.0,1.0,0.0
C4_C1_Crowder_C6,taxa_omissao,p_instancia,3.0517578125e-05,3.0517578125e-05,0.0,3.0517578125e-05,0.0
