modelo,metrica,braco,ANTES_pct,DEPOIS_pct,DEPOIS_parcela
legado,TU,so_portao,,99.58012293307938,-119.81770833333331
legado,TU,so_rede,,-12.804086226300754,15.40625
legado,TU,centralizada,-0.0,0.0,0.0
legado,TU,adaptativa,100.0,100.00000000000009,-120.32291666666676
legado,TU,so_par_tau,99.80521166998528,99.80521166998537,-120.08854166666676
legado,TU,sem_par_tau,2.3634317375119025,2.3634317375119207,-2.8437500000000204
legado,TW,so_tau_inicial,98.43336582648656,98.43336582648656,-147.26041666666666
legado,TW,so_tau_min,-0.0,0.0,0.0
legado,TW,so_p_reporte,-0.2785127419579429,-0.2785127419581016,0.4166666666669018
legado,TW,so_p_deteccao,-0.9190920484612124,-0.9190920484611012,1.3749999999998268
legado,TW,so_portao,,20.766606322239237,-31.06770833333333
legado,TW,so_rede,,83.29967971034675,-124.61979166666669
legado,TW,centralizada,-0.0,0.0,0.0
legado,TW,adaptativa,100.0,100.00000000000068,-149.60416666666777
legado,TW,so_par_tau,98.43336582648656,98.43336582648698,-147.26041666666728
legado,TW,sem_par_tau,-0.5605068931903571,-0.5605068931902314,0.8385416666664699
legado,atraso_relativo,so_tau_inicial,52.55976151279914,52.559761512799156,-0.5967631177136437
legado,atraso_relativo,so_tau_min,-0.0,0.0,0.0
legado,atraso_relativo,so_p_reporte,27.84922255341554,27.849222553415448,-0.316199853243821
legado,atraso_relativo,so_p_deteccao,38.445722073938725,38.4457220739388,-0.4365124252325418
legado,atraso_relativo,so_portao,,24.183220969308483,-0.2745761001691028
legado,atraso_relativo,so_rede,,22.927847009478164,-0.2603225941294601
legado,atraso_relativo,centralizada,-0.0,0.0,0.0
legado,atraso_relativo,adaptativa,100.0,100.00000000000045,-1.1353992113688054
legado,atraso_relativo,so_par_tau,52.55976151279914,52.559761512799405,-0.5967631177136464
legado,atraso_relativo,sem_par_tau,40.14033896933407,40.14033896933414,-0.4557530920985829
legado,divida_latente_sobre_plano,so_tau_inicial,22.60142987565434,22.601429875654336,-0.012200907231012099
legado,divida_latente_sobre_plano,so_tau_min,-0.0,0.0,0.0
legado,divida_latente_sobre_plano,so_p_reporte,82.18290111292283,82.18290111292282,-0.044364713116417
legado,divida_latente_sobre_plano,so_p_deteccao,57.05304591310295,57.05304591310296,-0.0307988885774996
legado,divida_latente_sobre_plano,so_portao,,15.245411511072817,-0.0082299152119383
legado,divida_latente_sobre_plano,so_rede,,6.372168495401897,-0.0034398813305402
legado,divida_latente_sobre_plano,centralizada,-0.0,0.0,0.0
legado,divida_latente_sobre_plano,adaptativa,100.0,100.00000000000018,-0.05398289974633296
legado,divida_latente_sobre_plano,so_par_tau,22.60142987565434,22.601429875654446,-0.012200907231012158
legado,divida_latente_sobre_plano,sem_par_tau,93.75723479581764,93.75723479581768,-0.0506128740647602
legado,n_com_erro,so_tau_inicial,10.645526613816534,10.645526613816534,-0.9791666666666663
legado,n_com_erro,so_tau_min,-0.0,0.0,0.0
legado,n_com_erro,so_p_reporte,100.6228765571914,100.62287655719132,-9.255208333333329
legado,n_com_erro,so_p_deteccao,1.0192525481313692,1.0192525481313937,-0.0937500000000021
legado,n_com_erro,so_portao,,6.285390713476784,-0.578125
legado,n_com_erro,so_rede,,2.265005662514157,-0.2083333333333333
legado,n_com_erro,centralizada,-0.0,0.0,0.0
legado,n_com_erro,adaptativa,100.0,100.00000000000014,-9.197916666666682
legado,n_com_erro,so_par_tau,10.645526613816534,10.645526613816633,-0.9791666666666755
legado,n_com_erro,sem_par_tau,99.49037372593432,99.49037372593429,-9.151041666666666
legado,retrabalho_sobre_plano,so_tau_inicial,91.4721239280996,91.47212392809956,-0.0444834410668884
legado,retrabalho_sobre_plano,so_tau_min,-0.0,0.0,0.0
legado,retrabalho_sobre_plano,so_p_reporte,10.650574317048704,10.65057431704852,-0.0051794380037938
legado,retrabalho_sobre_plano,so_p_deteccao,5.113003527981923,5.113003527982052,-0.0024864842024501
legado,retrabalho_sobre_plano,so_portao,,56.6037697064799,-0.0275267518209275
legado,retrabalho_sobre_plano,so_rede,,40.13523954881607,-0.0195180070879141
legado,retrabalho_sobre_plano,centralizada,-0.0,0.0,0.0
legado,retrabalho_sobre_plano,adaptativa,100.0,100.0000000000007,-0.048630598215751726
legado,retrabalho_sobre_plano,so_par_tau,91.4721239280996,91.47212392809995,-0.04448344106688859
legado,retrabalho_sobre_plano,sem_par_tau,6.668602805169956,6.668602805170053,-0.0032429814367865
legado,taxa_omissao,so_tau_inicial,10.64552661381654,10.645526613816532,-0.0163194444444443
legado,taxa_omissao,so_tau_min,-0.0,0.0,0.0
legado,taxa_omissao,so_p_reporte,100.6228765571914,100.62287655719136,-0.1542534722222221
legado,taxa_omissao,so_p_deteccao,1.0192525481313703,1.0192525481313863,-0.0015625
legado,taxa_omissao,so_portao,,6.285390713476783,-0.0096354166666666
legado,taxa_omissao,so_rede,,2.2650056625141555,-0.0034722222222222
legado,taxa_omissao,centralizada,-0.0,0.0,0.0
legado,taxa_omissao,adaptativa,100.0,100.0000000000002,-0.15329861111111137
legado,taxa_omissao,so_par_tau,10.64552661381654,10.645526613816637,-0.01631944444444446
legado,taxa_omissao,sem_par_tau,99.49037372593432,99.49037372593433,-0.1525173611111111
