etapa,canal,tau_sat,s_transicao,cenario,metrica,censuradas,fracao_indefinida,media,ic95_inferior,ic95_superior,n_instancias,estatuto,valor_rotulado
grade,ativo,1.4,0.6,centralizada,taxa_falha_efetiva,0,0,0.2875,0.254571262498814,0.3204287375011859,4,COMPLETO,+0.287500 [COMPLETO]
grade,ativo,1.4,0.6,adaptativa,fracao_porta1,0,0,0.4708333333333333,0.3938937371254751,0.5477729295411915,4,COMPLETO,+0.470833 [COMPLETO]
grade,ativo,1.4,0.6,centralizada,fracao_porta1,0,0,0.5291666666666668,0.4872342547671425,0.571099078566191,4,COMPLETO,+0.529167 [COMPLETO]
grade,desligado,0.7,0.01,adaptativa,atraso_relativo,0,0,2.2668688585273924,1.4845225703557985,3.0492151466989865,4,COMPLETO,+2.266869 [COMPLETO]
grade,desligado,0.7,0.01,centralizada,atraso_relativo,0,0,3.5324912723161983,2.13171285213551,4.933269692496887,4,COMPLETO,+3.532491 [COMPLETO]
grade,desligado,0.7,0.01,adaptativa,taxa_omissao,0,0,0.0791666666666666,0.0596481911540283,0.0986851421793049,4,COMPLETO,+0.079167 [COMPLETO]
grade,desligado,0.7,0.01,centralizada,taxa_omissao,0,0,0.3458333333333333,0.2795323686399111,0.4121342980267555,4,COMPLETO,+0.345833 [COMPLETO]
grade,desligado,0.7,0.01,adaptativa,divida_latente_sobre_plano,0,0,0.023735615448383,0.0178202958351617,0.0296509350616042,4,COMPLETO,+0.023736 [COMPLETO]
grade,desligado,0.7,0.01,centralizada,divida_latente_sobre_plano,0,0,0.1224493772677028,0.0823699926887935,0.1625287618466121,4,COMPLETO,+0.122449 [COMPLETO]
grade,desligado,0.7,0.01,adaptativa,taxa_falha_efetiva,0,0,0.3041666666666666,0.1899697906417101,0.4183635426916231,4,COMPLETO,+0.304167 [COMPLETO]
grade,desligado,0.7,0.01,centralizada,taxa_falha_efetiva,0,0,0.4,0.3584184931139313,0.4415815068860687,4,COMPLETO,+0.400000 [COMPLETO]
grade,desligado,0.7,0.01,adaptativa,fracao_porta1,0,0,0.375,0.1617347596579931,0.5882652403420069,4,COMPLETO,+0.375000 [COMPLETO]
grade,desligado,0.7,0.01,centralizada,fracao_porta1,0,0,0.6916666666666667,0.635148577927966,0.7481847554053673,4,COMPLETO,+0.691667 [COMPLETO]
grade,desligado,0.7,0.25,adaptativa,atraso_relativo,0,0,1.714532060917426,0.811360060234805,2.617704061600046,4,COMPLETO,+1.714532 [COMPLETO]
grade,desligado,0.7,0.25,centralizada,atraso_relativo,0,0,2.8632421179760996,1.8700691531453728,3.8564150828068264,4,COMPLETO,+2.863242 [COMPLETO]
grade,desligado,0.7,0.25,adaptativa,taxa_omissao,0,0,0.0541666666666666,0.0379263133713499,0.0704070199619833,4,COMPLETO,+0.054167 [COMPLETO]
grade,desligado,0.7,0.25,centralizada,taxa_omissao,0,0,0.246875,0.1811567292856009,0.312593270714399,4,COMPLETO,+0.246875 [COMPLETO]
grade,desligado,0.7,0.25,adaptativa,divida_latente_sobre_plano,0,0,0.0189657810761111,0.0075372132066901,0.0303943489455321,4,COMPLETO,+0.018966 [COMPLETO]
