modelo,metrica,grupo,parcela,pct_contraste
mvp,E_total,outros,0.005674791219780202,4.329160426690785
mvp,S_UR_maximo,portao_sem_rede,-0.5526706032629147,2.8660300518867547
mvp,S_UR_maximo,rede_sem_portao,-0.23406099518490397,1.2137896284223633
mvp,S_UR_maximo,portao_e_rede,-0.37121668790027096,1.9250493458540596
mvp,S_UR_maximo,outros,-18.125541183662282,93.99513097383699
mvp,TL,portao_sem_rede,8.916666666666666,97.60547320410491
mvp,TL,rede_sem_portao,-1.9721522630525295e-30,0.0
mvp,TL,portao_e_rede,0.21874999999999073,2.3945267958949943
mvp,TL,outros,-4.814821381100041e-16,-5.27050002948238e-15
mvp,TR,portao_sem_rede,-6.186335047605339,39.52940814089344
mvp,TR,rede_sem_portao,-1.8755141032841274,11.98414924057791
mvp,TR,portao_e_rede,-4.813946001642076,30.7601245006592
mvp,TR,outros,-2.77416101568535,17.726318117870154
mvp,TU,portao_sem_rede,-122.35416666666666,98.88453929368188
mvp,TU,rede_sem_portao,19.458333333333407,-15.725891316243695
mvp,TU,portao_e_rede,-18.61979166666682,15.048196321084438
mvp,TU,outros,-2.2187500000000577,1.7931557014775064
mvp,TW,portao_sem_rede,23.203125000000014,-35.21460754090587
mvp,TW,rede_sem_portao,-92.6093749999997,140.55015413801232
mvp,TW,portao_e_rede,1.2812499999989981,-1.944510315388568
mvp,TW,outros,2.234374999999775,-3.391036281716519
mvp,atraso_relativo,portao_sem_rede,-0.12788335168301404,11.081369607122394
mvp,atraso_relativo,rede_sem_portao,-0.2648824188929969,22.95263572272944
mvp,atraso_relativo,portao_e_rede,-0.08143535068083599,7.056549645467518
mvp,atraso_relativo,outros,-0.6798381014834476,58.90944502468108
mvp,divida_latente_sobre_plano,portao_sem_rede,-0.0017253054233335868,3.039747441062266
mvp,divida_latente_sobre_plano,rede_sem_portao,-0.0007423072753975914,1.307841852436526
mvp,divida_latente_sobre_plano,portao_e_rede,-0.0009000581383920938,1.5857768636107332
mvp,divida_latente_sobre_plano,outros,-0.053390512425979496,94.06663384289061
mvp,n_com_erro,portao_sem_rede,-0.16666666666666835,1.6780283167278616
mvp,n_com_erro,rede_sem_portao,0.031250000000003275,-0.31463030938650416
mvp,n_com_erro,portao_e_rede,-0.19270833333335047,1.9402202412167453
mvp,n_com_erro,outros,-9.604166666666668,96.69638175144208
mvp,retrabalho_sobre_plano,portao_sem_rede,-0.018211369283877517,39.81203739457901
mvp,retrabalho_sobre_plano,rede_sem_portao,-0.00565066182819335,12.352962399555254
mvp,retrabalho_sobre_plano,portao_e_rede,-0.013562472940531905,29.649043487874348
mvp,retrabalho_sobre_plano,outros,-0.008318870252469655,18.185956717992212
mvp,taxa_omissao,portao_sem_rede,-0.002777777777777884,1.6780283167278602
mvp,taxa_omissao,rede_sem_portao,0.0005208333333334234,-0.3146303093865086
mvp,taxa_omissao,portao_e_rede,-0.003211805555555872,1.9402202412167577
mvp,taxa_omissao,outros,-0.16006944444444438,96.69638175144205
