modelo,metrica,termo,ANTES_2x4_pct,DEPOIS_2x5_pct,nota
legado,n_com_erro,SOMA_principais,112.28765571913932,110.19252548131365,"bases diferentes: GN era absorvido em A; mudança de decomposição, não mudança automática de total"
legado,n_com_erro,SOMA_interacoes,-12.287655719139297,-10.1925254813135,"bases diferentes: GN era absorvido em A; mudança de decomposição, não mudança automática de total"
legado,retrabalho_sobre_plano,SOMA_principais,107.2357017731302,112.50258710032654,"bases diferentes: GN era absorvido em A; mudança de decomposição, não mudança automática de total"
legado,retrabalho_sobre_plano,SOMA_interacoes,-7.235701773130199,-12.50258710032584,"bases diferentes: GN era absorvido em A; mudança de decomposição, não mudança automática de total"
legado,taxa_omissao,SOMA_principais,112.2876557191393,110.1925254813137,"bases diferentes: GN era absorvido em A; mudança de decomposição, não mudança automática de total"
legado,taxa_omissao,SOMA_interacoes,-12.287655719139304,-10.192525481313504,"bases diferentes: GN era absorvido em A; mudança de decomposição, não mudança automática de total"
mvp,E_total,SOMA_principais,104.49467712364611,76.06387580501881,"bases diferentes: GN era absorvido em A; mudança de decomposição, não mudança automática de total"
mvp,E_total,SOMA_interacoes,-4.494677123646112,23.93612419498007,"bases diferentes: GN era absorvido em A; mudança de decomposição, não mudança automática de total"
mvp,S_UR_maximo,SOMA_principais,161.6907270827003,157.73726915629905,"bases diferentes: GN era absorvido em A; mudança de decomposição, não mudança automática de total"
mvp,S_UR_maximo,SOMA_interacoes,-61.69072708270035,-57.73726915629891,"bases diferentes: GN era absorvido em A; mudança de decomposição, não mudança automática de total"
mvp,TL,SOMA_principais,99.00695134061569,93.84264538198407,"bases diferentes: GN era absorvido em A; mudança de decomposição, não mudança automática de total"
mvp,TL,SOMA_interacoes,0.9930486593843126,6.157354618015839,"bases diferentes: GN era absorvido em A; mudança de decomposição, não mudança automática de total"
mvp,TR,SOMA_principais,105.46218559163988,113.6177420554564,"bases diferentes: GN era absorvido em A; mudança de decomposição, não mudança automática de total"
mvp,TR,SOMA_interacoes,-5.462185591639849,-13.617742055455697,"bases diferentes: GN era absorvido em A; mudança de decomposição, não mudança automática de total"
mvp,TU,SOMA_principais,102.57120595619428,89.08532222081914,"bases diferentes: GN era absorvido em A; mudança de decomposição, não mudança automática de total"
mvp,TU,SOMA_interacoes,-2.57120595619427,10.914677779180993,"bases diferentes: GN era absorvido em A; mudança de decomposição, não mudança automática de total"
mvp,TW,SOMA_principais,97.23576103606742,104.34748241245734,"bases diferentes: GN era absorvido em A; mudança de decomposição, não mudança automática de total"
mvp,TW,SOMA_interacoes,2.7642389639325957,-4.347482412455954,"bases diferentes: GN era absorvido em A; mudança de decomposição, não mudança automática de total"
mvp,atraso_relativo,SOMA_principais,118.85470614015344,144.2115005352576,"bases diferentes: GN era absorvido em A; mudança de decomposição, não mudança automática de total"
mvp,atraso_relativo,SOMA_interacoes,-18.854706140153407,-44.21150053525718,"bases diferentes: GN era absorvido em A; mudança de decomposição, não mudança automática de total"
mvp,divida_latente_sobre_plano,SOMA_principais,161.83737690168013,157.64270287645078,"bases diferentes: GN era absorvido em A; mudança de decomposição, não mudança automática de total"
mvp,divida_latente_sobre_plano,SOMA_interacoes,-61.83737690168013,-57.64270287645067,"bases diferentes: GN era absorvido em A; mudança de decomposição, não mudança automática de total"
mvp,n_com_erro,SOMA_principais,112.28765571913932,117.46198217094913,"bases diferentes: GN era absorvido em A; mudança de decomposição, não mudança automática de total"
mvp,n_com_erro,SOMA_interacoes,-12.287655719139297,-17.461982170948936,"bases diferentes: GN era absorvido em A; mudança de decomposição, não mudança automática de total"
mvp,retrabalho_sobre_plano,SOMA_principais,107.2357017731302,113.3210866813202,"bases diferentes: GN era absorvido em A; mudança de decomposição, não mudança automática de total"
mvp,retrabalho_sobre_plano,SOMA_interacoes,-7.235701773130199,-13.32108668131936,"bases diferentes: GN era absorvido em A; mudança de decomposição, não mudança automática de total"
mvp,taxa_omissao,SOMA_principais,112.2876557191393,117.4619821709491,"bases diferentes: GN era absorvido em A; mudança de decomposição, não mudança automática de total"
mvp,taxa_omissao,SOMA_interacoes,-12.287655719139304,-17.461982170948925,"bases diferentes: GN era absorvido em A; mudança de decomposição, não mudança automática de total"
