configuracao,metrica,numero,ANTES,DEPOIS,delta,CONTROLE_mesmo_ambiente,delta_vs_controle
C4,E_total,variacao_percentual,13.347485678533502,18.146422877812512,4.79893719927901,13.347485678533518,4.798937199278994
C4,E_total,d_instancia,3.752444045375827,4.195303913591563,0.4428598682157361,3.7524440453758268,0.44285986821573653
C4,E_total,favoraveis_instancia,1.0,1.0,0.0,1.0,0.0
C4,E_total,p_instancia,3.0517578125e-05,3.0517578125e-05,0.0,3.0517578125e-05,0.0
C4,retrabalho_sobre_plano,media_centralizada,0.20309877307027,0.1879349277065485,-0.015163845363721506,0.20309877307027008,-0.01516384536372159
C4,retrabalho_sobre_plano,media_adaptativa,0.1544681748545185,0.15367115586378555,-0.0007970189907329506,0.15446817485451853,-0.0007970189907329783
C4,retrabalho_sobre_plano,variacao_percentual,-23.94430920512054,-18.23172108606878,5.712588119051759,-23.944309205120547,5.712588119051766
C4,retrabalho_sobre_plano,d_instancia,-3.0736131015502792,-2.0221698328979087,1.0514432686523705,-3.0736131015502792,1.0514432686523705
C4,retrabalho_sobre_plano,favoraveis_instancia,1.0,1.0,0.0,1.0,0.0
C4,retrabalho_sobre_plano,p_instancia,3.0517578125e-05,3.0517578125e-05,0.0,3.0517578125e-05,0.0
C4,retrabalho_sobre_esforco_realizado,media_centralizada,0.0770044237565273,0.0834694588475936,0.006465035091066301,0.0770044237565273,0.006465035091066301
C4,retrabalho_sobre_esforco_realizado,media_adaptativa,0.0846140173868061,0.09148958773065974,0.0068755703438536375,0.0846140173868061,0.0068755703438536375
C4,retrabalho_sobre_esforco_realizado,variacao_percentual,9.882021394431602,9.608459182310078,-0.273562212121524,9.882021394431588,-0.2735622121215098
C4,retrabalho_sobre_esforco_realizado,d_instancia,1.2846685517413916,1.087790240824956,-0.1968783109164356,1.2846685517413916,-0.1968783109164356
C4,retrabalho_sobre_esforco_realizado,favoraveis_instancia,0.0625,0.125,0.0625,0.0625,0.0625
C4,retrabalho_sobre_esforco_realizado,p_instancia,9.1552734375e-05,0.000762939453125,0.00067138671875,9.1552734375e-05,0.00067138671875
C4_C1,n_com_erro,media_centralizada,13.020833333333332,13.505208333333334,0.4843750000000018,13.020833333333332,0.4843750000000018
C4_C1,n_com_erro,media_adaptativa,3.8229166666666665,3.5729166666666665,-0.25,3.8229166666666665,-0.25
C4_C1,n_com_erro,variacao_percentual,-70.64,-73.54415734670266,-2.904157346702661,-70.64,-2.904157346702661
