fonte,modelo,metrica,termo,numero,ANTES,DEPOIS,delta,CONTROLE_mesmo_ambiente,delta_vs_controle
modelo_10_fatorial_decomposicao.csv,legado,atraso_relativo,ABCD,p_valor,,,,,
modelo_10_fatorial_decomposicao.csv,legado,atraso_relativo,ABCD,n_instancias,16.0,16.0,0.0,16.0,0.0
modelo_10_fatorial_decomposicao.csv,legado,atraso_relativo,SOMA_principais,parcela_media,-1.349475396190007,-1.3494753961900066,4.440892098500626e-16,-1.3494753961900066,0.0
modelo_10_fatorial_decomposicao.csv,legado,atraso_relativo,SOMA_principais,pct_do_contraste,118.85470614015344,118.85470614015338,-5.684341886080802e-14,118.85470614015338,0.0
modelo_10_fatorial_decomposicao.csv,legado,atraso_relativo,SOMA_principais,p_valor,,,,,
modelo_10_fatorial_decomposicao.csv,legado,atraso_relativo,SOMA_principais,n_instancias,16.0,16.0,0.0,16.0,0.0
modelo_10_fatorial_decomposicao.csv,legado,atraso_relativo,SOMA_interacoes,parcela_media,0.2140761848212065,0.2140761848212011,-5.384581669432009e-15,0.2140761848212011,0.0
modelo_10_fatorial_decomposicao.csv,legado,atraso_relativo,SOMA_interacoes,pct_do_contraste,-18.854706140153407,-18.854706140152928,4.796163466380676e-13,-18.854706140152928,0.0
modelo_10_fatorial_decomposicao.csv,legado,atraso_relativo,SOMA_interacoes,p_valor,,,,,
modelo_10_fatorial_decomposicao.csv,legado,atraso_relativo,SOMA_interacoes,n_instancias,16.0,16.0,0.0,16.0,0.0
modelo_07_ablacao_parametros.csv,legado,atraso_relativo,centralizada,dif_absoluta,0.0,0.0,0.0,0.0,0.0
modelo_07_ablacao_parametros.csv,legado,atraso_relativo,centralizada,dif_relativa_pct,0.0,0.0,0.0,0.0,0.0
modelo_07_ablacao_parametros.csv,legado,atraso_relativo,centralizada,p_valor,,,,,
modelo_07_ablacao_parametros.csv,legado,atraso_relativo,centralizada,d_cohen_pareado,,,,,
modelo_07_ablacao_parametros.csv,legado,atraso_relativo,centralizada,prop_instancias_com_dif,0.0,0.0,0.0,0.0,0.0
modelo_07_ablacao_parametros.csv,legado,atraso_relativo,centralizada,n_instancias,16.0,16.0,0.0,16.0,0.0
modelo_07_ablacao_parametros.csv,legado,atraso_relativo,centralizada,media_referencia_centralizada,3.134532505799728,3.1345325057997275,-4.440892098500626e-16,3.1345325057997275,0.0
modelo_07_ablacao_parametros.csv,legado,atraso_relativo,centralizada,media_braco,3.134532505799728,3.1345325057997275,-4.440892098500626e-16,3.1345325057997275,0.0
modelo_07_ablacao_parametros.csv,legado,atraso_relativo,centralizada,efeito_total_adaptativa,-1.1353992113688005,-1.1353992113688003,2.220446049250313e-16,-1.1353992113688003,0.0
modelo_07_ablacao_parametros.csv,legado,atraso_relativo,centralizada,fracao_do_efeito_total_pct,-0.0,-0.0,0.0,-0.0,0.0
modelo_07_ablacao_parametros.csv,legado,atraso_relativo,adaptativa,dif_absoluta,-1.1353992113688005,-1.1353992113688003,2.220446049250313e-16,-1.1353992113688003,0.0
modelo_07_ablacao_parametros.csv,legado,atraso_relativo,adaptativa,dif_relativa_pct,-36.222282246810536,-36.222282246810536,0.0,-36.222282246810536,0.0
modelo_07_ablacao_parametros.csv,legado,atraso_relativo,adaptativa,p_valor,3.0517578125e-05,3.0517578125e-05,0.0,3.0517578125e-05,0.0
modelo_07_ablacao_parametros.csv,legado,atraso_relativo,adaptativa,d_cohen_pareado,-5.54647837551483,-5.546478375514831,-8.881784197001252e-16,-5.546478375514831,0.0
modelo_07_ablacao_parametros.csv,legado,atraso_relativo,adaptativa,prop_instancias_com_dif,1.0,1.0,0.0,1.0,0.0
modelo_07_ablacao_parametros.csv,legado,atraso_relativo,adaptativa,n_instancias,16.0,16.0,0.0,16.0,0.0
modelo_07_ablacao_parametros.csv,legado,atraso_relativo,adaptativa,media_referencia_centralizada,3.134532505799728,3.1345325057997275,-4.440892098500626e-16,3.1345325057997275,0.0
modelo_07_ablacao_parametros.csv,legado,atraso_relativo,adaptativa,media_braco,1.9991332944309277,1.9991332944309277,0.0,1.9991332944309277,0.0
modelo_07_ablacao_parametros.csv,legado,atraso_relativo,adaptativa,efeito_total_adaptativa,-1.1353992113688005,-1.1353992113688003,2.220446049250313e-16,-1.1353992113688003,0.0
modelo_07_ablacao_parametros.csv,legado,atraso_relativo,adaptativa,fracao_do_efeito_total_pct,100.0,100.0,0.0,100.0,0.0
modelo_07_ablacao_parametros.csv,legado,atraso_relativo,so_tau_inicial,dif_absoluta,-0.5967631177136437,-0.5967631177136437,0.0,-0.5967631177136437,0.0
modelo_07_ablacao_parametros.csv,legado,atraso_relativo,so_tau_inicial,dif_relativa_pct,-19.0383451634166,-19.038345163416604,-3.552713678800501e-15,-19.038345163416604,0.0
modelo_07_ablacao_parametros.csv,legado,atraso_relativo,so_tau_inicial,p_valor,3.0517578125e-05,3.0517578125e-05,0.0,3.0517578125e-05,0.0
modelo_07_ablacao_parametros.csv,legado,atraso_relativo,so_tau_inicial,d_cohen_pareado,-2.855828554614112,-2.855828554614112,0.0,-2.855828554614112,0.0
modelo_07_ablacao_parametros.csv,legado,atraso_relativo,so_tau_inicial,prop_instancias_com_dif,1.0,1.0,0.0,1.0,0.0
modelo_07_ablacao_parametros.csv,legado,atraso_relativo,so_tau_inicial,n_instancias,16.0,16.0,0.0,16.0,0.0
modelo_07_ablacao_parametros.csv,legado,atraso_relativo,so_tau_inicial,media_referencia_centralizada,3.134532505799728,3.1345325057997275,-4.440892098500626e-16,3.1345325057997275,0.0
modelo_07_ablacao_parametros.csv,legado,atraso_relativo,so_tau_inicial,media_braco,2.537769388086084,2.537769388086084,0.0,2.537769388086084,0.0
modelo_07_ablacao_parametros.csv,legado,atraso_relativo,so_tau_inicial,efeito_total_adaptativa,-1.1353992113688005,-1.1353992113688003,2.220446049250313e-16,-1.1353992113688003,0.0
modelo_07_ablacao_parametros.csv,legado,atraso_relativo,so_tau_inicial,fracao_do_efeito_total_pct,52.55976151279914,52.55976151279914,0.0,52.55976151279914,0.0
modelo_07_ablacao_parametros.csv,legado,atraso_relativo,so_tau_min,dif_absoluta,0.0,0.0,0.0,0.0,0.0
modelo_07_ablacao_parametros.csv,legado,atraso_relativo,so_tau_min,dif_relativa_pct,0.0,0.0,0.0,0.0,0.0
modelo_07_ablacao_parametros.csv,legado,atraso_relativo,so_tau_min,p_valor,,,,,
modelo_07_ablacao_parametros.csv,legado,atraso_relativo,so_tau_min,d_cohen_pareado,,,,,
modelo_07_ablacao_parametros.csv,legado,atraso_relativo,so_tau_min,prop_instancias_com_dif,0.0,0.0,0.0,0.0,0.0
modelo_07_ablacao_parametros.csv,legado,atraso_relativo,so_tau_min,n_instancias,16.0,16.0,0.0,16.0,0.0
modelo_07_ablacao_parametros.csv,legado,atraso_relativo,so_tau_min,media_referencia_centralizada,3.134532505799728,3.1345325057997275,-4.440892098500626e-16,3.1345325057997275,0.0
modelo_07_ablacao_parametros.csv,legado,atraso_relativo,so_tau_min,media_braco,3.134532505799728,3.1345325057997275,-4.440892098500626e-16,3.1345325057997275,0.0
modelo_07_ablacao_parametros.csv,legado,atraso_relativo,so_tau_min,efeito_total_adaptativa,-1.1353992113688005,-1.1353992113688003,2.220446049250313e-16,-1.1353992113688003,0.0
modelo_07_ablacao_parametros.csv,legado,atraso_relativo,so_tau_min,fracao_do_efeito_total_pct,-0.0,-0.0,0.0,-0.0,0.0
modelo_07_ablacao_parametros.csv,legado,atraso_relativo,so_p_reporte,dif_absoluta,-0.3161998532438221,-0.3161998532438221,0.0,-0.3161998532438221,0.0
modelo_07_ablacao_parametros.csv,legado,atraso_relativo,so_p_reporte,dif_relativa_pct,-10.087623996840591,-10.087623996840595,-3.552713678800501e-15,-10.087623996840595,0.0
modelo_07_ablacao_parametros.csv,legado,atraso_relativo,so_p_reporte,p_valor,3.0517578125e-05,3.0517578125e-05,0.0,3.0517578125e-05,0.0
modelo_07_ablacao_parametros.csv,legado,atraso_relativo,so_p_reporte,d_cohen_pareado,-1.930382561501532,-1.9303825615015329,-8.881784197001252e-16,-1.9303825615015329,0.0
modelo_07_ablacao_parametros.csv,legado,atraso_relativo,so_p_reporte,prop_instancias_com_dif,1.0,1.0,0.0,1.0,0.0
modelo_07_ablacao_parametros.csv,legado,atraso_relativo,so_p_reporte,n_instancias,16.0,16.0,0.0,16.0,0.0
modelo_07_ablacao_parametros.csv,legado,atraso_relativo,so_p_reporte,media_referencia_centralizada,3.134532505799728,3.1345325057997275,-4.440892098500626e-16,3.1345325057997275,0.0
modelo_07_ablacao_parametros.csv,legado,atraso_relativo,so_p_reporte,media_braco,2.818332652555906,2.818332652555906,0.0,2.818332652555906,0.0
modelo_07_ablacao_parametros.csv,legado,atraso_relativo,so_p_reporte,efeito_total_adaptativa,-1.1353992113688005,-1.1353992113688003,2.220446049250313e-16,-1.1353992113688003,0.0
modelo_07_ablacao_parametros.csv,legado,atraso_relativo,so_p_reporte,fracao_do_efeito_total_pct,27.84922255341554,27.84922255341554,0.0,27.84922255341554,0.0
modelo_07_ablacao_parametros.csv,legado,atraso_relativo,so_p_deteccao,dif_absoluta,-0.4365124252325411,-0.4365124252325411,0.0,-0.4365124252325411,0.0
modelo_07_ablacao_parametros.csv,legado,atraso_relativo,so_p_deteccao,dif_relativa_pct,-13.925917961446428,-13.925917961446428,0.0,-13.925917961446428,0.0
modelo_07_ablacao_parametros.csv,legado,atraso_relativo,so_p_deteccao,p_valor,3.0517578125e-05,3.0517578125e-05,0.0,3.0517578125e-05,0.0
modelo_07_ablacao_parametros.csv,legado,atraso_relativo,so_p_deteccao,d_cohen_pareado,-2.895007702714042,-2.895007702714042,0.0,-2.895007702714042,0.0
modelo_07_ablacao_parametros.csv,legado,atraso_relativo,so_p_deteccao,prop_instancias_com_dif,1.0,1.0,0.0,1.0,0.0
modelo_07_ablacao_parametros.csv,legado,atraso_relativo,so_p_deteccao,n_instancias,16.0,16.0,0.0,16.0,0.0
modelo_07_ablacao_parametros.csv,legado,atraso_relativo,so_p_deteccao,media_referencia_centralizada,3.134532505799728,3.1345325057997275,-4.440892098500626e-16,3.1345325057997275,0.0
modelo_07_ablacao_parametros.csv,legado,atraso_relativo,so_p_deteccao,media_braco,2.6980200805671872,2.6980200805671872,0.0,2.6980200805671872,0.0
modelo_07_ablacao_parametros.csv,legado,atraso_relativo,so_p_deteccao,efeito_total_adaptativa,-1.1353992113688005,-1.1353992113688003,2.220446049250313e-16,-1.1353992113688003,0.0
modelo_07_ablacao_parametros.csv,legado,atraso_relativo,so_p_deteccao,fracao_do_efeito_total_pct,38.445722073938725,38.445722073938725,0.0,38.445722073938725,0.0
modelo_07_ablacao_parametros.csv,legado,atraso_relativo,so_par_tau,dif_absoluta,-0.5967631177136437,-0.5967631177136437,0.0,-0.5967631177136437,0.0
modelo_07_ablacao_parametros.csv,legado,atraso_relativo,so_par_tau,dif_relativa_pct,-19.0383451634166,-19.038345163416604,-3.552713678800501e-15,-19.038345163416604,0.0
modelo_07_ablacao_parametros.csv,legado,atraso_relativo,so_par_tau,p_valor,3.0517578125e-05,3.0517578125e-05,0.0,3.0517578125e-05,0.0
modelo_07_ablacao_parametros.csv,legado,atraso_relativo,so_par_tau,d_cohen_pareado,-2.855828554614112,-2.855828554614112,0.0,-2.855828554614112,0.0
modelo_07_ablacao_parametros.csv,legado,atraso_relativo,so_par_tau,prop_instancias_com_dif,1.0,1.0,0.0,1.0,0.0
modelo_07_ablacao_parametros.csv,legado,atraso_relativo,so_par_tau,n_instancias,16.0,16.0,0.0,16.0,0.0
modelo_07_ablacao_parametros.csv,legado,atraso_relativo,so_par_tau,media_referencia_centralizada,3.134532505799728,3.1345325057997275,-4.440892098500626e-16,3.1345325057997275,0.0
modelo_07_ablacao_parametros.csv,legado,atraso_relativo,so_par_tau,media_braco,2.537769388086084,2.537769388086084,0.0,2.537769388086084,0.0
