configuracao,metrica,n_instancias,media_centralizada,media_adaptativa,media_diferenca,ic95_inferior,ic95_superior,n_positivo,n_negativo,n_zero,n_pares_censurados
centro_fator_1.0,tarefas_pendentes,4,0.0,0.0,0.0,0.0,0.0,0,0,4,0
centro_fator_1.0,taxa_omissao,4,0.2927083333333333,0.06875,-0.22395833333333331,-0.2608234981014027,-0.1870931685652639,0,4,0,0
centro_horizonte_dobrado,E_plano,4,331.5,331.5,0.0,0.0,0.0,0,0,4,0
centro_horizonte_dobrado,E_total,4,0.696781805795768,0.8225605174936089,0.12577871169784088,0.01764632850573239,0.23391109488994938,4,0,0,0
centro_horizonte_dobrado,S_PV_final,4,227.8125,299.875,72.0625,53.058163756241484,91.06683624375852,4,0,0,0
centro_horizonte_dobrado,S_UR_final,4,2.1996293675385914e-15,1.942890293094024e-16,-2.005340338229189e-15,-4.5157477359852215e-15,5.050670595268439e-16,1,3,0,0
centro_horizonte_dobrado,S_UR_maximo,4,31.126587314211854,8.830482148096632,-22.29610516611522,-34.399036187917396,-10.193174144313042,0,4,0,0
centro_horizonte_dobrado,TL,4,0.0,8.0,8.0,6.584198823566333,9.415801176433666,4,0,0,0
centro_horizonte_dobrado,TR,4,88.53587559498514,81.10919056377006,-7.426685031215081,-32.420142644079874,17.56677258164971,1,3,0,0
centro_horizonte_dobrado,TU,4,148.0,15.0,-133.0,-231.0061927587072,-34.99380724129283,0,4,0,0
centro_horizonte_dobrado,TW,4,534.3125,480.9375,-53.375,-82.49282576015494,-24.257174239845064,0,4,0,0
centro_horizonte_dobrado,atraso_relativo,4,3.10772996714577,2.00156334908741,-1.1061666180583598,-1.394128768631194,-0.8182044674855256,0,4,0,0
centro_horizonte_dobrado,competencia_maxima_final,4,0.7115921506366745,0.8598202245184223,0.14822807388174766,0.08763799648500523,0.2088181512784901,4,0,0,0
centro_horizonte_dobrado,competencia_maxima_inicial,4,0.7115921506366745,0.7115921506366745,0.0,0.0,0.0,0,0,4,0
centro_horizonte_dobrado,competencia_minima_inicial,4,0.34492122943841474,0.34492122943841474,0.0,0.0,0.0,0,0,4,0
centro_horizonte_dobrado,concluiu,4,1.0,1.0,0.0,0.0,0.0,0,0,4,0
centro_horizonte_dobrado,confianca_media_final,4,0.25,0.7999999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,4,0,0,0
centro_horizonte_dobrado,divida_latente_sobre_plano,4,0.09397148848087511,0.02661585275276053,-0.06735563572811458,-0.10445116093138263,-0.03026011052484654,0,4,0,0
centro_horizonte_dobrado,dividas_pendentes,4,0.0,0.0,0.0,0.0,0.0,0,0,4,0
centro_horizonte_dobrado,extensoes_horizonte,4,0.0,0.0,0.0,0.0,0.0,0,0,4,0
centro_horizonte_dobrado,hiato_colega_capaz_sem_confianca,4,100.375,0.0,-100.375,-174.02280872909682,-26.727191270903177,0,4,0,0
centro_horizonte_dobrado,hiato_encontrado,4,148.0,23.0,-125.0,-222.24432806425517,-27.75567193574483,0,4,0,0
centro_horizonte_dobrado,hiato_sem_colega_capaz,4,47.625,15.0,-32.625,-58.11459536244203,-7.135404637557972,0,4,0,0
centro_horizonte_dobrado,hiato_sem_colega_livre,4,7.125,6.25,-0.875,-7.769025191659671,6.019025191659671,2,2,0,0
centro_horizonte_dobrado,makespan,4,256.5,165.0625,-91.4375,-102.34818948655303,-80.52681051344697,0,4,0,0
centro_horizonte_dobrado,makespan_cpm,4,84.5,84.5,0.0,0.0,0.0,0,0,4,0
centro_horizonte_dobrado,n_adiamentos,4,0.0,0.0,0.0,0.0,0.0,0,0,4,0
centro_horizonte_dobrado,n_com_erro,4,17.25,5.1875,-12.0625,-14.806591123801088,-9.318408876198912,0,4,0,0
centro_horizonte_dobrado,n_limpas,4,42.75,54.8125,12.0625,9.318408876198912,14.806591123801088,4,0,0,0
centro_horizonte_dobrado,n_reportadas,4,2.875,14.625,11.75,9.476350538655659,14.023649461344341,4,0,0,0
centro_horizonte_dobrado,n_tarefas,4,60.0,60.0,0.0,0.0,0.0,0,0,4,0
centro_horizonte_dobrado,ocupacao_retrabalho,4,97.5625,89.625,-7.9375,-34.327699324844744,18.452699324844748,1,3,0,0
centro_horizonte_dobrado,p1_fuga,4,0.0,0.0,0.0,0.0,0.0,0,0,4,0
centro_horizonte_dobrado,p1_omissao,4,33.6875,20.25,-13.4375,-18.556432566152694,-8.318567433847306,0,4,0,0
centro_horizonte_dobrado,p2_ajuda,4,0.0,8.0,8.0,6.584198823566333,9.415801176433666,4,0,0,0
centro_horizonte_dobrado,p2_bloqueio,4,148.0,15.0,-133.0,-231.0061927587072,-34.99380724129283,0,4,0,0
centro_horizonte_dobrado,p3_analitica,4,26.3125,39.75,13.4375,8.318567433847306,18.556432566152694,4,0,0,0
centro_horizonte_dobrado,retrabalho_gerado,4,88.53587559498513,81.10919056377006,-7.426685031215078,-32.42014264407988,17.566772581649722,1,3,0,0
centro_horizonte_dobrado,retrabalho_pendente,4,0.0,0.0,0.0,0.0,0.0,0,0,4,0
centro_horizonte_dobrado,retrabalho_sobre_esforco_realizado,4,0.1147071473975616,0.13799775945986323,0.02329061206230163,-0.002533766533071191,0.049114990657674454,4,0,0,0
centro_horizonte_dobrado,retrabalho_sobre_plano,4,0.2669251363752168,0.2448032402094642,-0.02212189616575258,-0.09657138556409126,0.052327593232586095,1,3,0,0
centro_horizonte_dobrado,tarefas_acima_da_competencia_maxima_inicial,4,10.0,10.0,0.0,0.0,0.0,0,0,4,0
centro_horizonte_dobrado,tarefas_pendentes,4,0.0,0.0,0.0,0.0,0.0,0,0,4,0
