configuracao,arquivo,metrica,centralizada,adaptativa,diferenca,n_pares,n_pares_censurados
centro_fator_1.0,j6043_1.sm,E_total,0.6967978100705866,0.8403648823472429,0.14356707227665655,4,0
centro_fator_1.0,j6010_1.sm,S_UR_final,1.887379141862766e-15,8.326672684688674e-17,-1.8041124150158794e-15,4,0
centro_fator_1.0,j6021_1.sm,S_UR_final,2.220446049250313e-16,0.0,-2.220446049250313e-16,4,0
centro_fator_1.0,j6032_1.sm,S_UR_final,4.440892098500626e-16,0.0,-4.440892098500626e-16,4,0
centro_fator_1.0,j6043_1.sm,S_UR_final,0.0,2.220446049250313e-16,2.220446049250313e-16,4,0
centro_fator_1.0,j6010_1.sm,S_UR_maximo,28.372806803595186,5.139167624086829,-23.233639179508355,4,0
centro_fator_1.0,j6021_1.sm,S_UR_maximo,25.67381409995908,8.905520243247091,-16.768293856711992,4,0
centro_fator_1.0,j6032_1.sm,S_UR_maximo,37.0778352153371,7.018477709631786,-30.05935750570531,4,0
centro_fator_1.0,j6043_1.sm,S_UR_maximo,25.281266631133274,6.585222897932164,-18.69604373320111,4,0
centro_fator_1.0,j6010_1.sm,S_PV_final,223.0,302.75,79.75,4,0
centro_fator_1.0,j6021_1.sm,S_PV_final,212.75,304.5,91.75,4,0
centro_fator_1.0,j6032_1.sm,S_PV_final,226.25,306.75,80.5,4,0
centro_fator_1.0,j6043_1.sm,S_PV_final,234.25,305.5,71.25,4,0
centro_fator_1.0,j6010_1.sm,TW,622.5,533.25,-89.25,4,0
centro_fator_1.0,j6021_1.sm,TW,643.5,549.25,-94.25,4,0
centro_fator_1.0,j6032_1.sm,TW,739.75,579.5,-160.25,4,0
centro_fator_1.0,j6043_1.sm,TW,622.25,504.75,-117.5,4,0
centro_fator_1.0,j6010_1.sm,TL,0.0,8.5,8.5,4,0
centro_fator_1.0,j6021_1.sm,TL,0.0,5.75,5.75,4,0
centro_fator_1.0,j6032_1.sm,TL,0.0,7.5,7.5,4,0
centro_fator_1.0,j6043_1.sm,TL,0.0,9.0,9.0,4,0
centro_fator_1.0,j6010_1.sm,TU,99.5,14.75,-84.75,4,0
centro_fator_1.0,j6021_1.sm,TU,69.5,9.25,-60.25,4,0
centro_fator_1.0,j6032_1.sm,TU,121.75,21.75,-100.0,4,0
centro_fator_1.0,j6043_1.sm,TU,183.75,15.0,-168.75,4,0
centro_fator_1.0,j6010_1.sm,TR,79.12649702468222,71.73997411863897,-7.386522906043258,4,0
centro_fator_1.0,j6021_1.sm,TR,109.43662144774665,86.12773689899379,-23.30888454875286,4,0
centro_fator_1.0,j6032_1.sm,TR,87.99265991915962,69.20149989361046,-18.791160025549146,4,0
centro_fator_1.0,j6043_1.sm,TR,87.55037468281014,71.81449140625156,-15.735883276558578,4,0
centro_fator_1.0,j6010_1.sm,n_limpas,43.75,56.75,13.0,4,0
centro_fator_1.0,j6021_1.sm,n_limpas,40.75,55.75,15.0,4,0
centro_fator_1.0,j6032_1.sm,n_limpas,41.5,55.5,14.0,4,0
centro_fator_1.0,j6043_1.sm,n_limpas,43.75,55.5,11.75,4,0
centro_fator_1.0,j6010_1.sm,n_com_erro,16.25,3.25,-13.0,4,0
centro_fator_1.0,j6021_1.sm,n_com_erro,19.25,4.25,-15.0,4,0
centro_fator_1.0,j6032_1.sm,n_com_erro,18.5,4.5,-14.0,4,0
centro_fator_1.0,j6043_1.sm,n_com_erro,16.25,4.5,-11.75,4,0
centro_fator_1.0,j6010_1.sm,n_reportadas,1.5,14.5,13.0,4,0
centro_fator_1.0,j6021_1.sm,n_reportadas,3.5,14.5,11.0,4,0
centro_fator_1.0,j6032_1.sm,n_reportadas,0.75,14.0,13.25,4,0
centro_fator_1.0,j6043_1.sm,n_reportadas,3.0,15.0,12.0,4,0
centro_fator_1.0,j6010_1.sm,n_adiamentos,0.0,0.0,0.0,4,0
centro_fator_1.0,j6021_1.sm,n_adiamentos,0.0,0.0,0.0,4,0
centro_fator_1.0,j6032_1.sm,n_adiamentos,0.0,0.0,0.0,4,0
centro_fator_1.0,j6043_1.sm,n_adiamentos,0.0,0.0,0.0,4,0
centro_fator_1.0,j6010_1.sm,taxa_omissao,0.2708333333333333,0.05416666666666667,-0.21666666666666667,4,0
centro_fator_1.0,j6021_1.sm,taxa_omissao,0.3208333333333333,0.07083333333333333,-0.25,4,0
centro_fator_1.0,j6032_1.sm,taxa_omissao,0.30833333333333335,0.075,-0.23333333333333334,4,0
centro_fator_1.0,j6043_1.sm,taxa_omissao,0.2708333333333333,0.07500000000000001,-0.19583333333333336,4,0
centro_fator_1.0,j6010_1.sm,E_plano,323.0,323.0,0.0,4,0
centro_fator_1.0,j6021_1.sm,E_plano,332.0,332.0,0.0,4,0
centro_fator_1.0,j6032_1.sm,E_plano,337.0,337.0,0.0,4,0
centro_fator_1.0,j6043_1.sm,E_plano,334.0,334.0,0.0,4,0
centro_fator_1.0,j6010_1.sm,retrabalho_sobre_plano,0.24497367499901618,0.222105183029842,-0.022868491969174176,4,0
centro_fator_1.0,j6021_1.sm,retrabalho_sobre_plano,0.3296283778546586,0.2594208942740777,-0.07020748358058089,4,0
centro_fator_1.0,j6032_1.sm,retrabalho_sobre_plano,0.26110581578385644,0.20534569701368094,-0.055760118770175504,4,0
centro_fator_1.0,j6043_1.sm,retrabalho_sobre_plano,0.2621268703078148,0.2150134473241065,-0.0471134229837083,4,0
centro_fator_1.0,j6010_1.sm,divida_latente_sobre_plano,0.08784150713187365,0.015910735678287394,-0.07193077145358626,4,0
centro_fator_1.0,j6021_1.sm,divida_latente_sobre_plano,0.07733076536132254,0.026823856154358706,-0.05050690920696383,4,0
centro_fator_1.0,j6032_1.sm,divida_latente_sobre_plano,0.11002324989714272,0.0208263433520231,-0.08919690654511961,4,0
centro_fator_1.0,j6043_1.sm,divida_latente_sobre_plano,0.07569241506327327,0.019716236221353784,-0.05597617884191949,4,0
centro_fator_1.0,j6010_1.sm,retrabalho_sobre_esforco_realizado,0.09916124436836098,0.11358765697887059,0.014426412610509604,4,0
centro_fator_1.0,j6021_1.sm,retrabalho_sobre_esforco_realizado,0.13284643219468414,0.1320597612171078,-0.0007866709775763217,4,0
centro_fator_1.0,j6032_1.sm,retrabalho_sobre_esforco_realizado,0.0925260389073195,0.10187674226436762,0.009350703357048119,4,0
centro_fator_1.0,j6043_1.sm,retrabalho_sobre_esforco_realizado,0.09806792148870071,0.11968740818847225,0.02161948669977154,4,0
centro_fator_1.0,j6010_1.sm,p1_omissao,35.25,22.75,-12.5,4,0
centro_fator_1.0,j6021_1.sm,p1_omissao,32.5,24.5,-8.0,4,0
centro_fator_1.0,j6032_1.sm,p1_omissao,39.75,21.0,-18.75,4,0
centro_fator_1.0,j6043_1.sm,p1_omissao,32.0,14.75,-17.25,4,0
centro_fator_1.0,j6010_1.sm,p1_fuga,0.0,0.0,0.0,4,0
centro_fator_1.0,j6021_1.sm,p1_fuga,0.0,0.0,0.0,4,0
centro_fator_1.0,j6032_1.sm,p1_fuga,0.0,0.0,0.0,4,0
centro_fator_1.0,j6043_1.sm,p1_fuga,0.0,0.0,0.0,4,0
centro_fator_1.0,j6010_1.sm,p2_ajuda,0.0,8.5,8.5,4,0
