ANTES_config,DEPOIS_config,cenario,metrica,ANTES,DEPOIS,delta,ic95_delta_inf,ic95_delta_sup,n_instancias
C4_tempo_apenas,C4_completo,adaptativa,S_UR_final,2.544261098099317e-17,5.66676335485757e-17,3.122502256758253e-17,-3.396080953177144e-18,6.584612608834219e-17,16
C4_tempo_apenas,C4_completo,centralizada,S_UR_maximo,25.416481955759576,35.97224712691555,10.555765171155976,8.290284123916921,12.82124621839503,16
C4_tempo_apenas,C4_completo,adaptativa,S_UR_maximo,6.585722946665933,7.983790537117746,1.3980675904518147,0.6270416904211016,2.1690934904825276,16
C4_tempo_apenas,C4_completo,centralizada,S_PV_final,256.6875,226.69270833333334,-29.994791666666668,-34.252984562428296,-25.73659877090504,16
C4_tempo_apenas,C4_completo,adaptativa,S_PV_final,316.3020833333333,309.5520833333333,-6.75,-8.978828414597626,-4.521171585402374,16
C4_tempo_apenas,C4_completo,centralizada,TW,554.4739583333334,554.796875,0.3229166666666667,-0.5909929583113149,1.2368262916446484,16
C4_tempo_apenas,C4_completo,adaptativa,TW,492.5625,492.296875,-0.265625,-0.6297182968156394,0.09846829681563934,16
C4_tempo_apenas,C4_completo,centralizada,TL,0.0,0.0,0.0,0.0,0.0,16
C4_tempo_apenas,C4_completo,adaptativa,TL,10.776041666666666,10.78125,0.005208333333333335,-0.02906814676738298,0.03948481343404965,16
C4_tempo_apenas,C4_completo,centralizada,TU,143.57291666666666,144.53645833333334,0.9635416666666669,-1.602805762252447,3.529889095585781,16
C4_tempo_apenas,C4_completo,adaptativa,TU,5.911458333333333,5.859375,-0.05208333333333333,-0.15825417352382873,0.05408750685716207,16
C4_tempo_apenas,C4_completo,centralizada,TR,64.02010224312524,95.91101548106185,31.890913237936626,27.31104343045279,36.47078304542046,16
C4_tempo_apenas,C4_completo,adaptativa,TR,49.05746488425327,64.60433960669165,15.546874722438378,9.215298329879083,21.878451114997674,16
C4_tempo_apenas,C4_completo,centralizada,n_limpas,46.864583333333336,41.776041666666664,-5.088541666666667,-5.843772803827404,-4.33331052950593,16
C4_tempo_apenas,C4_completo,adaptativa,n_limpas,56.296875,55.046875,-1.25,-1.6288781054159542,-0.8711218945840458,16
C4_tempo_apenas,C4_completo,centralizada,n_com_erro,13.135416666666666,18.223958333333332,5.088541666666667,4.33331052950593,5.843772803827404,16
C4_tempo_apenas,C4_completo,adaptativa,n_com_erro,3.703125,4.953125,1.25,0.8711218945840458,1.6288781054159542,16
C4_tempo_apenas,C4_completo,centralizada,n_reportadas,1.8645833333333333,2.7604166666666665,0.8958333333333333,0.6936392772974995,1.098027389369167,16
C4_tempo_apenas,C4_completo,adaptativa,n_reportadas,9.901041666666666,12.067708333333334,2.166666666666667,1.431808699103156,2.901524634230178,16
C4_tempo_apenas,C4_completo,centralizada,n_adiamentos,0.0,0.0,0.0,0.0,0.0,16
C4_tempo_apenas,C4_completo,adaptativa,n_adiamentos,0.0,0.0,0.0,0.0,0.0,16
C4_tempo_apenas,C4_completo,centralizada,taxa_omissao,0.2189236111111111,0.30373263888888885,0.08480902777777777,0.07222184215843214,0.0973962133971234,16
C4_tempo_apenas,C4_completo,adaptativa,taxa_omissao,0.06171874999999997,0.0825520833333333,0.020833333333333336,0.01451869824306743,0.02714796842359924,16
C4_tempo_apenas,C4_completo,centralizada,E_plano,339.25,339.25,0.0,0.0,0.0,16
C4_tempo_apenas,C4_completo,adaptativa,E_plano,339.25,339.25,0.0,0.0,0.0,16
C4_tempo_apenas,C4_completo,centralizada,retrabalho_sobre_plano,0.1879349277065485,0.2815013133409556,0.09356638563440708,0.08146222248243383,0.10567054878638034,16
C4_tempo_apenas,C4_completo,adaptativa,retrabalho_sobre_plano,0.14447614638981268,0.18967773242862374,0.04520158603881107,0.0271447399790092,0.06325843209861293,16
C4_tempo_apenas,C4_completo,centralizada,divida_latente_sobre_plano,0.07464532435294624,0.10564438909990848,0.030999064746962242,0.02480355406168959,0.037194575432234894,16
C4_tempo_apenas,C4_completo,adaptativa,divida_latente_sobre_plano,0.019401928994244422,0.023541646257425507,0.004139717263181084,0.0018901782680396583,0.0063892562583225095,16
C4_tempo_apenas,C4_completo,centralizada,retrabalho_sobre_esforco_realizado,0.0834694588475936,0.11925015948192468,0.03578070063433106,0.0318154816646324,0.03974591960402972,16
C4_tempo_apenas,C4_completo,adaptativa,retrabalho_sobre_esforco_realizado,0.08739641032605543,0.11108797794383102,0.0236915676177756,0.015021649241495067,0.03236148599405614,16
C4_tempo_apenas,C4_completo,centralizada,p1_omissao,36.1875,36.354166666666664,0.16666666666666666,-0.11973826022988462,0.4530715935632179,16
C4_tempo_apenas,C4_completo,adaptativa,p1_omissao,18.489583333333332,18.8125,0.3229166666666667,0.08468232642361698,0.5611510069097164,16
C4_tempo_apenas,C4_completo,centralizada,p1_fuga,0.0,0.0,0.0,0.0,0.0,16
C4_tempo_apenas,C4_completo,adaptativa,p1_fuga,0.0,0.0,0.0,0.0,0.0,16
C4_tempo_apenas,C4_completo,centralizada,p2_ajuda,0.0,0.0,0.0,0.0,0.0,16
C4_tempo_apenas,C4_completo,adaptativa,p2_ajuda,10.776041666666666,10.78125,0.005208333333333335,-0.02906814676738298,0.03948481343404965,16
C4_tempo_apenas,C4_completo,centralizada,p2_bloqueio,143.57291666666666,144.53645833333334,0.9635416666666669,-1.602805762252447,3.529889095585781,16
C4_tempo_apenas,C4_completo,adaptativa,p2_bloqueio,5.911458333333333,5.859375,-0.05208333333333333,-0.15825417352382873,0.05408750685716207,16
C4_tempo_apenas,C4_completo,centralizada,p3_analitica,23.8125,23.645833333333332,-0.16666666666666666,-0.4530715935632179,0.11973826022988462,16
C4_tempo_apenas,C4_completo,adaptativa,p3_analitica,41.510416666666664,41.1875,-0.3229166666666667,-0.5611510069097164,-0.08468232642361698,16
C4_tempo_apenas,C4_completo,centralizada,hiato_encontrado,143.57291666666666,144.53645833333334,0.9635416666666669,-1.602805762252447,3.529889095585781,16
