perfil_adaptativa,perfil_centralizada,metrica,media,ic95_inf,ic95_sup
0,5,fracao_porta1,-0.014583333333333337,-0.036572875646001535,0.007406208979334864
0,6,atraso_relativo,0.6198251627755095,-0.12148448819319957,1.3611348137442185
0,6,taxa_omissao,0.18229166666666669,0.14128678458996768,0.22329654874336569
0,6,divida_latente_sobre_plano,0.050219143949133786,0.025627642565194505,0.07481064533307306
0,6,taxa_falha_efetiva,0.009374999999999998,-0.029426644776386148,0.04817664477638614
0,6,fracao_porta1,-0.009374999999999994,-0.06599022674576019,0.04724022674576019
0,7,atraso_relativo,0.7610854982725356,0.30042631159761085,1.2217446849474602
0,7,taxa_omissao,0.171875,0.0995745149231908,0.2441754850768092
0,7,divida_latente_sobre_plano,0.05278135912175326,0.02216255088282579,0.08340016736068073
0,7,taxa_falha_efetiva,-0.009375000000000003,-0.09554500117199206,0.07679500117199205
0,7,fracao_porta1,-0.037500000000000006,-0.08080760878751124,0.005807608787511229
0,8,atraso_relativo,0.8203480136651661,0.43625975517833393,1.204436272151998
0,8,taxa_omissao,0.16979166666666667,0.12310555468845402,0.21647777864487933
0,8,divida_latente_sobre_plano,0.054852369755625116,0.03108322067004831,0.07862151884120192
0,8,taxa_falha_efetiva,-0.008333333333333333,-0.05824288640277183,0.04157621973610517
0,8,fracao_porta1,-0.023958333333333342,-0.06839317194084814,0.02047650527418145
0,9,atraso_relativo,0.11383661937950867,-0.6110286758932315,0.8387019146522487
0,9,taxa_omissao,0.026041666666666664,-0.016712603507199462,0.06879593684053278
0,9,divida_latente_sobre_plano,0.00868126064152406,-0.006300201390551596,0.023662722673599715
0,9,taxa_falha_efetiva,0.019791666666666662,-0.04009368033751544,0.07967701367084877
0,9,fracao_porta1,-0.026041666666666664,-0.09086195125806812,0.03877861792473478
0,10,atraso_relativo,0.6547062188719881,0.2618326964380498,1.0475797413059265
0,10,taxa_omissao,0.019791666666666655,-0.005815158718225619,0.04539849205155893
0,10,divida_latente_sobre_plano,0.032283362583702596,0.012677379816283273,0.05188934535112192
0,10,taxa_falha_efetiva,0.012499999999999997,-0.02461275092705876,0.04961275092705875
0,10,fracao_porta1,-0.0031249999999999993,-0.051354869537643996,0.04510486953764399
0,11,atraso_relativo,0.7732200323556832,0.29347637422864936,1.252963690482717
0,11,taxa_omissao,0.004166666666666662,-0.05209156741404772,0.06042490074738105
0,11,divida_latente_sobre_plano,0.04076044985814277,0.020818563812393557,0.060702335903891985
0,11,taxa_falha_efetiva,-5.204170427930421e-18,-0.0621958179379048,0.06219581793790479
0,11,fracao_porta1,-0.02812499999999999,-0.11812108056060258,0.06187108056060261
0,12,atraso_relativo,0.20962852659497566,-0.3534641529098621,0.7727212060998134
0,12,taxa_omissao,0.07604166666666666,0.05101360134996322,0.1010697319833701
0,12,divida_latente_sobre_plano,0.018031506450363673,0.009999965036645088,0.026063047864082256
0,12,taxa_falha_efetiva,-0.01666666666666667,-0.06416950726835682,0.03083617393502349
0,12,fracao_porta1,-0.030208333333333337,-0.07689444531154599,0.016477778644879322
0,13,atraso_relativo,0.7184625878065439,0.08586283481651957,1.3510623407965683
0,13,taxa_omissao,0.08229166666666667,0.0470522205558642,0.11753111277746914
0,13,divida_latente_sobre_plano,0.04304679180620134,0.028596461302081273,0.05749712231032141
0,13,taxa_falha_efetiva,0.008333333333333335,-0.06078098360328893,0.07744765026995559
0,13,fracao_porta1,-0.01979166666666667,-0.0689245138669229,0.02934118053358956
0,14,atraso_relativo,0.7944055110602593,0.25462271463838637,1.3341883074821321
0,14,taxa_omissao,0.103125,0.04599449321890958,0.1602555067810904
0,14,divida_latente_sobre_plano,0.05242538566809353,0.028938589354944973,0.07591218198124208
0,14,taxa_falha_efetiva,0.005208333333333336,-0.08113154479245682,0.09154821145912351
0,14,fracao_porta1,-0.012499999999999997,-0.06744052819098581,0.04244052819098581
0,15,atraso_relativo,0.4090477508063993,0.13960461770431315,0.6784908839084856
0,15,taxa_omissao,0.18229166666666669,0.12725121624424823,0.23733211708908514
0,15,divida_latente_sobre_plano,0.048879390637019474,0.025788931387892632,0.07196984988614631
0,15,taxa_falha_efetiva,0.008333333333333333,-0.04997131934758029,0.06663798601424696
0,15,fracao_porta1,-0.035416666666666666,-0.0750126478332274,0.004179314499894074
0,16,atraso_relativo,0.7905053643628823,0.36341577158399596,1.2175949571417686
0,16,taxa_omissao,0.18437499999999998,0.13864014793664853,0.23010985206335144
0,16,divida_latente_sobre_plano,0.05915394976534263,0.033688730643639225,0.08461916888704603
0,16,taxa_falha_efetiva,0.010416666666666666,-0.029547657140171615,0.050380990473504944
0,16,fracao_porta1,-0.040625,-0.12963882925983655,0.04838882925983654
0,17,atraso_relativo,0.7505814145515821,0.20977638443475966,1.2913864446684045
0,17,taxa_omissao,0.18541666666666665,0.15601410117557238,0.21481923215776091
0,17,divida_latente_sobre_plano,0.06193632998274664,0.03733020036959511,0.08654245959589817
0,17,taxa_falha_efetiva,0.010416666666666664,-0.014093775644751994,0.03492710897808532
0,17,fracao_porta1,-0.05000000000000001,-0.09688186173392865,-0.003118138266071359
0,18,atraso_relativo,-0.05968134138984857,-0.6774700554360417,0.5581073726563445
0,18,taxa_omissao,0.012499999999999999,-0.011096686273894445,0.036096686273894445
0,18,divida_latente_sobre_plano,0.0007866104610638747,-0.013483468877663623,0.015056689799791372
0,18,taxa_falha_efetiva,0.009374999999999996,-0.030908860894080313,0.0496588608940803
0,18,fracao_porta1,-0.02604166666666667,-0.05684368014377978,0.004760346810446438
0,19,atraso_relativo,0.6344861759221868,0.3149787041207849,0.9539936477235887
0,19,taxa_omissao,0.01979166666666667,-0.04790353390802504,0.08748686724135837
0,19,divida_latente_sobre_plano,0.03042757725338388,0.012477828085905161,0.0483773264208626
0,19,taxa_falha_efetiva,0.01041666666666666,-0.04725628099732913,0.06808961433066245
0,19,fracao_porta1,-0.034375,-0.0656491024977448,-0.003100897502255201
0,20,atraso_relativo,0.750226776446658,0.47920037877388233,1.0212531741194337
0,20,taxa_omissao,0.012499999999999999,-0.02042873750118592,0.045428737501185916
0,20,divida_latente_sobre_plano,0.035648672565979235,0.021920369883374743,0.04937697524858373
0,20,taxa_falha_efetiva,0.013541666666666658,-0.042553546978380284,0.0696368803117136
0,20,fracao_porta1,-0.05937500000000001,-0.10446453079891457,-0.014285469201085456
0,21,atraso_relativo,0.023277178275327423,-0.825492748804685,0.8720471053553398
0,21,taxa_omissao,0.10520833333333333,0.03772993139573147,0.1726867352709352
0,21,divida_latente_sobre_plano,0.027964329151801373,0.013668880250763788,0.04225977805283896
0,21,taxa_falha_efetiva,0.016666666666666666,-0.029585879793488642,0.06291921312682197
0,21,fracao_porta1,-0.04375,-0.08221979810392907,-0.005280201896070931
0,22,atraso_relativo,0.6303607795775314,-0.024371597120552924,1.2850931562756158
0,22,taxa_omissao,0.109375,0.0701975435977775,0.1485524564022225
0,22,divida_latente_sobre_plano,0.042806493918034316,0.01996204150451339,0.06565094633155524
0,22,taxa_falha_efetiva,-0.0020833333333333363,-0.013566997277317066,0.009400330610650393
0,22,fracao_porta1,-0.05625000000000001,-0.10482045346723404,-0.0076795465327659795
0,23,atraso_relativo,0.7134276708395029,0.3131584011286509,1.113696940550355
