regra,limite,cenario,metrica,antes,depois,delta,N,incompletas,estatuto
dependente_estado,0.2,centralizada,divida_latente_sobre_plano,0.09128964386347407,0.030238010905837418,-0.06105163295763666,16,16,"CENSURADO: media ao teto, nao terminal"
dependente_estado,0.2,centralizada,taxa_falha_efetiva,0.30729166666666663,0.12291666666666665,-0.184375,16,16,"CENSURADO: media ao teto, nao terminal"
dependente_estado,0.2,centralizada,fracao_porta1,0.5385416666666667,0.41241402193980914,-0.12612764472685753,16,16,"CENSURADO: media ao teto, nao terminal"
dependente_estado,0.2,centralizada,p1_fuga,0.0,129245.0,129245.0,16,16,"CENSURADO: media ao teto, nao terminal"
dependente_estado,0.2,centralizada,fracao_fuga_p1,0.0,0.9998849278003508,0.9998849278003508,16,16,"CENSURADO: media ao teto, nao terminal"
dependente_estado,0.2,centralizada,N_req,0.0,0.0,0.0,16,16,"CENSURADO: media ao teto, nao terminal"
dependente_estado,0.2,centralizada,TW,536.5625,296.5,-240.0625,16,16,"CENSURADO: media ao teto, nao terminal"
dependente_estado,0.2,centralizada,TL,0.0,0.0,0.0,16,16,"CENSURADO: media ao teto, nao terminal"
dependente_estado,0.2,centralizada,TU,126.9375,129393.5,129266.5625,16,16,"CENSURADO: media ao teto, nao terminal"
dependente_estado,0.2,centralizada,TR,78.79686515338976,24.106147408398073,-54.69071774499169,16,16,"CENSURADO: media ao teto, nao terminal"
dependente_estado,0.2,centralizada,retrabalho_sobre_esforco_total,0.1908140677734686,0.06708490176640204,-0.12372916600706653,16,16,"CENSURADO: media ao teto, nao terminal"
dependente_estado,0.3,adaptativa,atraso_relativo,1.9582766392216686,128.8800173431946,126.92174070397292,16,8,"CENSURADO: media ao teto, nao terminal"
dependente_estado,0.3,adaptativa,taxa_omissao,0.061458333333333295,0.04062499999999997,-0.020833333333333325,16,8,"CENSURADO: media ao teto, nao terminal"
dependente_estado,0.3,adaptativa,divida_latente_sobre_plano,0.02330482563352512,0.011392133111078487,-0.01191269252244663,16,8,"CENSURADO: media ao teto, nao terminal"
dependente_estado,0.3,adaptativa,taxa_falha_efetiva,0.25937499999999997,0.19374999999999998,-0.06562500000000002,16,8,"CENSURADO: media ao teto, nao terminal"
dependente_estado,0.3,adaptativa,fracao_porta1,0.4302083333333333,0.3343247695712126,-0.09588356376212076,16,8,"CENSURADO: media ao teto, nao terminal"
dependente_estado,0.3,adaptativa,p1_fuga,0.0,57158.0625,57158.0625,16,8,"CENSURADO: media ao teto, nao terminal"
dependente_estado,0.3,adaptativa,fracao_fuga_p1,0.0,0.7649381925879404,0.7649381925879404,16,8,"CENSURADO: media ao teto, nao terminal"
dependente_estado,0.3,adaptativa,N_req,140.9375,155.0,14.0625,16,8,"CENSURADO: media ao teto, nao terminal"
dependente_estado,0.3,adaptativa,TW,410.0625,337.125,-72.9375,16,8,"CENSURADO: media ao teto, nao terminal"
dependente_estado,0.3,adaptativa,TL,102.125,124.75,22.625,16,8,"CENSURADO: media ao teto, nao terminal"
dependente_estado,0.3,adaptativa,TU,47.0625,57198.8125,57151.75,16,8,"CENSURADO: media ao teto, nao terminal"
dependente_estado,0.3,adaptativa,TR,58.320586158168034,36.00664073336505,-22.313945424802984,16,8,"CENSURADO: media ao teto, nao terminal"
dependente_estado,0.3,adaptativa,retrabalho_sobre_esforco_total,0.14799177891965892,0.09696157319805944,-0.05103020572159948,16,8,"CENSURADO: media ao teto, nao terminal"
dependente_estado,0.3,centralizada,atraso_relativo,3.0090263756150817,256.0,252.9909736243849,16,16,"CENSURADO: media ao teto, nao terminal"
dependente_estado,0.3,centralizada,taxa_omissao,0.26875,0.10312499999999997,-0.165625,16,16,"CENSURADO: media ao teto, nao terminal"
dependente_estado,0.3,centralizada,divida_latente_sobre_plano,0.09128964386347407,0.029075920120590723,-0.06221372374288335,16,16,"CENSURADO: media ao teto, nao terminal"
dependente_estado,0.3,centralizada,taxa_falha_efetiva,0.30729166666666663,0.12604166666666664,-0.18125,16,16,"CENSURADO: media ao teto, nao terminal"
