modelo,metrica,termo,parcela,pct_contraste
legado,TW,BC,-3.487141131408578e-14,2.3309117714470374e-14
legado,TW,BD,1.6121960537407452e-13,-1.0776411444026704e-13
legado,TW,CD,-0.9531250000002589,0.6370978972289713
legado,TW,ABC,4.1092997060676595e-14,-2.7467815887933105e-14
legado,TW,ABD,4.306479941170356e-13,-2.8785828878453845e-13
legado,TW,ACD,0.6510416666668034,-0.43517615930937975
legado,TW,BCD,-3.069260702074731e-13,2.0515877134046382e-13
legado,TW,ABCD,-5.904196402617412e-13,3.9465454299628987e-13
legado,TL,A,10.385416666666668,99.00695134061569
legado,TL,B,0.0,0.0
legado,TL,C,-5.300688514663224e-16,-5.053287958368118e-15
legado,TL,D,2.4681934736777324e-15,2.352994771331304e-14
legado,TL,AB,-3.653544480841653e-15,-3.4830215507527176e-14
legado,TL,AC,0.005208333333334952,0.04965243296923092
legado,TL,AD,-0.015625000000006016,-0.14895729890770382
legado,TL,BC,7.552986014403018e-15,7.200463330513304e-14
legado,TL,BD,-2.4681934736777324e-15,-2.352994771331304e-14
legado,TL,CD,-1.938124622211409e-15,-1.847665975494491e-14
legado,TL,ABC,-1.1879675484068505e-14,-1.1325211980839886e-13
legado,TL,ABD,6.765132435730217e-15,6.449381468024835e-14
legado,TL,ACD,0.11458333333333676,1.0923535253227734
legado,TL,BCD,-5.605469792039722e-15,-5.3438440917161206e-14
legado,TL,ABCD,1.0249324537229638e-15,9.770954871638979e-15
legado,TU,A,-120.08854166666666,99.80521166998528
legado,TU,B,0.0,-0.0
legado,TU,C,-3.276041666666594,2.7227079906501
legado,TU,D,-0.05208333333341919,0.04328629555889744
legado,TU,AB,-1.0734801358010711e-13,8.921659859484272e-14
legado,TU,AC,2.9218749999999094,-2.428361180850068
legado,TU,AD,0.010416666666813346,-0.00865725911188712
legado,TU,BC,-1.1846180864953187e-13,9.845323894342534e-14
legado,TU,BD,8.885108119928277e-14,-7.384385590105745e-14
legado,TU,CD,0.4843749999999931,-0.4025625486970768
legado,TU,ABC,1.845822395392845e-13,-1.5340572241166405e-13
legado,TU,ABD,-1.0390270819652752e-14,8.635321605806114e-15
legado,TU,ACD,-0.3229166666667219,0.2683750324647676
legado,TU,BCD,-2.5465740627339418e-15,2.1164497448052846e-15
legado,TU,ABCD,-1.3573025805143263e-13,1.1280499327276889e-13
legado,TR,A,-14.92562825018632,91.2524520713784
legado,TR,B,0.0,-0.0
legado,TR,C,-1.6575759961244199,10.134104347609139
legado,TR,D,-0.6666267539752186,4.0756291726522695
legado,TR,AB,-7.174756104420399e-14,4.386509408970971e-13
legado,TR,AC,0.00979502420227829,-0.059884914830652676
legado,TR,AD,1.0234581591183276,-6.257228509683706
legado,TR,BC,-1.2967108293195591e-14,7.927843359052126e-14
legado,TR,BD,2.3067569509638453e-14,-1.4103073222764986e-13
legado,TR,CD,1.3969110762623815,-8.540448609459327
legado,TR,ABC,2.2113911785435513e-14,-1.352002503000806e-13
legado,TR,ABD,3.990185751488739e-14,-2.439523669893613e-13
legado,TR,ACD,-1.5367466064270179,9.395376442333966
legado,TR,BCD,-2.8434351206834304e-14,1.738422146920347e-13
legado,TR,ABCD,-6.663676458214607e-14,4.074045034685963e-13
legado,taxa_omissao,A,-0.016319444444444442,10.645526613816534
legado,taxa_omissao,B,0.0,-0.0
legado,taxa_omissao,C,-0.15425347222222213,100.62287655719135
legado,taxa_omissao,D,-0.0015625000000000244,1.0192525481313863
legado,taxa_omissao,AB,-1.6027640248945157e-16,1.0455176425132969e-13
legado,taxa_omissao,AC,0.017968749999999832,-11.72140430351065
legado,taxa_omissao,AD,0.006857638888888948,-4.4733861834654975
legado,taxa_omissao,BC,-1.1463630970413396e-17,7.47797444955619e-15
legado,taxa_omissao,BD,2.794840297978727e-17,-1.823134781014436e-14
legado,taxa_omissao,CD,0.0032986111111110586,-2.1517553793884145
legado,taxa_omissao,ABC,8.13296189653793e-17,-5.305306967617042e-14
legado,taxa_omissao,ABD,7.282465525677078e-17,-4.7505097879841417e-14
legado,taxa_omissao,ACD,-0.009288194444444352,6.058890147225308
