modelo,metrica,termo,parcela,ic95_inf,ic95_sup,pct_contraste,n_instancias
legado,taxa_omissao,GC,0.011718749999999948,0.002494967042788905,0.02094253295721099,-7.644394110985245,16
legado,taxa_omissao,GD,-0.009027777777777742,-0.026119346790177474,0.00806379123462199,5.889014722536784,16
legado,taxa_omissao,NB,0.0,0.0,0.0,-0.0,16
legado,taxa_omissao,NC,0.004166666666666581,-0.005762637655170261,0.014095970988503423,-2.7180067950169318,16
legado,taxa_omissao,ND,0.0021701388888890087,-0.010181310093855301,0.01452158787163332,-1.4156285390714258,16
legado,taxa_omissao,BC,-1.1463630970413396e-17,-1.785888344840611e-17,-5.068378492420682e-18,7.47797444955619e-15,16
legado,taxa_omissao,BD,2.794840297978727e-17,2.0265274624856877e-17,3.563153133471766e-17,-1.823134781014436e-14,16
legado,taxa_omissao,CD,0.0032986111111110586,-0.007813784359954067,0.014411006582176186,-2.1517553793884145,16
legado,taxa_omissao,GNB,-1.6027640248945157e-16,-1.8376011001937552e-16,-1.3679269495952762e-16,1.0455176425132969e-13,16
legado,taxa_omissao,GNC,0.0020833333333333047,-0.012479646338694065,0.016646313005360673,-1.3590033975084752,16
legado,taxa_omissao,GND,0.01371527777777768,-0.003467647209344126,0.030898202764899487,-8.946772366930855,16
legado,taxa_omissao,GBC,1.660515860615577e-17,7.177037487782044e-18,2.6033279724529497e-17,-1.0831904141727889e-14,16
legado,taxa_omissao,GBD,6.085988194885286e-18,-2.820512223408503e-18,1.4992488613179074e-17,-3.970021744341931e-15,16
legado,taxa_omissao,GCD,0.007204861111111074,-0.011664143511176464,0.026073865733398614,-4.699886749716851,16
legado,taxa_omissao,NBC,1.6152203031872935e-17,7.379293777311753e-18,2.492511228643412e-17,-1.0536431422829911e-14,16
legado,taxa_omissao,NBD,2.836272883222079e-17,1.8445099863408744e-17,3.828035780103284e-17,-1.8501621525888085e-14,16
legado,taxa_omissao,NCD,-0.00026041666666666314,-0.014253649524543874,0.01373281619121055,0.16987542468855943,16
legado,taxa_omissao,BCD,-3.0926264635608747e-17,-3.623207752183996e-17,-2.562045174937753e-17,2.0173871381778753e-14,16
legado,taxa_omissao,GNBC,4.85722573273506e-17,3.237073114716082e-17,6.477378350754037e-17,-3.1684734111612626e-14,16
legado,taxa_omissao,GNBD,3.8375938229664695e-17,2.3126653131635027e-17,5.3625223327694364e-17,-2.5033454609611404e-14,16
legado,taxa_omissao,GNCD,-0.01623263888888877,-0.03746288362594594,0.004997605848168406,10.588901472253603,16
legado,taxa_omissao,GBCD,5.869147760388197e-18,-3.308326117203143e-18,1.5046621637979537e-17,-3.828572038486526e-15,16
legado,taxa_omissao,NBCD,-1.6817180364330717e-17,-3.2227669048679714e-17,-1.4066916799817193e-18,1.0970210520786518e-14,16
legado,taxa_omissao,GNBCD,-2.0513105103425744e-16,-2.230917391929168e-16,-1.8717036287559813e-16,1.3381142173922119e-13,16
legado,retrabalho_sobre_plano,G,-0.027526751820927543,-0.03795812521093809,-0.017095378430916998,56.6037697064799,16
legado,retrabalho_sobre_plano,N,-0.019518007087914162,-0.028918084402374866,-0.010117929773453459,40.13523954881607,16
legado,retrabalho_sobre_plano,B,0.0,0.0,0.0,-0.0,16
legado,retrabalho_sobre_plano,C,-0.005179438003793893,-0.012799623146544826,0.0024407471389570404,10.650574317048521,16
legado,retrabalho_sobre_plano,D,-0.0024864842024501545,-0.013607324581188443,0.008634356176288134,5.113003527982052,16
legado,retrabalho_sobre_plano,GN,0.0025613178419532576,-0.010528693674059075,0.01565132935796559,-5.266885327196409,16
legado,retrabalho_sobre_plano,GB,0.0,0.0,0.0,-0.0,16
legado,retrabalho_sobre_plano,GC,0.005566718679179517,-0.005778404230536319,0.016911841588895353,-11.446946744275179,16
legado,retrabalho_sobre_plano,GD,-0.006029847934244848,-0.021193572477119033,0.009133876608629339,12.399288011003256,16
legado,retrabalho_sobre_plano,NB,0.0,0.0,0.0,-0.0,16
legado,retrabalho_sobre_plano,NC,0.003827541480840131,-0.008219499946997139,0.015874582908677402,-7.870644452817735,16
legado,retrabalho_sobre_plano,ND,0.01365016125726733,0.0001712567696483848,0.027129065744886275,-28.06907946455409,16
legado,retrabalho_sobre_plano,BC,-3.574269065602008e-17,-4.058908944446327e-17,-3.089629186757689e-17,7.349835693455018e-14,16
legado,retrabalho_sobre_plano,BD,7.129903353073968e-17,6.471779286373651e-17,7.788027419774285e-17,-1.4661352347429228e-13,16
legado,retrabalho_sobre_plano,CD,0.00442294076945746,-0.009998659236809896,0.018844540775724818,-9.094975039860518,16
legado,retrabalho_sobre_plano,GNB,-1.8454352143966656e-16,-2.091458907937128e-16,-1.5994115208562032e-16,3.7948026183213285e-13,16
legado,retrabalho_sobre_plano,GNC,-0.008939032763770772,-0.025303382968179706,0.007425317440638162,18.3814986690322,16
legado,retrabalho_sobre_plano,GND,-0.004083088785509541,-0.019461169597726615,0.011294992026707532,8.396131109460665,16
legado,retrabalho_sobre_plano,GBC,2.4108245712379266e-17,1.196592656785528e-17,3.625056485690325e-17,-4.9574232267146053e-14,16
legado,retrabalho_sobre_plano,GBD,-4.107744764108037e-17,-5.4595049556572096e-17,-2.7559845725588645e-17,8.446831655008367e-14,16
legado,retrabalho_sobre_plano,GCD,0.0012150653514338937,-0.015925669455368132,0.01835580015823592,-2.498561391417001,16
legado,retrabalho_sobre_plano,NBC,4.6960008704547623e-17,3.456933668061119e-17,5.935068072848406e-17,-9.65647358401961e-14,16
legado,retrabalho_sobre_plano,NBD,-1.204442484226329e-16,-1.3368461118688414e-16,-1.0720388565838165e-16,2.476717392787916e-13,16
legado,retrabalho_sobre_plano,NCD,-0.007697874684232193,-0.02603091095229962,0.010635161583835234,15.82928231744193,16
legado,retrabalho_sobre_plano,BCD,-8.683690307572665e-17,-9.500593886621211e-17,-7.866786728524119e-17,1.7856433246095657e-13,16
legado,retrabalho_sobre_plano,GNBC,-4.85722573273506e-17,-6.234090701781261e-17,-3.480360763688859e-17,9.98800325504076e-14,16
legado,retrabalho_sobre_plano,GNBD,2.651508036905877e-16,2.443899225310944e-16,2.85911684850081e-16,-5.452345095864042e-13,16
legado,retrabalho_sobre_plano,GNCD,0.0015861816869599176,-0.015433869965702472,0.01860623333962231,-3.2616947871436004,16
legado,retrabalho_sobre_plano,GBCD,1.0754931041744584e-16,9.318246474390823e-17,1.2191615609098346e-16,-2.2115563937811148e-13,16
legado,retrabalho_sobre_plano,NBCD,1.2508778060369384e-16,1.0726287577406442e-16,1.4291268543332324e-16,-2.5722032052482053e-13,16
legado,retrabalho_sobre_plano,GNBCD,-4.380176776841438e-16,-4.664626177817586e-16,-4.095727375865289e-16,9.00703864963497e-13,16
legado,divida_latente_sobre_plano,G,-0.008229915211938332,-0.013166251861700562,-0.0032935785621761027,15.245411511072817,16
legado,divida_latente_sobre_plano,N,-0.0034398813305402142,-0.008531508209781763,0.0016517455487013353,6.372168495401897,16
legado,divida_latente_sobre_plano,B,0.0,0.0,0.0,-0.0,16
legado,divida_latente_sobre_plano,C,-0.044364713116417015,-0.048814869164936533,-0.039914557067897496,82.18290111292282,16
legado,divida_latente_sobre_plano,D,-0.03079888857749964,-0.03445677685837864,-0.027141000296620633,57.053045913102956,16
legado,divida_latente_sobre_plano,GN,-0.0005311106885336619,-0.006907819429741487,0.005845598052674163,0.9838498691796208,16
legado,divida_latente_sobre_plano,GB,0.0,0.0,0.0,-0.0,16
