reporte,metrica,contraste,arquivo,delta
centralizada,N_req,interacao,j6010_1.sm,-4.0
centralizada,N_req,total,j6010_1.sm,99.0
centralizada,N_req,portao_rede_A,j6010_1.sm,99.0
centralizada,N_req,rede_portao_A,j6010_1.sm,-4.0
centralizada,N_fail,portao,j6010_1.sm,18.0
centralizada,N_fail,rede,j6010_1.sm,0.0
centralizada,N_fail,interacao,j6010_1.sm,6.0
centralizada,N_fail,total,j6010_1.sm,24.0
centralizada,N_fail,portao_rede_A,j6010_1.sm,24.0
centralizada,N_fail,rede_portao_A,j6010_1.sm,6.0
centralizada,N_success,portao,j6010_1.sm,85.0
centralizada,N_success,rede,j6010_1.sm,0.0
centralizada,N_success,interacao,j6010_1.sm,-10.0
centralizada,N_success,total,j6010_1.sm,75.0
centralizada,N_success,portao_rede_A,j6010_1.sm,75.0
centralizada,N_success,rede_portao_A,j6010_1.sm,-10.0
centralizada,N_blocked,portao,j6010_1.sm,-99.0
centralizada,N_blocked,rede,j6010_1.sm,41.0
centralizada,N_blocked,interacao,j6010_1.sm,-41.0
centralizada,N_blocked,total,j6010_1.sm,-99.0
centralizada,N_blocked,portao_rede_A,j6010_1.sm,-140.0
centralizada,N_blocked,rede_portao_A,j6010_1.sm,0.0
