grupo,n,media_taxa_omissao,var_legado_taxa_omissao,var_pareada_taxa_omissao,media_atraso_relativo,var_legado_atraso_relativo,var_pareada_atraso_relativo,media_retrabalho_sobre_plano,var_legado_retrabalho_sobre_plano,var_pareada_retrabalho_sobre_plano,media_E_total,var_legado_E_total,var_pareada_E_total
sim=5,8,0.11041666666666666,0.00016803075396825396,0.00037471064814814816,1.6069479965899403,0.0002632535648901327,0.0004397483445730135,0.2192660944812161,5.812280559791962e-05,7.258339520497284e-05,0.8416480302695666,1.5499273389357077e-05,1.4591022911642e-05
obs=5,20,0.07166666666666667,8.640350877192982e-05,0.0001361111111111111,1.5936828644501282,0.00026872018067333715,0.00011149742787923303,0.19353784931363666,6.422007192305458e-05,0.00010101746116460515,0.8558856886475015,1.87128731009367e-05,2.2008535677302364e-05
sim=6,8,0.12083333333333333,5.7043650793650783e-05,7.523148148148145e-05,1.6082054560954817,0.0005694079496211545,0.00033623631136974976,0.1944860533769338,0.00018734309777719327,0.00030928070333577113,0.8625895254600209,3.8471057443137525e-05,5.19022751669651e-05
obs=6,20,0.09416666666666666,6.911549707602337e-05,4.174382716049382e-05,1.6066922421142373,0.00021405738461642635,0.00016662701668795682,0.21638797426486897,7.450251531917892e-05,7.704557803315955e-05,0.8504498520883972,2.297655816090941e-05,2.2420799590331702e-05
sim=7,8,0.11875,5.3943452380952375e-05,1.5914351851851844e-05,1.632992327365729,0.0007505734047946622,0.001174503432468779,0.20503880315509743,9.870167178475287e-05,4.863963457396171e-05,0.8532810975882992,2.0097161838539505e-05,1.7777076215894198e-05
obs=7,20,0.09166666666666669,3.728070175438597e-05,1.6975308641975312e-05,1.6275362318840583,0.0001365337432688063,6.221025132030013e-05,0.19760853082717866,9.686896527014009e-05,0.00013223762336346558,0.8580677962780486,2.9062187397519114e-05,3.825988823214007e-05
sim=8,8,0.09791666666666667,0.00025235615079365075,0.0002473958333333333,1.645993179880648,0.00037434526054760085,0.00013816664958729653,0.22244364500118535,0.0002026607103548059,0.00019172869169965722,0.8563289167980042,3.6630511263137214e-05,3.1679570592213445e-05
obs=8,20,0.09833333333333333,3.7865497076023386e-05,3.82716049382716e-05,1.6032225063938619,0.0003356207295120914,0.0002667328845537171,0.20006148439537869,5.1508092112849746e-05,8.107673839843229e-05,0.8567176948670511,1.502942938964417e-05,2.454395207138497e-05
sim=9,8,0.10208333333333333,9.362599206349206e-05,3.906249999999999e-05,1.6470375106564366,0.0006752128276344827,2.9678584432772247e-05,0.21486746025922493,6.582288098331246e-05,8.075279183873152e-05,0.849293221971327,1.4923672818277159e-05,1.0786684294644826e-05
obs=9,20,0.10083333333333333,8.69517543859649e-05,4.699074074074075e-05,1.6488064791133845,0.0003023414687362808,0.00017732847326343827,0.22288474353149845,6.481621070710839e-05,7.49758066366463e-05,0.84538026936288,2.2196566429187617e-05,2.2431362931687273e-05
sim=10,8,0.08333333333333334,0.00017857142857142857,0.00024305555555555552,1.6224637681159422,0.0004370364106204395,0.00046839807867992984,0.1797934138245406,4.501966536443807e-05,7.791669500551795e-06,0.8634984898485697,2.0378041602291413e-05,1.0512814465791605e-05
obs=10,20,0.09666666666666668,7.397660818713451e-05,0.00012376543209876548,1.6323273657289001,0.00014436323232865723,8.466276643311933e-05,0.20600855417214986,7.380178919801737e-05,3.8828637776367026e-05,0.8602554630998489,2.0175750347793836e-05,1.6992011074994528e-05
sim=11,8,0.09791666666666667,0.0002721974206349206,0.00036313657407407415,1.5930306905370843,0.00045848341375172763,0.00042450031336403716,0.21955018952003988,0.0002807183087468663,0.00035349274200078,0.8502738617618344,4.2066628984257006e-05,4.377264078624487e-05
obs=11,20,0.08416666666666667,7.086988304093569e-05,7.939814814814813e-05,1.6336828644501282,0.00021890380971692583,0.00022809033024233111,0.19509661004948534,6.450996545522839e-05,7.240380503196002e-05,0.859675060864101,1.5443812643102968e-05,1.106646259970103e-05
sim=12,8,0.08333333333333334,0.00011904761904761903,0.00011574074074074076,1.5999360613810742,0.00033667843689609,0.00037289881357734865,0.18551975394825,8.89965782877343e-05,3.714750301344e-05,0.8675800001496639,2.5704700699561206e-05,2.598511117580382e-05
obs=12,20,0.09666666666666666,3.888888888888889e-05,3.271604938271605e-05,1.6506052855924982,0.0003272244425402764,0.0003010761294934386,0.2048652153617537,6.502645649321977e-05,4.577398530485535e-05,0.8558292460880106,1.6470280890356686e-05,1.1859050328272853e-05
sim=13,8,0.10833333333333334,0.0002976190476190476,0.00035879629629629624,1.6324168797953964,0.0002478122443610308,0.00019069827852066974,0.2104706665619962,0.0002711951086857443,0.0004202845589415521,0.8511520662037972,9.476517361607923e-05,0.00014697279829429223
obs=13,20,0.09583333333333333,8.02266081871345e-05,0.00011304012345679012,1.6673742540494458,0.00024210999488919472,0.00032657564452816967,0.21844871223690973,7.449256043635724e-05,9.411357808539029e-05,0.8488889433165345,1.8278856158548384e-05,2.5183579884401486e-05
sim=14,8,0.1,0.00017857142857142854,0.0003125,1.6415814151747656,0.00038257937260674724,0.0008671818276960519,0.21987055180688728,0.0001769974813901212,0.00023746063762195666,0.8519374546920098,5.1909391264564836e-05,5.624805296808528e-05
obs=14,20,0.085,9.780701754385963e-05,0.00010308641975308641,1.6164961636828643,0.0003605696874429451,0.00027644292207907077,0.20581659741091088,6.466616363583572e-05,9.460712827560567e-05,0.849925492036005,1.0907802140939123e-05,1.1907352494295844e-05
sim=15,8,0.11041666666666666,0.00014818948412698412,8.535879629629627e-05,1.628452685421995,0.0003673626405972152,0.00043859139897480085,0.19921875319168109,6.122076923140682e-05,2.1810177991366898e-05,0.855897837993487,1.890182569538564e-05,3.817238358546398e-05
obs=15,20,0.10500000000000001,5.423976608187135e-05,9.135802469135801e-05,1.6119607843137256,0.00012720106694611818,8.577817443907202e-05,0.20428787103353407,5.220027340939206e-05,4.55598823055499e-05,0.8554087150484715,9.43637790862569e-06,4.7705504864619886e-06
sim=16,8,0.09375,0.00040612599206349203,0.0007682291666666666,1.5836317135549873,0.00030856347135021416,2.5482177253816484e-05,0.20688291725935912,0.00019347778946455016,0.00043732226321193285,0.8536881092521351,5.86979716425417e-05,0.00013158347858324696
obs=16,20,0.09666666666666666,5.643274853801168e-05,6.358024691358024e-05,1.6400341005967605,0.00022382513540803486,0.00021958839768944824,0.20899904432791,8.369040418673574e-05,9.544243053759155e-05,0.8511905095008666,3.081697364405455e-05,4.4109984297441744e-05
sim=17,8,0.1125,0.00020585317460317457,0.0002141203703703703,1.6105711849957376,0.00028057510857858837,0.0005062119242102369,0.2135953307384749,0.0002339766252312734,0.00010127158103996686,0.8508564831527412,4.6647743412249345e-05,1.794045083182223e-05
obs=17,20,0.08916666666666666,0.00010274122807017545,0.00012507716049382718,1.6364109121909636,0.0002587069651046485,0.0003324188723885222,0.20169706566898413,6.019610908317266e-05,5.663117088855931e-05,0.8600680651592401,1.873118790521939e-05,2.0882129069973995e-05
sim=18,8,0.11041666666666666,0.00019779265873015868,0.00024739583333333325,1.5983589087809038,0.00026943970998088247,9.082272777156515e-05,0.22190771020533806,0.00013144183546989817,0.00018815171864647502,0.8491157366316711,3.3256606323655185e-05,5.4576517501972346e-05
obs=18,20,0.10916666666666666,8.841374269005848e-05,9.174382716049383e-05,1.6301619778346121,0.0002528819131617525,0.00013416919687635743,0.22850378216664943,3.583088395726516e-05,3.6577203740075015e-05,0.8426867826989912,6.62227110297302e-06,7.201954054585438e-06
sim=19,8,0.10416666666666667,0.00013640873015873013,5.2083333333333316e-05,1.5954177323103156,0.000660932605741804,0.0006283444070636409,0.20180672938574704,7.422317765534768e-05,7.156963593025409e-05,0.8534950440606779,2.0143517101116636e-05,1.0832585406926868e-05
obs=19,20,0.08916666666666667,6.765350877192982e-05,7.106481481481482e-05,1.6322932651321396,0.0007744078288005299,0.000684851681219663,0.19857507866446897,4.97946888311181e-05,7.740210484144878e-05,0.8553763570465256,2.0708632805759262e-05,3.0415230134393143e-05
