reporte,metrica,contraste,media,ic95_inferior,ic95_superior,n_instancias
adaptativa,N_fail,total,39.114583333333336,33.13306678820244,45.09609987846423,16
adaptativa,N_fail,portao_rede_A,39.114583333333336,33.13306678820244,45.09609987846423,16
adaptativa,N_fail,rede_portao_A,-0.08854166666666657,-2.345122168574357,2.168038835241024,16
adaptativa,N_success,portao,90.38541666666667,78.395762168377,102.37507116495634,16
adaptativa,N_success,rede,0.0,0.0,0.0,16
adaptativa,N_success,interacao,12.473958333333334,8.3771535611939,16.570763105472768,16
adaptativa,N_success,total,102.859375,89.09998417086118,116.61876582913882,16
adaptativa,N_success,portao_rede_A,102.859375,89.09998417086118,116.61876582913882,16
adaptativa,N_success,rede_portao_A,12.473958333333334,8.3771535611939,16.570763105472768,16
adaptativa,N_blocked,portao,-128.83854166666666,-143.32883618825718,-114.34824714507613,16
adaptativa,N_blocked,rede,17.989583333333336,13.513214043141158,22.465952623525514,16
adaptativa,N_blocked,interacao,-17.96875,-22.44925803702865,-13.488241962971351,16
adaptativa,N_blocked,total,-128.81770833333334,-143.2977547664035,-114.3376619002632,16
adaptativa,N_blocked,portao_rede_A,-146.80729166666666,-162.82086552239954,-130.79371781093377,16
adaptativa,N_blocked,rede_portao_A,0.020833333333333332,-0.013562785805135934,0.055229452471802595,16
centralizada,atraso_relativo,portao,-0.09292380535936758,-0.21996203506366302,0.034114424344927854,16
centralizada,atraso_relativo,rede,-0.21239218309138017,-0.31844808818690384,-0.10633627799585646,16
centralizada,atraso_relativo,interacao,-0.013525766677288751,-0.187513843612865,0.1604623102582875,16
centralizada,atraso_relativo,total,-0.3188417551280365,-0.3804224836080441,-0.25726102664802886,16
centralizada,atraso_relativo,portao_rede_A,-0.10644957203665634,-0.2216542677776443,0.00875512370433161,16
centralizada,atraso_relativo,rede_portao_A,-0.2259179497686689,-0.3526278911391735,-0.09920800839816435,16
centralizada,taxa_omissao,portao,-0.03420138888888889,-0.049621439487984656,-0.01878133828979313,16
centralizada,taxa_omissao,rede,-0.02734375,-0.03961734943584776,-0.01507015056415224,16
centralizada,taxa_omissao,interacao,0.020225694444444442,0.002428764794443136,0.03802262409444575,16
centralizada,taxa_omissao,total,-0.04131944444444444,-0.054601199241615744,-0.028037689647273142,16
centralizada,taxa_omissao,portao_rede_A,-0.013975694444444445,-0.023335059913013767,-0.004616328975875125,16
centralizada,taxa_omissao,rede_portao_A,-0.007118055555555556,-0.018662379316785015,0.0044262682056739,16
centralizada,divida_latente_sobre_plano,portao,-0.011126912653561277,-0.01707508998253127,-0.0051787353245912856,16
centralizada,divida_latente_sobre_plano,rede,-0.006023043835692317,-0.010532404539631734,-0.0015136831317529003,16
centralizada,divida_latente_sobre_plano,interacao,0.0018451776206761727,-0.004214475252571632,0.007904830493923976,16
centralizada,divida_latente_sobre_plano,total,-0.015304778868577422,-0.01998684705573109,-0.010622710681423755,16
centralizada,divida_latente_sobre_plano,portao_rede_A,-0.009281735032885107,-0.012468625662570534,-0.006094844403199681,16
centralizada,divida_latente_sobre_plano,rede_portao_A,-0.004177866215016144,-0.009486963881449465,0.0011312314514171761,16
centralizada,taxa_falha_efetiva,portao,-0.03854166666666667,-0.05619755527414017,-0.020885778059193165,16
centralizada,taxa_falha_efetiva,rede,-0.02942708333333333,-0.04252813262525014,-0.016326034041416516,16
centralizada,taxa_falha_efetiva,interacao,0.016927083333333336,-0.0016670567222698066,0.03552122338893648,16
