reporte,metrica,contraste,arquivo,delta
adaptativa,taxa_falha_efetiva,rede,j6013_1.sm,-0.041666666666666664
adaptativa,taxa_falha_efetiva,rede,j6016_1.sm,-0.018055555555555557
adaptativa,taxa_falha_efetiva,rede,j6019_1.sm,-0.004166666666666668
adaptativa,taxa_falha_efetiva,rede,j6021_1.sm,-0.03333333333333333
adaptativa,taxa_falha_efetiva,rede,j6024_1.sm,-0.0236111111111111
adaptativa,taxa_falha_efetiva,rede,j6027_1.sm,0.01388888888888889
adaptativa,taxa_falha_efetiva,rede,j602_1.sm,-0.00833333333333333
adaptativa,taxa_falha_efetiva,rede,j6032_1.sm,-0.029166666666666678
adaptativa,taxa_falha_efetiva,rede,j6035_1.sm,-0.03333333333333334
adaptativa,taxa_falha_efetiva,rede,j6038_1.sm,-0.0027777777777777796
adaptativa,taxa_falha_efetiva,rede,j6040_1.sm,-0.015277777777777784
adaptativa,taxa_falha_efetiva,rede,j6043_1.sm,-0.00416666666666667
adaptativa,taxa_falha_efetiva,rede,j6046_1.sm,-0.041666666666666664
adaptativa,taxa_falha_efetiva,rede,j604_1.sm,0.009722222222222224
adaptativa,taxa_falha_efetiva,rede,j607_1.sm,-0.0638888888888889
adaptativa,taxa_falha_efetiva,interacao,j6010_1.sm,0.001388888888888877
adaptativa,taxa_falha_efetiva,interacao,j6013_1.sm,0.048611111111111126
adaptativa,taxa_falha_efetiva,interacao,j6016_1.sm,-0.008333333333333345
adaptativa,taxa_falha_efetiva,interacao,j6019_1.sm,0.01805555555555556
adaptativa,taxa_falha_efetiva,interacao,j6021_1.sm,0.013888888888888886
adaptativa,taxa_falha_efetiva,interacao,j6024_1.sm,0.00555555555555554
adaptativa,taxa_falha_efetiva,interacao,j6027_1.sm,-0.022222222222222216
adaptativa,taxa_falha_efetiva,interacao,j602_1.sm,2.3129646346357427e-18
adaptativa,taxa_falha_efetiva,interacao,j6032_1.sm,0.019444444444444445
adaptativa,taxa_falha_efetiva,interacao,j6035_1.sm,0.06666666666666667
adaptativa,taxa_falha_efetiva,interacao,j6038_1.sm,-0.018055555555555557
adaptativa,taxa_falha_efetiva,interacao,j6040_1.sm,-0.03472222222222223
adaptativa,taxa_falha_efetiva,interacao,j6043_1.sm,-0.004166666666666661
adaptativa,taxa_falha_efetiva,interacao,j6046_1.sm,0.013888888888888886
adaptativa,taxa_falha_efetiva,interacao,j604_1.sm,-0.002777777777777775
adaptativa,taxa_falha_efetiva,interacao,j607_1.sm,0.03333333333333335
adaptativa,taxa_falha_efetiva,total,j6010_1.sm,-0.051388888888888894
adaptativa,taxa_falha_efetiva,total,j6013_1.sm,-0.0375
adaptativa,taxa_falha_efetiva,total,j6016_1.sm,-0.022222222222222227
adaptativa,taxa_falha_efetiva,total,j6019_1.sm,0.013888888888888893
adaptativa,taxa_falha_efetiva,total,j6021_1.sm,-0.06944444444444445
