arquivo,semente,cenario,cruzou,primeiro_periodo,media_temporal,final
j6021_1.sm,8,adaptativa,True,1.0,0.9553185164196272,0.94
j6021_1.sm,8,centralizada,False,,0.25,0.25
j6021_1.sm,9,adaptativa,True,19.0,0.9404233128209312,0.935
j6021_1.sm,9,centralizada,False,,0.25,0.25
j6021_1.sm,10,adaptativa,True,1.0,0.9885448752455072,0.985
j6021_1.sm,10,centralizada,False,,0.25,0.25
j6021_1.sm,11,adaptativa,False,,0.9210676325520804,0.942111041627321
j6021_1.sm,11,centralizada,False,,0.25,0.25
j6024_1.sm,0,adaptativa,True,19.0,0.9549241358959794,0.9566666666666666
j6024_1.sm,0,centralizada,False,,0.25,0.25
j6024_1.sm,1,adaptativa,True,19.0,0.9537981727350571,0.9666666666666668
j6024_1.sm,1,centralizada,False,,0.25,0.25
j6024_1.sm,2,adaptativa,True,12.0,0.9161218522163151,0.8966666666666665
j6024_1.sm,2,centralizada,False,,0.25,0.25
j6024_1.sm,3,adaptativa,False,,0.8709170970158835,0.8216666666666667
j6024_1.sm,3,centralizada,False,,0.25,0.25
j6024_1.sm,4,adaptativa,False,,0.8835875377769076,0.8433333333333333
j6024_1.sm,4,centralizada,False,,0.25,0.25
j6024_1.sm,5,adaptativa,True,1.0,0.9622808455616642,0.955
j6024_1.sm,5,centralizada,False,,0.25,0.25
j6024_1.sm,6,adaptativa,True,12.0,0.9193252276670153,0.9066666666666666
j6024_1.sm,6,centralizada,False,,0.25,0.25
j6024_1.sm,7,adaptativa,True,18.0,0.9782837262394982,0.975
j6024_1.sm,7,centralizada,False,,0.25,0.25
j6024_1.sm,8,adaptativa,True,1.0,0.949075310249553,0.915
j6024_1.sm,8,centralizada,False,,0.25,0.25
j6024_1.sm,9,adaptativa,True,7.0,0.9386135787987887,0.9267778204375752
j6024_1.sm,9,centralizada,False,,0.25,0.25
j6024_1.sm,10,adaptativa,True,1.0,0.9815187723296004,0.9829490170006792
j6024_1.sm,10,centralizada,False,,0.25,0.25
j6024_1.sm,11,adaptativa,True,8.0,0.966208036120202,0.9660862158896928
j6024_1.sm,11,centralizada,False,,0.25,0.25
j6027_1.sm,0,adaptativa,True,16.0,0.9774339058776326,0.9983333333333334
j6027_1.sm,0,centralizada,False,,0.25,0.25
j6027_1.sm,1,adaptativa,True,7.0,0.9547860664577046,0.9566666666666668
j6027_1.sm,1,centralizada,False,,0.25,0.25
j6027_1.sm,2,adaptativa,False,,0.8760423161209172,0.8801394415077409
j6027_1.sm,2,centralizada,False,,0.25,0.25
j6027_1.sm,3,adaptativa,True,19.0,0.9301004755779958,0.9133333333333332
j6027_1.sm,3,centralizada,False,,0.25,0.25
j6027_1.sm,4,adaptativa,True,19.0,0.9629741784605987,0.9866666666666668
j6027_1.sm,4,centralizada,False,,0.25,0.25
j6027_1.sm,5,adaptativa,True,18.0,0.9647243640875814,0.945
j6027_1.sm,5,centralizada,False,,0.25,0.25
j6027_1.sm,6,adaptativa,False,,0.8978868104414494,0.9004405150250115
j6027_1.sm,6,centralizada,False,,0.25,0.25
j6027_1.sm,7,adaptativa,True,17.0,0.984249900003626,0.9966666666666668
j6027_1.sm,7,centralizada,False,,0.25,0.25
j6027_1.sm,8,adaptativa,True,1.0,0.9410990845736995,0.925
j6027_1.sm,8,centralizada,False,,0.25,0.25
j6027_1.sm,9,adaptativa,False,,0.904111023809675,0.9038140253003524
j6027_1.sm,9,centralizada,False,,0.25,0.25
j6027_1.sm,10,adaptativa,True,1.0,0.9872230740319587,0.9916666666666666
j6027_1.sm,10,centralizada,False,,0.25,0.25
j6027_1.sm,11,adaptativa,True,52.0,0.9379544363325052,0.9824476756452616
j6027_1.sm,11,centralizada,False,,0.25,0.25
j602_1.sm,0,adaptativa,True,6.0,0.9893502129314222,0.995
j602_1.sm,0,centralizada,False,,0.25,0.25
j602_1.sm,1,adaptativa,True,7.0,0.9570497684558676,0.9666666666666668
j602_1.sm,1,centralizada,False,,0.25,0.25
j602_1.sm,2,adaptativa,True,6.0,0.9452850403504055,0.9433333333333334
j602_1.sm,2,centralizada,False,,0.25,0.25
j602_1.sm,3,adaptativa,True,17.0,0.9138643933915381,0.8799999999999999
j602_1.sm,3,centralizada,False,,0.25,0.25
j602_1.sm,4,adaptativa,True,5.0,0.9260824450055036,0.915
j602_1.sm,4,centralizada,False,,0.25,0.25
j602_1.sm,5,adaptativa,True,19.0,0.950121343433057,0.9366666666666664
j602_1.sm,5,centralizada,False,,0.25,0.25
j602_1.sm,6,adaptativa,True,6.0,0.9378887484043709,0.93
j602_1.sm,6,centralizada,False,,0.25,0.25
j602_1.sm,7,adaptativa,True,5.0,0.9872394512100178,0.9916666666666668
j602_1.sm,7,centralizada,False,,0.25,0.25
j602_1.sm,8,adaptativa,True,1.0,0.9883447162665612,0.99
j602_1.sm,8,centralizada,False,,0.25,0.25
j602_1.sm,9,adaptativa,True,5.0,0.9297778560775843,0.9116666666666666
j602_1.sm,9,centralizada,False,,0.25,0.25
j602_1.sm,10,adaptativa,True,1.0,0.981629642901683,0.9766666666666666
j602_1.sm,10,centralizada,False,,0.25,0.25
j602_1.sm,11,adaptativa,True,5.0,0.940917002241927,0.9333333333333332
j602_1.sm,11,centralizada,False,,0.25,0.25
j6032_1.sm,0,adaptativa,True,14.0,0.9599140284936358,0.9616666666666666
j6032_1.sm,0,centralizada,False,,0.25,0.25
j6032_1.sm,1,adaptativa,True,13.0,0.9668956549775994,0.985
j6032_1.sm,1,centralizada,False,,0.25,0.25
j6032_1.sm,2,adaptativa,False,,0.8506561164063524,0.8249999999999998
j6032_1.sm,2,centralizada,False,,0.25,0.25
j6032_1.sm,3,adaptativa,False,,0.8644739024667052,0.83
j6032_1.sm,3,centralizada,False,,0.25,0.25
j6032_1.sm,4,adaptativa,False,,0.8813937685872726,0.8666666666666666
j6032_1.sm,4,centralizada,False,,0.25,0.25
j6032_1.sm,5,adaptativa,True,31.0,0.9360943304721314,0.9400659437433512
j6032_1.sm,5,centralizada,False,,0.25,0.25
j6032_1.sm,6,adaptativa,False,,0.8259667946079154,0.8133333333333334
j6032_1.sm,6,centralizada,False,,0.25,0.25
j6032_1.sm,7,adaptativa,True,13.0,0.972705921493628,0.9666666666666668
j6032_1.sm,7,centralizada,False,,0.25,0.25
j6032_1.sm,8,adaptativa,True,1.0,0.951588289580991,0.9376173746241666
j6032_1.sm,8,centralizada,False,,0.25,0.25
j6032_1.sm,9,adaptativa,True,38.0,0.9428102225996388,0.9633333333333332
j6032_1.sm,9,centralizada,False,,0.25,0.25
j6032_1.sm,10,adaptativa,True,11.0,0.9613710388534241,0.9483333333333333
j6032_1.sm,10,centralizada,False,,0.25,0.25
j6032_1.sm,11,adaptativa,False,,0.8887698889195966,0.8835885347947876
j6032_1.sm,11,centralizada,False,,0.25,0.25
j6035_1.sm,0,adaptativa,True,15.0,0.9765166863416654,0.9816666666666666
j6035_1.sm,0,centralizada,False,,0.25,0.25
j6035_1.sm,1,adaptativa,True,10.0,0.9578834660004152,0.9616666666666666
j6035_1.sm,1,centralizada,False,,0.25,0.25
j6035_1.sm,2,adaptativa,True,1.0,0.9148921714191167,0.8799999999999999
j6035_1.sm,2,centralizada,False,,0.25,0.25
j6035_1.sm,3,adaptativa,True,16.0,0.9335059275600549,0.9216666666666664
j6035_1.sm,3,centralizada,False,,0.25,0.25
j6035_1.sm,4,adaptativa,True,1.0,0.9554368309326408,0.9466666666666668
j6035_1.sm,4,centralizada,False,,0.25,0.25
j6035_1.sm,5,adaptativa,True,1.0,0.9434349795691941,0.9284096711430908
j6035_1.sm,5,centralizada,False,,0.25,0.25
j6035_1.sm,6,adaptativa,True,10.0,0.9163260003269166,0.89
j6035_1.sm,6,centralizada,False,,0.25,0.25
j6035_1.sm,7,adaptativa,True,21.0,0.9798529810371115,0.9916666666666668
