etapa,canal,tau_sat,s_transicao,cenario,metrica,censuradas,fracao_indefinida,media,ic95_inferior,ic95_superior,n_instancias
grade,ativo,1.4,0.6,adaptativa,fracao_porta1,0,0,0.4708333333333333,0.39389373712547515,0.5477729295411915,4
grade,ativo,1.4,0.6,centralizada,fracao_porta1,0,0,0.5291666666666668,0.4872342547671425,0.571099078566191,4
grade,desligado,0.7,0.01,adaptativa,atraso_relativo,0,0,2.2668688585273924,1.4845225703557983,3.0492151466989865,4
grade,desligado,0.7,0.01,centralizada,atraso_relativo,0,0,3.5324912723161983,2.13171285213551,4.933269692496887,4
grade,desligado,0.7,0.01,adaptativa,taxa_omissao,0,0,0.07916666666666666,0.059648191154028335,0.09868514217930499,4
grade,desligado,0.7,0.01,centralizada,taxa_omissao,0,0,0.3458333333333333,0.27953236863991116,0.4121342980267555,4
grade,desligado,0.7,0.01,adaptativa,divida_latente_sobre_plano,0,0,0.023735615448383027,0.017820295835161783,0.02965093506160427,4
grade,desligado,0.7,0.01,centralizada,divida_latente_sobre_plano,0,0,0.12244937726770287,0.08236999268879358,0.16252876184661216,4
grade,desligado,0.7,0.01,adaptativa,taxa_falha_efetiva,0,0,0.30416666666666664,0.18996979064171016,0.4183635426916231,4
grade,desligado,0.7,0.01,centralizada,taxa_falha_efetiva,0,0,0.4,0.3584184931139313,0.44158150688606873,4
grade,desligado,0.7,0.01,adaptativa,fracao_porta1,0,0,0.375,0.16173475965799314,0.5882652403420069,4
grade,desligado,0.7,0.01,centralizada,fracao_porta1,0,0,0.6916666666666667,0.635148577927966,0.7481847554053673,4
grade,desligado,0.7,0.25,adaptativa,atraso_relativo,0,0,1.714532060917426,0.811360060234805,2.6177040616000466,4
grade,desligado,0.7,0.25,centralizada,atraso_relativo,0,0,2.8632421179760996,1.8700691531453728,3.8564150828068264,4
grade,desligado,0.7,0.25,adaptativa,taxa_omissao,0,0,0.05416666666666667,0.037926313371349954,0.07040701996198338,4
grade,desligado,0.7,0.25,centralizada,taxa_omissao,0,0,0.246875,0.18115672928560098,0.312593270714399,4
