etapa,canal,tau_sat,s_transicao,metrica,censuradas,pares_indefinidos,media,ic95_inferior,ic95_superior,n_instancias
grade,desligado,0.7,0.01,atraso_relativo,0,0,-1.265622413788806,-1.9479820916478163,-0.5832627359297955,4
grade,desligado,0.7,0.01,taxa_omissao,0,0,-0.26666666666666666,-0.33578098360328895,-0.19755234973004437,4
grade,desligado,0.7,0.01,divida_latente_sobre_plano,0,0,-0.09871376181931985,-0.1411593905092643,-0.0562681331293754,4
grade,desligado,0.7,0.01,taxa_falha_efetiva,0,0,-0.09583333333333333,-0.250567152951637,0.058900486284970355,4
grade,desligado,0.7,0.01,fracao_porta1,0,0,-0.31666666666666665,-0.5471678291749681,-0.08616550415836524,4
grade,desligado,0.7,0.25,atraso_relativo,0,0,-1.148710057058674,-1.625213404799529,-0.6722067093178187,4
grade,desligado,0.7,0.25,taxa_omissao,0,0,-0.19270833333333334,-0.2518550866459687,-0.13356158002069804,4
grade,desligado,0.7,0.25,divida_latente_sobre_plano,0,0,-0.06340439752302192,-0.09704005509631553,-0.02976873994972832,4
grade,desligado,0.7,0.25,taxa_falha_efetiva,0,0,-0.030208333333333337,-0.11705584862975313,0.056639181963086455,4
grade,desligado,0.7,0.25,fracao_porta1,0,0,-0.1145833333333333,-0.2165087129789085,-0.012657953687758086,4
grade,desligado,0.7,0.6,atraso_relativo,0,0,-1.0524292468703729,-1.3541441799538754,-0.7507143137868704,4
grade,desligado,0.7,0.6,taxa_omissao,0,0,-0.19479166666666667,-0.2546770136708488,-0.13490631966248456,4
grade,desligado,0.7,0.6,divida_latente_sobre_plano,0,0,-0.056311657780623595,-0.08667262869554418,-0.025950686865703013,4
grade,desligado,0.7,0.6,taxa_falha_efetiva,0,0,-0.051041666666666666,-0.1516466901950101,0.04956335686167676,4
grade,desligado,0.7,0.6,fracao_porta1,0,0,-0.046875,-0.10868679829266267,0.014936798292662666,4
grade,desligado,1.0,0.01,atraso_relativo,7,0,-112.35571315864254,-235.94941927778558,11.237992960500506,4
grade,desligado,1.0,0.01,taxa_omissao,7,0,-0.11666666666666667,-0.2946531674795084,0.06131983414617512,4
grade,desligado,1.0,0.01,divida_latente_sobre_plano,7,0,-0.0597520734483335,-0.12073919526658836,0.0012350483699213669,4
grade,desligado,1.0,0.01,taxa_falha_efetiva,7,0,0.062499999999999986,-0.18302253745777514,0.30802253745777514,4
grade,desligado,1.0,0.01,fracao_porta1,7,4,-0.15833333333333333,-0.539126427323491,0.22245976065682443,4
grade,desligado,1.0,0.25,atraso_relativo,0,0,-1.2133232876165976,-1.895400725901979,-0.5312458493312162,4
grade,desligado,1.0,0.25,taxa_omissao,0,0,-0.22291666666666665,-0.2863950075345449,-0.15943832579878842,4
grade,desligado,1.0,0.25,divida_latente_sobre_plano,0,0,-0.07571111302379246,-0.12052281782617569,-0.03089940822140924,4
grade,desligado,1.0,0.25,taxa_falha_efetiva,0,0,-0.043750000000000004,-0.12413564760788623,0.036635647607886214,4
grade,desligado,1.0,0.25,fracao_porta1,0,0,-0.11041666666666669,-0.14964084634894234,-0.07119248698439104,4
grade,desligado,1.0,0.6,atraso_relativo,0,0,-1.0276192554952313,-1.5111381700436988,-0.5441003409467637,4
grade,desligado,1.0,0.6,taxa_omissao,0,0,-0.18229166666666669,-0.3032644342203509,-0.061318899112982495,4
grade,desligado,1.0,0.6,divida_latente_sobre_plano,0,0,-0.06271013228178236,-0.10135222903183913,-0.02406803553172559,4
grade,desligado,1.0,0.6,taxa_falha_efetiva,0,0,-0.04895833333333335,-0.15257679340603233,0.054660126739365635,4
grade,desligado,1.0,0.6,fracao_porta1,0,0,-0.06666666666666667,-0.1660444186636747,0.03271108533034135,4
grade,desligado,1.4,0.01,atraso_relativo,11,0,-174.61085683669603,-270.9386186760168,-78.28309499737527,4
grade,desligado,1.4,0.01,taxa_omissao,11,0,-0.021875,-0.129788179475393,0.08603817947539302,4
grade,desligado,1.4,0.01,divida_latente_sobre_plano,11,0,-0.014846775955666257,-0.07164304616818544,0.04194949425685293,4
grade,desligado,1.4,0.01,taxa_falha_efetiva,11,0,0.14791666666666664,-0.002251725233553964,0.2980850585668873,4
grade,desligado,1.4,0.01,fracao_porta1,11,8,,,,4
grade,desligado,1.4,0.25,atraso_relativo,0,0,-0.8904185704920158,-1.240989885402883,-0.5398472555811487,4
grade,desligado,1.4,0.25,taxa_omissao,0,0,-0.19375,-0.23888013371646116,-0.14861986628353885,4
grade,desligado,1.4,0.25,divida_latente_sobre_plano,0,0,-0.07200051009011221,-0.09344901366627235,-0.05055200651395207,4
grade,desligado,1.4,0.25,taxa_falha_efetiva,0,0,-0.048958333333333326,-0.06553357450668887,-0.03238309215997778,4
grade,desligado,1.4,0.25,fracao_porta1,0,0,-0.23020833333333335,-0.34133252139143766,-0.11908414527522905,4
grade,desligado,1.4,0.6,atraso_relativo,0,0,-0.9257872208761461,-1.026748795232896,-0.824825646519396,4
grade,desligado,1.4,0.6,taxa_omissao,0,0,-0.16041666666666665,-0.18828411181459004,-0.13254922151874327,4
grade,desligado,1.4,0.6,divida_latente_sobre_plano,0,0,-0.05312254317700551,-0.07669188942701743,-0.02955319692699358,4
grade,desligado,1.4,0.6,taxa_falha_efetiva,0,0,-0.014583333333333335,-0.08316558448935693,0.05399891782269026,4
grade,desligado,1.4,0.6,fracao_porta1,0,0,-0.06458333333333334,-0.1599738102841606,0.030807143617493926,4
nominal,ativo,1.0,0.25,atraso_relativo,0,0,-1.023421033555509,-1.1138695579329883,-0.9329725091780297,16
nominal,ativo,1.0,0.25,taxa_omissao,0,0,-0.22821180555555554,-0.24283913027240436,-0.2135844808387067,16
nominal,ativo,1.0,0.25,divida_latente_sobre_plano,0,0,-0.07781457642052281,-0.08620066729702622,-0.0694284855440194,16
nominal,ativo,1.0,0.25,taxa_falha_efetiva,0,0,-0.043055555555555555,-0.05684316653959242,-0.02926794457151869,16
nominal,ativo,1.0,0.25,fracao_porta1,0,0,-0.11649305555555556,-0.13660540098370882,-0.09638071012740229,16
nominal,desligado,1.0,0.25,atraso_relativo,0,0,-1.030587803993671,-1.1267771290159276,-0.9343984789714141,16
nominal,desligado,1.0,0.25,taxa_omissao,0,0,-0.21059027777777778,-0.22351074373830182,-0.19766981181725374,16
nominal,desligado,1.0,0.25,divida_latente_sobre_plano,0,0,-0.07400723206280042,-0.08070315511540563,-0.06731130901019522,16
nominal,desligado,1.0,0.25,taxa_falha_efetiva,0,0,-0.04105902777777778,-0.05341934263104162,-0.028698712924513932,16
nominal,desligado,1.0,0.25,fracao_porta1,0,0,-0.11710069444444444,-0.13780499595117895,-0.09639639293770993,16
