etapa,canal,tau_sat,s_transicao,metrica,arquivo,semente,diferenca
grade,ativo,0.7,0.25,taxa_omissao,j6032_1.sm,1,-0.2166666666666667
grade,ativo,0.7,0.25,taxa_omissao,j6032_1.sm,2,-0.2166666666666666
grade,ativo,0.7,0.25,taxa_omissao,j6032_1.sm,3,-0.2833333333333334
grade,ativo,0.7,0.25,taxa_omissao,j6043_1.sm,0,-0.1833333333333333
grade,ativo,0.7,0.25,taxa_omissao,j6043_1.sm,1,-0.2
grade,ativo,0.7,0.25,taxa_omissao,j6043_1.sm,2,-0.2333333333333334
grade,ativo,0.7,0.25,taxa_omissao,j6043_1.sm,3,-0.09999999999999999
grade,ativo,0.7,0.25,divida_latente_sobre_plano,j6010_1.sm,0,-0.035878811949810095
grade,ativo,0.7,0.25,divida_latente_sobre_plano,j6010_1.sm,1,-0.0607104537939336
grade,ativo,0.7,0.25,divida_latente_sobre_plano,j6010_1.sm,2,-0.09918474901254319
grade,ativo,0.7,0.25,divida_latente_sobre_plano,j6010_1.sm,3,-0.0596408838180989
grade,ativo,0.7,0.25,divida_latente_sobre_plano,j6021_1.sm,0,-0.08530447106079611
grade,ativo,0.7,0.25,divida_latente_sobre_plano,j6021_1.sm,1,-0.0813628129380634
grade,ativo,0.7,0.25,divida_latente_sobre_plano,j6021_1.sm,2,-0.11426159472325081
grade,ativo,0.7,0.25,divida_latente_sobre_plano,j6021_1.sm,3,-0.0721704935940727
grade,ativo,0.7,0.25,divida_latente_sobre_plano,j6032_1.sm,0,-0.0636060780041391
grade,ativo,0.7,0.25,divida_latente_sobre_plano,j6032_1.sm,1,-0.08111392985697949
grade,ativo,0.7,0.25,divida_latente_sobre_plano,j6032_1.sm,2,-0.1214030768339731
grade,ativo,0.7,0.25,divida_latente_sobre_plano,j6032_1.sm,3,-0.08868776352778071
grade,ativo,0.7,0.25,divida_latente_sobre_plano,j6043_1.sm,0,-0.030366782560153197
grade,ativo,0.7,0.25,divida_latente_sobre_plano,j6043_1.sm,1,-0.0652567202373711
grade,ativo,0.7,0.25,divida_latente_sobre_plano,j6043_1.sm,2,-0.06334542509039079
grade,ativo,0.7,0.25,divida_latente_sobre_plano,j6043_1.sm,3,-0.032722827392788506
grade,ativo,0.7,0.25,taxa_falha_efetiva,j6010_1.sm,0,0.0
grade,ativo,0.7,0.25,taxa_falha_efetiva,j6010_1.sm,1,-0.1666666666666666
grade,ativo,0.7,0.25,taxa_falha_efetiva,j6010_1.sm,2,-0.04999999999999999
grade,ativo,0.7,0.25,taxa_falha_efetiva,j6010_1.sm,3,-0.11666666666666672
grade,ativo,0.7,0.25,taxa_falha_efetiva,j6021_1.sm,0,-0.19999999999999998
grade,ativo,0.7,0.25,taxa_falha_efetiva,j6021_1.sm,1,-0.11666666666666672
grade,ativo,0.7,0.25,taxa_falha_efetiva,j6021_1.sm,2,0.0
grade,ativo,0.7,0.25,taxa_falha_efetiva,j6021_1.sm,3,-0.21666666666666667
