etapa,canal,tau_sat,s_transicao,metrica,cenario,N_total,N_completas,media_marginal_completas
grade,desligado,0.7,0.01,fracao_porta1,centralizada,16,16,0.6916666666666667
grade,desligado,0.7,0.25,atraso_relativo,adaptativa,16,16,1.7145320609174257
grade,desligado,0.7,0.25,atraso_relativo,centralizada,16,16,2.8632421179760996
grade,desligado,0.7,0.25,taxa_omissao,adaptativa,16,16,0.054166666666666655
grade,desligado,0.7,0.25,taxa_omissao,centralizada,16,16,0.246875
grade,desligado,0.7,0.25,divida_latente_sobre_plano,adaptativa,16,16,0.018965781076111132
grade,desligado,0.7,0.25,divida_latente_sobre_plano,centralizada,16,16,0.08237017859913305
grade,desligado,0.7,0.25,taxa_falha_efetiva,adaptativa,16,16,0.2489583333333333
grade,desligado,0.7,0.25,taxa_falha_efetiva,centralizada,16,16,0.2791666666666667
grade,desligado,0.7,0.25,fracao_porta1,adaptativa,16,16,0.4864583333333333
grade,desligado,0.7,0.25,fracao_porta1,centralizada,16,16,0.6010416666666667
grade,desligado,0.7,0.6,atraso_relativo,adaptativa,16,16,1.712044421760568
grade,desligado,0.7,0.6,atraso_relativo,centralizada,16,16,2.7644736686309406
grade,desligado,0.7,0.6,taxa_omissao,adaptativa,16,16,0.06041666666666664
grade,desligado,0.7,0.6,taxa_omissao,centralizada,16,16,0.25520833333333326
grade,desligado,0.7,0.6,divida_latente_sobre_plano,adaptativa,16,16,0.02125253749776526
grade,desligado,0.7,0.6,divida_latente_sobre_plano,centralizada,16,16,0.07756419527838887
grade,desligado,0.7,0.6,taxa_falha_efetiva,adaptativa,16,16,0.24062499999999995
grade,desligado,0.7,0.6,taxa_falha_efetiva,centralizada,16,16,0.29166666666666663
grade,desligado,0.7,0.6,fracao_porta1,adaptativa,16,16,0.64375
grade,desligado,0.7,0.6,fracao_porta1,centralizada,16,16,0.690625
grade,desligado,1.0,0.01,atraso_relativo,adaptativa,16,16,2.4355856584306745
grade,desligado,1.0,0.01,atraso_relativo,centralizada,16,9,4.962309008130189
grade,desligado,1.0,0.01,taxa_omissao,adaptativa,16,16,0.07499999999999997
grade,desligado,1.0,0.01,taxa_omissao,centralizada,16,9,0.33518518518518514
grade,desligado,1.0,0.01,divida_latente_sobre_plano,adaptativa,16,16,0.021839896123224994
grade,desligado,1.0,0.01,divida_latente_sobre_plano,centralizada,16,9,0.14239487601911904
grade,desligado,1.0,0.01,taxa_falha_efetiva,adaptativa,16,16,0.2833333333333333
grade,desligado,1.0,0.01,taxa_falha_efetiva,centralizada,16,9,0.3851851851851852
grade,desligado,1.0,0.01,fracao_porta1,adaptativa,16,16,0.2510416666666666
grade,desligado,1.0,0.01,fracao_porta1,centralizada,16,9,0.5981481481481481
grade,desligado,1.0,0.25,atraso_relativo,adaptativa,16,16,1.9035954255844216
grade,desligado,1.0,0.25,atraso_relativo,centralizada,16,16,3.116918713201019
grade,desligado,1.0,0.25,taxa_omissao,adaptativa,16,16,0.05104166666666663
grade,desligado,1.0,0.25,taxa_omissao,centralizada,16,16,0.2739583333333333
grade,desligado,1.0,0.25,divida_latente_sobre_plano,adaptativa,16,16,0.018090014009105156
grade,desligado,1.0,0.25,divida_latente_sobre_plano,centralizada,16,16,0.09380112703289761
grade,desligado,1.0,0.25,taxa_falha_efetiva,adaptativa,16,16,0.2635416666666666
grade,desligado,1.0,0.25,taxa_falha_efetiva,centralizada,16,16,0.30729166666666663
grade,desligado,1.0,0.25,fracao_porta1,adaptativa,16,16,0.4239583333333333
grade,desligado,1.0,0.25,fracao_porta1,centralizada,16,16,0.534375
grade,desligado,1.0,0.6,atraso_relativo,adaptativa,16,16,1.698164818304642
grade,desligado,1.0,0.6,atraso_relativo,centralizada,16,16,2.7257840737998738
grade,desligado,1.0,0.6,taxa_omissao,adaptativa,16,16,0.06041666666666663
grade,desligado,1.0,0.6,taxa_omissao,centralizada,16,16,0.2427083333333333
grade,desligado,1.0,0.6,divida_latente_sobre_plano,adaptativa,16,16,0.01883536698434838
grade,desligado,1.0,0.6,divida_latente_sobre_plano,centralizada,16,16,0.08154549926613078
grade,desligado,1.0,0.6,taxa_falha_efetiva,adaptativa,16,16,0.23124999999999996
grade,desligado,1.0,0.6,taxa_falha_efetiva,centralizada,16,16,0.28020833333333334
grade,desligado,1.0,0.6,fracao_porta1,adaptativa,16,16,0.565625
grade,desligado,1.0,0.6,fracao_porta1,centralizada,16,16,0.6322916666666667
grade,desligado,1.4,0.01,atraso_relativo,adaptativa,16,16,2.5476814928234197
grade,desligado,1.4,0.01,atraso_relativo,centralizada,16,5,3.707322654462242
grade,desligado,1.4,0.01,taxa_omissao,adaptativa,16,16,0.0708333333333333
grade,desligado,1.4,0.01,taxa_omissao,centralizada,16,5,0.2866666666666666
grade,desligado,1.4,0.01,divida_latente_sobre_plano,adaptativa,16,16,0.024037898665868133
grade,desligado,1.4,0.01,divida_latente_sobre_plano,centralizada,16,5,0.11964743299433718
grade,desligado,1.4,0.01,taxa_falha_efetiva,adaptativa,16,16,0.25416666666666665
grade,desligado,1.4,0.01,taxa_falha_efetiva,centralizada,16,5,0.3266666666666666
grade,desligado,1.4,0.01,fracao_porta1,adaptativa,16,16,0.18437499999999998
grade,desligado,1.4,0.01,fracao_porta1,centralizada,16,5,0.43666666666666665
grade,desligado,1.4,0.25,atraso_relativo,adaptativa,16,16,2.224192151752641
grade,desligado,1.4,0.25,atraso_relativo,centralizada,16,16,3.114610722244657
grade,desligado,1.4,0.25,taxa_omissao,adaptativa,16,16,0.06770833333333329
grade,desligado,1.4,0.25,taxa_omissao,centralizada,16,16,0.2614583333333333
grade,desligado,1.4,0.25,divida_latente_sobre_plano,adaptativa,16,16,0.022966880999979206
grade,desligado,1.4,0.25,divida_latente_sobre_plano,centralizada,16,16,0.09496739109009146
grade,desligado,1.4,0.25,taxa_falha_efetiva,adaptativa,16,16,0.259375
grade,desligado,1.4,0.25,taxa_falha_efetiva,centralizada,16,16,0.3083333333333333
grade,desligado,1.4,0.25,fracao_porta1,adaptativa,16,16,0.28020833333333334
grade,desligado,1.4,0.25,fracao_porta1,centralizada,16,16,0.5104166666666666
grade,desligado,1.4,0.6,atraso_relativo,adaptativa,16,16,1.7455234242184035
grade,desligado,1.4,0.6,atraso_relativo,centralizada,16,16,2.6713106450945494
grade,desligado,1.4,0.6,taxa_omissao,adaptativa,16,16,0.05520833333333329
grade,desligado,1.4,0.6,taxa_omissao,centralizada,16,16,0.21562499999999996
grade,desligado,1.4,0.6,divida_latente_sobre_plano,adaptativa,16,16,0.018394073252363318
grade,desligado,1.4,0.6,divida_latente_sobre_plano,centralizada,16,16,0.07151661642936882
grade,desligado,1.4,0.6,taxa_falha_efetiva,adaptativa,16,16,0.2333333333333333
grade,desligado,1.4,0.6,taxa_falha_efetiva,centralizada,16,16,0.24791666666666662
grade,desligado,1.4,0.6,fracao_porta1,adaptativa,16,16,0.46354166666666663
grade,desligado,1.4,0.6,fracao_porta1,centralizada,16,16,0.5281250000000001
nominal,ativo,1.0,0.25,atraso_relativo,adaptativa,192,192,2.0373813983341833
nominal,ativo,1.0,0.25,atraso_relativo,centralizada,192,192,3.0608024318896923
nominal,ativo,1.0,0.25,taxa_omissao,adaptativa,192,192,0.08428819444444441
nominal,ativo,1.0,0.25,taxa_omissao,centralizada,192,192,0.31249999999999994
nominal,ativo,1.0,0.25,divida_latente_sobre_plano,adaptativa,192,192,0.02545760842423252
nominal,ativo,1.0,0.25,divida_latente_sobre_plano,centralizada,192,192,0.10327218484475532
nominal,ativo,1.0,0.25,taxa_falha_efetiva,adaptativa,192,192,0.31892361111111106
nominal,ativo,1.0,0.25,taxa_falha_efetiva,centralizada,192,192,0.3619791666666667
nominal,ativo,1.0,0.25,fracao_porta1,adaptativa,192,192,0.5204861111111111
nominal,ativo,1.0,0.25,fracao_porta1,centralizada,192,192,0.6369791666666668
nominal,desligado,1.0,0.25,atraso_relativo,adaptativa,192,192,2.010786109260244
nominal,desligado,1.0,0.25,atraso_relativo,centralizada,192,192,3.041373913253915
nominal,desligado,1.0,0.25,taxa_omissao,adaptativa,192,192,0.07682291666666663
nominal,desligado,1.0,0.25,taxa_omissao,centralizada,192,192,0.2874131944444444
nominal,desligado,1.0,0.25,divida_latente_sobre_plano,adaptativa,192,192,0.024303398872413656
nominal,desligado,1.0,0.25,divida_latente_sobre_plano,centralizada,192,192,0.09831063093521408
nominal,desligado,1.0,0.25,taxa_falha_efetiva,adaptativa,192,192,0.2934895833333333
nominal,desligado,1.0,0.25,taxa_falha_efetiva,centralizada,192,192,0.33454861111111106
nominal,desligado,1.0,0.25,fracao_porta1,adaptativa,192,192,0.5190972222222222
nominal,desligado,1.0,0.25,fracao_porta1,centralizada,192,192,0.6361979166666667
