etapa,canal,tau_sat,s_transicao,metrica,N_pares_previstos,N_pares_retidos,N_pares_excluidos,media,ic95_inferior,ic95_superior,n_instancias
grade,desligado,0.7,0.01,fracao_porta1,16,16,0,-0.31666666666666665,-0.5471678291749681,-0.08616550415836524,4
grade,desligado,0.7,0.25,atraso_relativo,16,16,0,-1.148710057058674,-1.625213404799529,-0.6722067093178187,4
grade,desligado,0.7,0.25,taxa_omissao,16,16,0,-0.19270833333333334,-0.2518550866459687,-0.133561580020698,4
grade,desligado,0.7,0.25,divida_latente_sobre_plano,16,16,0,-0.06340439752302192,-0.09704005509631554,-0.0297687399497283,4
grade,desligado,0.7,0.25,taxa_falha_efetiva,16,16,0,-0.030208333333333337,-0.11705584862975318,0.05663918196308651,4
grade,desligado,0.7,0.25,fracao_porta1,16,16,0,-0.11458333333333333,-0.21650871297890859,-0.012657953687758072,4
grade,desligado,0.7,0.6,atraso_relativo,16,16,0,-1.0524292468703729,-1.3541441799538754,-0.7507143137868704,4
grade,desligado,0.7,0.6,taxa_omissao,16,16,0,-0.19479166666666664,-0.2546770136708487,-0.13490631966248454,4
grade,desligado,0.7,0.6,divida_latente_sobre_plano,16,16,0,-0.056311657780623595,-0.08667262869554415,-0.02595068686570303,4
grade,desligado,0.7,0.6,taxa_falha_efetiva,16,16,0,-0.051041666666666666,-0.15164669019501012,0.04956335686167679,4
grade,desligado,0.7,0.6,fracao_porta1,16,16,0,-0.046875,-0.10868679829266267,0.014936798292662666,4
grade,desligado,1.0,0.01,atraso_relativo,16,9,7,-2.040744729114631,-4.98625802672222,0.9047685684929587,4
grade,desligado,1.0,0.01,taxa_omissao,16,9,7,-0.24791666666666665,-0.2991303174364512,-0.1967030158968821,4
grade,desligado,1.0,0.01,divida_latente_sobre_plano,16,9,7,-0.11572862848402327,-0.16024339237170632,-0.07121386459634023,4
grade,desligado,1.0,0.01,taxa_falha_efetiva,16,9,7,-0.08020833333333335,-0.19522028382296125,0.034803617156294556,4
grade,desligado,1.0,0.01,fracao_porta1,16,9,7,-0.2625,-0.461697347082451,-0.06330265291754902,4
grade,desligado,1.0,0.25,atraso_relativo,16,16,0,-1.2133232876165976,-1.895400725901979,-0.5312458493312162,4
grade,desligado,1.0,0.25,taxa_omissao,16,16,0,-0.22291666666666665,-0.2863950075345449,-0.15943832579878842,4
grade,desligado,1.0,0.25,divida_latente_sobre_plano,16,16,0,-0.07571111302379245,-0.12052281782617566,-0.030899408221409234,4
grade,desligado,1.0,0.25,taxa_falha_efetiva,16,16,0,-0.04375000000000002,-0.1241356476078862,0.03663564760788616,4
grade,desligado,1.0,0.25,fracao_porta1,16,16,0,-0.11041666666666669,-0.14964084634894234,-0.07119248698439104,4
grade,desligado,1.0,0.6,atraso_relativo,16,16,0,-1.0276192554952313,-1.5111381700436988,-0.5441003409467637,4
grade,desligado,1.0,0.6,taxa_omissao,16,16,0,-0.18229166666666669,-0.3032644342203509,-0.06131889911298248,4
grade,desligado,1.0,0.6,divida_latente_sobre_plano,16,16,0,-0.06271013228178238,-0.10135222903183919,-0.024068035531725575,4
grade,desligado,1.0,0.6,taxa_falha_efetiva,16,16,0,-0.04895833333333336,-0.15257679340603236,0.054660126739365635,4
grade,desligado,1.0,0.6,fracao_porta1,16,16,0,-0.06666666666666667,-0.1660444186636747,0.03271108533034135,4
grade,desligado,1.4,0.01,atraso_relativo,16,5,11,-1.3279020820973528,-3.1296923246840884,0.47388816048938276,3
grade,desligado,1.4,0.01,taxa_omissao,16,5,11,-0.21944444444444444,-0.2510659697256067,-0.18782291916328223,3
grade,desligado,1.4,0.01,divida_latente_sobre_plano,16,5,11,-0.08725161219282729,-0.1849822167170067,0.010478992331352119,3
grade,desligado,1.4,0.01,taxa_falha_efetiva,16,5,11,-0.050000000000000024,-0.1402342103980441,0.040234210398044055,3
grade,desligado,1.4,0.01,fracao_porta1,16,5,11,-0.19166666666666674,-0.28653124251015333,-0.09680209082318016,3
grade,desligado,1.4,0.25,atraso_relativo,16,16,0,-0.8904185704920158,-1.240989885402883,-0.5398472555811487,4
grade,desligado,1.4,0.25,taxa_omissao,16,16,0,-0.19375000000000003,-0.23888013371646116,-0.1486198662835389,4
grade,desligado,1.4,0.25,divida_latente_sobre_plano,16,16,0,-0.07200051009011224,-0.0934490136662724,-0.050552006513952086,4
grade,desligado,1.4,0.25,taxa_falha_efetiva,16,16,0,-0.04895833333333334,-0.06553357450668887,-0.032383092159977804,4
grade,desligado,1.4,0.25,fracao_porta1,16,16,0,-0.23020833333333335,-0.3413325213914377,-0.119084145275229,4
grade,desligado,1.4,0.6,atraso_relativo,16,16,0,-0.925787220876146,-1.026748795232896,-0.824825646519396,4
grade,desligado,1.4,0.6,taxa_omissao,16,16,0,-0.16041666666666668,-0.18828411181459007,-0.1325492215187433,4
grade,desligado,1.4,0.6,divida_latente_sobre_plano,16,16,0,-0.053122543177005495,-0.0766918894270174,-0.029553196926993576,4
grade,desligado,1.4,0.6,taxa_falha_efetiva,16,16,0,-0.014583333333333323,-0.0831655844893569,0.05399891782269026,4
grade,desligado,1.4,0.6,fracao_porta1,16,16,0,-0.06458333333333335,-0.15997381028416066,0.030807143617493954,4
nominal,ativo,1.0,0.25,atraso_relativo,192,192,0,-1.023421033555509,-1.1138695579329883,-0.9329725091780298,16
nominal,ativo,1.0,0.25,taxa_omissao,192,192,0,-0.22821180555555556,-0.24283913027240436,-0.21358448083870676,16
nominal,ativo,1.0,0.25,divida_latente_sobre_plano,192,192,0,-0.07781457642052282,-0.08620066729702623,-0.06942848554401941,16
nominal,ativo,1.0,0.25,taxa_falha_efetiva,192,192,0,-0.043055555555555555,-0.05684316653959242,-0.02926794457151869,16
nominal,ativo,1.0,0.25,fracao_porta1,192,192,0,-0.11649305555555556,-0.13660540098370882,-0.09638071012740229,16
nominal,desligado,1.0,0.25,atraso_relativo,192,192,0,-1.030587803993671,-1.1267771290159276,-0.9343984789714141,16
nominal,desligado,1.0,0.25,taxa_omissao,192,192,0,-0.21059027777777778,-0.22351074373830182,-0.19766981181725374,16
nominal,desligado,1.0,0.25,divida_latente_sobre_plano,192,192,0,-0.07400723206280042,-0.08070315511540563,-0.06731130901019522,16
nominal,desligado,1.0,0.25,taxa_falha_efetiva,192,192,0,-0.04105902777777778,-0.05341934263104162,-0.028698712924513932,16
nominal,desligado,1.0,0.25,fracao_porta1,192,192,0,-0.11710069444444444,-0.13780499595117895,-0.09639639293770993,16
