configuracao,metrica,n_instancias_DEPOIS,media_centralizada_DEPOIS,media_adaptativa_DEPOIS,media_diferenca_DEPOIS,ic95_inferior_DEPOIS,ic95_superior_DEPOIS,n_positivo_DEPOIS,n_negativo_DEPOIS,n_zero_DEPOIS,n_pares_censurados_DEPOIS,n_instancias_ANTES,media_centralizada_ANTES,media_adaptativa_ANTES,media_diferenca_ANTES,ic95_inferior_ANTES,ic95_superior_ANTES,n_positivo_ANTES,n_negativo_ANTES,n_zero_ANTES,n_pares_censurados_ANTES
C4_C1_C3_media_eventos,hiato_sem_colega_livre,16,12.098958333333332,7.427083333333334,-4.671875,-7.153404953563257,-2.1903450464367427,4,12,0,0,16,11.385416666666668,1.9479166666666665,-9.4375,-12.945847948864639,-5.929152051135361,0,15,1,0
C4_C1_C3_media_eventos,makespan,16,229.36458333333331,141.22395833333331,-88.140625,-95.88873576259861,-80.39251423740139,0,16,0,0,16,237.68229166666669,151.90625,-85.77604166666666,-90.54976146784735,-81.00232186548597,0,16,0,0
C4_C1_C3_media_eventos,makespan_cpm,16,77.1875,77.1875,0.0,0.0,0.0,0,0,16,0,16,77.1875,77.1875,0.0,0.0,0.0,0,0,16,0
C4_C1_C3_media_eventos,n_adiamentos,16,0.0,0.0,0.0,0.0,0.0,0,0,16,0,16,0.0,0.0,0.0,0.0,0.0,0,0,16,0
C4_C1_C3_media_eventos,n_com_erro,16,13.239583333333334,3.786458333333333,-9.453125,-9.953143773548344,-8.953106226451656,0,16,0,0,16,13.020833333333332,3.8229166666666665,-9.197916666666668,-9.82503693849267,-8.570796394840666,0,16,0,0
C4_C1_C3_media_eventos,n_limpas,16,46.760416666666664,56.213541666666664,9.453125,8.953106226451656,9.953143773548344,16,0,0,0,16,46.97916666666667,56.177083333333336,9.197916666666668,8.570796394840666,9.82503693849267,16,0,0,0
C4_C1_C3_media_eventos,n_reportadas,16,2.020833333333333,10.239583333333332,8.21875,7.652895797786699,8.784604202213302,16,0,0,0,16,2.140625,9.989583333333332,7.848958333333333,7.4150219841769225,8.282894682489744,16,0,0,0
C4_C1_C3_media_eventos,n_tarefas,16,60.0,60.0,0.0,0.0,0.0,0,0,16,0,16,60.0,60.0,0.0,0.0,0.0,0,0,16,0
C4_C1_C3_media_eventos,p1_fuga,16,0.0,0.0,0.0,0.0,0.0,0,0,16,0,16,0.0,0.0,0.0,0.0,0.0,0,0,16,0
C4_C1_C3_media_eventos,p1_omissao,16,38.97395833333333,21.828125,-17.145833333333332,-19.22827461877658,-15.063392047890083,0,16,0,0,16,38.640625,19.166666666666664,-19.473958333333332,-21.62613552227828,-17.321781144388385,0,16,0,0
C4_C1_C3_media_eventos,p2_ajuda,16,0.0,9.1875,9.1875,8.287267411679279,10.087732588320721,16,0,0,0,16,0.0,10.489583333333334,10.489583333333334,9.62216515747912,11.357001509187548,16,0,0,0
C4_C1_C3_media_eventos,p2_bloqueio,16,134.75,17.166666666666664,-117.58333333333333,-131.30483198225545,-103.8618346844112,0,16,0,0,16,126.265625,5.942708333333333,-120.32291666666667,-134.59218836608736,-106.05364496724599,0,16,0,0
C4_C1_C3_media_eventos,p3_analitica,16,21.026041666666664,38.171875,17.145833333333332,15.063392047890083,19.22827461877658,16,0,0,0,16,21.359375,40.83333333333333,19.473958333333332,17.321781144388385,21.62613552227828,16,0,0,0
C4_C1_C3_media_eventos,retrabalho_sobre_esforco_realizado,16,0.08511966399697757,0.09209448911933607,0.006974825122358507,0.0018619087230056647,0.012087741521711349,11,5,0,0,16,0.07700442375652736,0.08461401738680613,0.007609593630278785,0.004453241576832188,0.010765945683725383,15,1,0,0
C4_C1_C3_media_eventos,retrabalho_sobre_plano,16,0.20249269794759037,0.1555048185848944,-0.04698787936269597,-0.05738582674901076,-0.036589931976381176,0,16,0,0,16,0.20309877307027008,0.15446817485451853,-0.04863059821575157,-0.057061528121581336,-0.04019966830992181,0,16,0,0
C4_C1_C3_media_eventos,tarefas_acima_da_competencia_maxima_inicial,16,14.541666666666666,14.541666666666666,0.0,0.0,0.0,0,0,16,0,16,14.541666666666666,14.541666666666666,0.0,0.0,0.0,0,0,16,0
C4_C1_C3_media_eventos,tarefas_pendentes,16,0.0,0.0,0.0,0.0,0.0,0,0,16,0,16,0.0,0.0,0.0,0.0,0.0,0,0,16,0
C4_C1_C3_media_eventos,taxa_omissao,16,0.22065972222222222,0.06310763888888889,-0.15755208333333331,-0.16588572955913905,-0.14921843710752758,0,16,0,0,16,0.2170138888888889,0.06371527777777779,-0.1532986111111111,-0.16375061564154447,-0.14284660658067772,0,16,0,0
C4_C1_C3_saldo_eventos,E_plano,16,339.25,339.25,0.0,0.0,0.0,0,0,16,0,16,339.25,339.25,0.0,0.0,0.0,0,0,16,0
C4_C1_C3_saldo_eventos,E_total,16,0.755921326099847,0.8604155745365272,0.10449424843668034,0.09164271308115624,0.11734578379220445,16,0,0,0,16,0.7839008771073721,0.8885319344131772,0.10463105730580516,0.08977301966093512,0.1194890949506752,16,0,0,0
C4_C1_C3_saldo_eventos,S_PV_final,16,256.75,315.71875,58.96875,54.73739431209275,63.20010568790725,16,0,0,0,16,257.1979166666667,315.421875,58.22395833333333,54.12067707661014,62.327239590056514,16,0,0,0
C4_C1_C3_saldo_eventos,S_UR_final,16,1.0795762432162328e-15,1.61907524424502e-17,-1.0633854907737827e-15,-1.3939236299668494e-15,-7.32847351580716e-16,0,16,0,0,16,1.0125002688117965e-15,1.7925475918427005e-17,-9.945747928933693e-16,-1.392306362671409e-15,-5.968432231153295e-16,0,16,0,0
