configuracao,arquivo,metrica,centralizada,adaptativa,diferenca,n_pares,n_pares_censurados
p2_yaml_arredondado_rho0.50,j6010_1.sm,atraso_relativo,3.4117647058823524,1.785294117647059,-1.6264705882352937,4,0
p2_yaml_arredondado_rho0.50,j6021_1.sm,atraso_relativo,5.319078947368421,3.483552631578947,-1.835526315789474,4,0
p2_yaml_arredondado_rho0.50,j6032_1.sm,atraso_relativo,4.202898550724638,2.503623188405797,-1.6992753623188408,4,0
p2_yaml_arredondado_rho0.50,j6043_1.sm,atraso_relativo,2.789351851851852,1.597222222222222,-1.1921296296296295,4,0
p2_yaml_arredondado_rho0.50,j6010_1.sm,tarefas_pendentes,0.0,0.0,0.0,4,0
p2_yaml_arredondado_rho0.50,j6021_1.sm,tarefas_pendentes,0.0,0.0,0.0,4,0
p2_yaml_arredondado_rho0.50,j6032_1.sm,tarefas_pendentes,0.0,0.0,0.0,4,0
p2_yaml_arredondado_rho0.50,j6043_1.sm,tarefas_pendentes,0.0,0.0,0.0,4,0
p2_yaml_arredondado_rho0.50,j6010_1.sm,dividas_pendentes,0.0,0.0,0.0,4,0
p2_yaml_arredondado_rho0.50,j6021_1.sm,dividas_pendentes,0.0,0.0,0.0,4,0
p2_yaml_arredondado_rho0.50,j6032_1.sm,dividas_pendentes,0.0,0.0,0.0,4,0
p2_yaml_arredondado_rho0.50,j6043_1.sm,dividas_pendentes,0.0,0.0,0.0,4,0
p3_criticidade_reduzida,j6010_1.sm,concluiu,1.0,1.0,0.0,4,0
p3_criticidade_reduzida,j6021_1.sm,concluiu,1.0,1.0,0.0,4,0
p3_criticidade_reduzida,j6032_1.sm,concluiu,1.0,1.0,0.0,4,0
p3_criticidade_reduzida,j6043_1.sm,concluiu,1.0,1.0,0.0,4,0
p3_criticidade_reduzida,j6010_1.sm,makespan,198.0,128.25,-69.75,4,0
p3_criticidade_reduzida,j6021_1.sm,makespan,249.75,190.5,-59.25,4,0
p3_criticidade_reduzida,j6032_1.sm,makespan,184.25,113.75,-70.5,4,0
p3_criticidade_reduzida,j6043_1.sm,makespan,230.75,158.5,-72.25,4,0
p3_criticidade_reduzida,j6010_1.sm,makespan_cpm,85.0,85.0,0.0,4,0
p3_criticidade_reduzida,j6021_1.sm,makespan_cpm,76.0,76.0,0.0,4,0
p3_criticidade_reduzida,j6032_1.sm,makespan_cpm,69.0,69.0,0.0,4,0
p3_criticidade_reduzida,j6043_1.sm,makespan_cpm,108.0,108.0,0.0,4,0
p3_criticidade_reduzida,j6010_1.sm,E_total,0.6672399124385622,0.6557333082823784,-0.011506604156183736,4,0
p3_criticidade_reduzida,j6021_1.sm,E_total,0.7316128037846681,0.73049501790064,-0.0011177858840282773,4,0
p3_criticidade_reduzida,j6032_1.sm,E_total,0.6918606627120828,0.6859294481307646,-0.005931214581318206,4,0
p3_criticidade_reduzida,j6043_1.sm,E_total,0.6036394759059811,0.563674037082704,-0.03996543882327695,4,0
p3_criticidade_reduzida,j6010_1.sm,S_UR_final,4.440892098500626e-16,4.440892098500626e-16,0.0,4,0
p3_criticidade_reduzida,j6021_1.sm,S_UR_final,4.440892098500626e-16,0.0,-4.440892098500626e-16,4,0
p3_criticidade_reduzida,j6032_1.sm,S_UR_final,3.1086244689504383e-15,0.0,-3.1086244689504383e-15,4,0
p3_criticidade_reduzida,j6043_1.sm,S_UR_final,1.7763568394002505e-15,0.0,-1.7763568394002505e-15,4,0
p3_criticidade_reduzida,j6010_1.sm,S_UR_maximo,37.215303100248335,11.989918144331426,-25.22538495591691,4,0
p3_criticidade_reduzida,j6021_1.sm,S_UR_maximo,41.413279749112064,9.025025169669473,-32.388254579442595,4,0
p3_criticidade_reduzida,j6032_1.sm,S_UR_maximo,37.473862926652856,6.333063510298996,-31.14079941635385,4,0
p3_criticidade_reduzida,j6043_1.sm,S_UR_maximo,38.54459462553132,4.6,-33.94459462553131,4,0
p3_criticidade_reduzida,j6010_1.sm,S_PV_final,267.5,303.75,36.25,4,0
p3_criticidade_reduzida,j6021_1.sm,S_PV_final,265.25,319.0,53.75,4,0
p3_criticidade_reduzida,j6032_1.sm,S_PV_final,289.5,329.25,39.75,4,0
p3_criticidade_reduzida,j6043_1.sm,S_PV_final,272.5,324.75,52.25,4,0
p3_criticidade_reduzida,j6010_1.sm,TW,412.25,356.5,-55.75,4,0
p3_criticidade_reduzida,j6021_1.sm,TW,439.0,388.75,-50.25,4,0
p3_criticidade_reduzida,j6032_1.sm,TW,441.75,384.75,-57.0,4,0
p3_criticidade_reduzida,j6043_1.sm,TW,413.75,354.5,-59.25,4,0
p3_criticidade_reduzida,j6010_1.sm,TL,0.0,96.25,96.25,4,0
p3_criticidade_reduzida,j6021_1.sm,TL,0.0,44.25,44.25,4,0
p3_criticidade_reduzida,j6032_1.sm,TL,0.0,74.0,74.0,4,0
p3_criticidade_reduzida,j6043_1.sm,TL,0.0,180.75,180.75,4,0
p3_criticidade_reduzida,j6010_1.sm,TU,137.5,39.5,-98.0,4,0
p3_criticidade_reduzida,j6021_1.sm,TU,63.0,14.75,-48.25,4,0
p3_criticidade_reduzida,j6032_1.sm,TU,130.25,56.0,-74.25,4,0
p3_criticidade_reduzida,j6043_1.sm,TU,198.25,56.0,-142.25,4,0
p3_criticidade_reduzida,j6010_1.sm,TR,68.50566346775088,53.00264372558679,-15.503019742164092,4,0
p3_criticidade_reduzida,j6021_1.sm,TR,98.48250012971533,87.7599408456321,-10.722559284083243,4,0
p3_criticidade_reduzida,j6032_1.sm,TR,68.08166552784085,47.058855537975546,-21.02280998986531,4,0
p3_criticidade_reduzida,j6043_1.sm,TR,75.93440123940313,42.65962630819258,-33.274774931210544,4,0
p3_criticidade_reduzida,j6010_1.sm,n_limpas,50.25,57.5,7.25,4,0
p3_criticidade_reduzida,j6021_1.sm,n_limpas,48.75,57.75,9.0,4,0
p3_criticidade_reduzida,j6032_1.sm,n_limpas,52.5,58.75,6.25,4,0
p3_criticidade_reduzida,j6043_1.sm,n_limpas,52.0,58.5,6.5,4,0
p3_criticidade_reduzida,j6010_1.sm,n_com_erro,9.75,2.5,-7.25,4,0
p3_criticidade_reduzida,j6021_1.sm,n_com_erro,11.25,2.25,-9.0,4,0
p3_criticidade_reduzida,j6032_1.sm,n_com_erro,7.5,1.25,-6.25,4,0
p3_criticidade_reduzida,j6043_1.sm,n_com_erro,8.0,1.5,-6.5,4,0
p3_criticidade_reduzida,j6010_1.sm,n_reportadas,2.5,4.75,2.25,4,0
p3_criticidade_reduzida,j6021_1.sm,n_reportadas,1.25,8.75,7.5,4,0
p3_criticidade_reduzida,j6032_1.sm,n_reportadas,1.5,5.75,4.25,4,0
p3_criticidade_reduzida,j6043_1.sm,n_reportadas,1.75,6.25,4.5,4,0
p3_criticidade_reduzida,j6010_1.sm,n_adiamentos,0.0,0.0,0.0,4,0
p3_criticidade_reduzida,j6021_1.sm,n_adiamentos,0.0,0.0,0.0,4,0
p3_criticidade_reduzida,j6032_1.sm,n_adiamentos,0.0,0.0,0.0,4,0
p3_criticidade_reduzida,j6043_1.sm,n_adiamentos,0.0,0.0,0.0,4,0
p3_criticidade_reduzida,j6010_1.sm,taxa_omissao,0.1625,0.041666666666666664,-0.12083333333333335,4,0
p3_criticidade_reduzida,j6021_1.sm,taxa_omissao,0.1875,0.0375,-0.15,4,0
p3_criticidade_reduzida,j6032_1.sm,taxa_omissao,0.125,0.020833333333333332,-0.10416666666666669,4,0
p3_criticidade_reduzida,j6043_1.sm,taxa_omissao,0.13333333333333333,0.025,-0.10833333333333334,4,0
p3_criticidade_reduzida,j6010_1.sm,E_plano,323.0,323.0,0.0,4,0
p3_criticidade_reduzida,j6021_1.sm,E_plano,332.0,332.0,0.0,4,0
p3_criticidade_reduzida,j6032_1.sm,E_plano,337.0,337.0,0.0,4,0
p3_criticidade_reduzida,j6043_1.sm,E_plano,334.0,334.0,0.0,4,0
p3_criticidade_reduzida,j6010_1.sm,retrabalho_sobre_plano,0.2120918373614578,0.16409487221543897,-0.047996965146018845,4,0
p3_criticidade_reduzida,j6021_1.sm,retrabalho_sobre_plano,0.2966340365352872,0.26433717122178346,-0.032296865313503724,4,0
p3_criticidade_reduzida,j6032_1.sm,retrabalho_sobre_plano,0.20202274637341497,0.13964052088420043,-0.06238222548921455,4,0
p3_criticidade_reduzida,j6043_1.sm,retrabalho_sobre_plano,0.22734850670479978,0.12772343206045683,-0.09962507464434295,4,0
p3_criticidade_reduzida,j6010_1.sm,divida_latente_sobre_plano,0.11521765665711559,0.037120489610933206,-0.07809716704618237,4,0
p3_criticidade_reduzida,j6021_1.sm,divida_latente_sobre_plano,0.12473879442503634,0.027183810752016483,-0.09755498367301986,4,0
p3_criticidade_reduzida,j6032_1.sm,divida_latente_sobre_plano,0.11119840631054258,0.018792473324329366,-0.09240593298621322,4,0
p3_criticidade_reduzida,j6043_1.sm,divida_latente_sobre_plano,0.11540297792075242,0.013772455089820359,-0.10163052283093207,4,0
p3_criticidade_reduzida,j6010_1.sm,retrabalho_sobre_esforco_realizado,0.11093415982984167,0.09506165023978926,-0.015872509590052406,4,0
p3_criticidade_reduzida,j6021_1.sm,retrabalho_sobre_esforco_realizado,0.16318087175811696,0.16221332928497068,-0.0009675424731462948,4,0
p3_criticidade_reduzida,j6032_1.sm,retrabalho_sobre_esforco_realizado,0.10634934395526785,0.08332286203435563,-0.023026481920912237,4,0
p3_criticidade_reduzida,j6043_1.sm,retrabalho_sobre_esforco_realizado,0.11102618765804428,0.0677579198928441,-0.043268267765200166,4,0
p3_criticidade_reduzida,j6010_1.sm,p1_omissao,27.5,19.25,-8.25,4,0
p3_criticidade_reduzida,j6021_1.sm,p1_omissao,29.25,21.25,-8.0,4,0
p3_criticidade_reduzida,j6032_1.sm,p1_omissao,25.75,20.0,-5.75,4,0
p3_criticidade_reduzida,j6043_1.sm,p1_omissao,22.75,16.25,-6.5,4,0
p3_criticidade_reduzida,j6010_1.sm,p1_fuga,0.0,0.0,0.0,4,0
p3_criticidade_reduzida,j6021_1.sm,p1_fuga,0.0,0.0,0.0,4,0
p3_criticidade_reduzida,j6032_1.sm,p1_fuga,0.0,0.0,0.0,4,0
p3_criticidade_reduzida,j6043_1.sm,p1_fuga,0.0,0.0,0.0,4,0
p3_criticidade_reduzida,j6010_1.sm,p2_ajuda,0.0,96.25,96.25,4,0
p3_criticidade_reduzida,j6021_1.sm,p2_ajuda,0.0,44.25,44.25,4,0
p3_criticidade_reduzida,j6032_1.sm,p2_ajuda,0.0,74.0,74.0,4,0
p3_criticidade_reduzida,j6043_1.sm,p2_ajuda,0.0,180.75,180.75,4,0
p3_criticidade_reduzida,j6010_1.sm,p2_bloqueio,137.5,39.5,-98.0,4,0
p3_criticidade_reduzida,j6021_1.sm,p2_bloqueio,63.0,14.75,-48.25,4,0
p3_criticidade_reduzida,j6032_1.sm,p2_bloqueio,130.25,56.0,-74.25,4,0
p3_criticidade_reduzida,j6043_1.sm,p2_bloqueio,198.25,56.0,-142.25,4,0
p3_criticidade_reduzida,j6010_1.sm,p3_analitica,32.5,40.75,8.25,4,0
p3_criticidade_reduzida,j6021_1.sm,p3_analitica,30.75,38.75,8.0,4,0
p3_criticidade_reduzida,j6032_1.sm,p3_analitica,34.25,40.0,5.75,4,0
p3_criticidade_reduzida,j6043_1.sm,p3_analitica,37.25,43.75,6.5,4,0
p3_criticidade_reduzida,j6010_1.sm,hiato_encontrado,137.5,135.75,-1.75,4,0
p3_criticidade_reduzida,j6021_1.sm,hiato_encontrado,63.0,59.0,-4.0,4,0
