concluiu,makespan,makespan_cpm,E_total,S_UR_final,S_UR_maximo,S_PV_final,TW,TL,TU,TR,n_limpas,n_com_erro,n_reportadas,n_adiamentos,taxa_omissao,E_plano,retrabalho_sobre_plano,divida_latente_sobre_plano,retrabalho_sobre_esforco_realizado,p1_omissao,p1_fuga,p2_ajuda,p2_bloqueio,p3_analitica,hiato_encontrado,hiato_sem_colega_capaz,hiato_sem_colega_livre,hiato_colega_capaz_sem_confianca,competencia_maxima_inicial,competencia_minima_inicial,tarefas_acima_da_competencia_maxima_inicial,n_tarefas,N_req,N_fail,N_blocked,N_success,competencia_maxima_final,ablacoes,retrabalho_gerado,retrabalho_pendente,ocupacao_retrabalho,extensoes_horizonte,motivo_termino,confianca_media_final,configuracao,arquivo,semente,cenario,atraso_relativo,violacoes,tarefas_pendentes,dividas_pendentes
True,223,85,0.6522078425463637,1.3322676295501878e-15,34.0254498673247,185.0,540.0,0.0,168.0,119.95692534410588,34,26,4,0,0.43333333333333335,323.0,0.37138366979599347,0.10534195005363685,0.1448830508836565,37,0,0,168,23,168,25,8,143,0.5820371027673271,0.4175993861121362,20,60,0,0,0,0,0.5820371027673271,nenhuma,119.95692534410588,0.0,131,0,terminal,0.25,sem_assistencia,j6010_1.sm,10,centralizada,2.623529411764706,[],0,0
True,159,85,0.6315686545963134,0.0,4.5,300.0,435.0,0.0,175.0,78.76122466534329,56,4,15,0,0.06666666666666667,323.0,0.24384280082149626,0.01393188854489164,0.11435200160057203,31,0,0,175,29,175,28,4,147,0.5820371027673271,0.4175993861121362,20,60,0,0,0,0,0.5820371027673271,nenhuma,78.76122466534329,0.0,87,0,terminal,0.7999999999999999,sem_assistencia,j6010_1.sm,10,adaptativa,1.8705882352941177,[],0,0
True,235,85,0.7336796868916652,0.0,41.45426559327159,183.0,532.0,0.0,78.0,115.11207479914171,38,22,4,0,0.36666666666666664,323.0,0.3563841325050827,0.1283413795457325,0.15875073495504555,28,0,0,78,32,78,7,6,71,0.7131697048371954,0.48671389683598903,7,60,0,0,0,0,0.7131697048371954,nenhuma,115.11207479914171,0.0,124,0,terminal,0.25,sem_assistencia,j6010_1.sm,11,centralizada,2.764705882352941,[],0,0
True,158,85,0.715357958282972,0.0,6.5,297.0,454.0,0.0,96.0,84.64730453227527,55,5,17,0,0.08333333333333333,323.0,0.26206595830425783,0.020123839009287926,0.1333769227849458,35,0,0,96,25,96,6,2,90,0.7131697048371954,0.48671389683598903,7,60,0,0,0,0,0.7131697048371954,nenhuma,84.64730453227527,0.0,93,0,terminal,0.7999999999999999,sem_assistencia,j6010_1.sm,11,adaptativa,1.8588235294117648,[],0,0
True,257,69,0.784340235164091,0.0,25.661438765597786,266.0,541.0,0.0,66.0,82.7516865073458,49,11,2,0,0.18333333333333332,340.0,0.24338731325689938,0.07547481989881702,0.11997315574010489,41,0,0,66,19,66,10,0,56,0.6268507180531939,0.4857196752206667,24,60,0,0,0,0,0.6268507180531939,nenhuma,82.75168650734577,0.0,90,0,terminal,0.25,sem_assistencia,j6013_1.sm,0,centralizada,3.7246376811594204,[],0,0
True,242,69,0.7098973775417904,0.0,23.37093655906166,294.0,459.0,0.0,89.0,98.57232794606213,53,7,11,0,0.11666666666666667,340.0,0.2899186116060651,0.06873804870312253,0.15245367561459444,42,0,0,89,18,89,12,0,77,0.6268507180531939,0.4857196752206667,24,60,0,0,0,0,0.6268507180531939,nenhuma,98.57232794606215,0.0,106,0,terminal,0.7999999999999999,sem_assistencia,j6013_1.sm,0,adaptativa,3.5072463768115942,[],0,0
True,306,69,0.6853987562664494,0.0,44.88359281592879,171.0,581.0,0.0,107.0,159.68172496381897,33,27,2,0,0.45,340.0,0.46965213224652635,0.1320105671056729,0.1883746225278533,46,0,0,107,14,107,14,0,93,0.6586427040007742,0.39362113220747674,21,60,0,0,0,0,0.6586427040007742,nenhuma,159.68172496381897,0.0,172,0,terminal,0.25,sem_assistencia,j6013_1.sm,1,centralizada,4.434782608695652,[],0,0
True,258,69,0.6454440974779359,4.440892098500626e-16,12.951794806939745,294.0,488.0,0.0,149.0,119.06857651476471,52,8,17,0,0.13333333333333333,340.0,0.3502016956316609,0.038093514138058074,0.15748383177572717,43,0,0,149,17,149,26,0,123,0.6586427040007742,0.39362113220747674,21,60,0,0,0,0,0.6586427040007742,nenhuma,119.06857651476474,0.0,129,0,terminal,0.7999999999999999,sem_assistencia,j6013_1.sm,1,adaptativa,3.739130434782609,[],0,0
True,289,69,0.8051713417019047,4.440892098500626e-15,40.754908867165184,194.0,576.0,0.0,13.0,126.37568486044064,37,23,2,0,0.38333333333333336,340.0,0.3716931907660019,0.11986737902107407,0.17665638843329529,42,0,0,13,18,13,0,0,13,0.7659648859265082,0.2570239140832174,5,60,0,0,0,0,0.7659648859265082,nenhuma,126.37568486044064,0.0,135,0,terminal,0.25,sem_assistencia,j6013_1.sm,2,centralizada,4.188405797101449,[],0,0
True,242,69,0.7636224237520584,0.0,8.586989634150171,322.0,495.0,0.0,40.0,113.22611882953599,57,3,19,0,0.05,340.0,0.3330179965574588,0.025255851865147564,0.1746707137225229,41,0,0,40,19,40,0,0,40,0.7659648859265082,0.2570239140832174,5,60,0,0,0,0,0.7659648859265082,nenhuma,113.22611882953599,0.0,122,0,terminal,0.7999999999999999,sem_assistencia,j6013_1.sm,2,adaptativa,3.5072463768115942,[],0,0
True,295,69,0.6971221061931883,0.0,30.8364854683468,234.0,573.0,0.0,124.0,124.95069545134857,45,15,5,0,0.25,340.0,0.36750204544514287,0.09069554549513766,0.1520172634962439,43,0,0,124,17,124,0,0,124,0.794910294566222,0.24332019624229823,1,60,0,0,0,0,0.794910294566222,nenhuma,124.95069545134854,0.0,133,0,terminal,0.25,sem_assistencia,j6013_1.sm,3,centralizada,4.27536231884058,[],0,0
True,240,69,0.7321462595699771,0.0,13.930525396197543,308.0,470.0,0.0,85.0,86.94823623909852,53,7,15,0,0.11666666666666667,340.0,0.25573010658558387,0.04097213351822807,0.13544431050779301,46,0,0,85,14,85,0,0,85,0.794910294566222,0.24332019624229823,1,60,0,0,0,0,0.794910294566222,nenhuma,86.94823623909855,0.0,95,0,terminal,0.7999999999999999,sem_assistencia,j6013_1.sm,3,adaptativa,3.4782608695652173,[],0,0
True,327,69,0.7367593872252084,0.0,20.78157160078248,230.0,560.0,0.0,109.0,91.08532732657585,40,20,1,0,0.3333333333333333,340.0,0.2678980215487525,0.06112226941406612,0.11983566061845634,41,0,0,109,19,109,8,0,101,0.7496468789669437,0.35303232464984247,9,60,0,0,0,0,0.7496468789669437,nenhuma,91.08532732657584,0.0,98,0,terminal,0.25,sem_assistencia,j6013_1.sm,4,centralizada,4.739130434782608,[],0,0
True,225,69,0.7305084716563303,0.0,21.00996694150346,293.0,487.0,0.0,109.0,70.65893537934288,52,8,6,0,0.13333333333333333,340.0,0.20782039817453787,0.061794020416186646,0.10598963222346441,46,0,0,109,14,109,10,0,99,0.7496468789669437,0.35303232464984247,9,60,0,0,0,0,0.7496468789669437,nenhuma,70.65893537934289,0.0,75,0,terminal,0.7999999999999999,sem_assistencia,j6013_1.sm,4,adaptativa,3.260869565217391,[],0,0
True,299,69,0.7404723830989552,4.440892098500626e-15,24.899871592881333,204.0,553.0,0.0,63.0,130.82056025592274,37,23,5,0,0.38333333333333336,340.0,0.3847663536938904,0.07323491644965098,0.17517000363660684,46,0,0,63,14,63,7,0,56,0.6863255838987572,0.3910769205246226,14,60,0,0,0,0,0.6863255838987572,nenhuma,130.82056025592274,0.0,138,0,terminal,0.25,sem_assistencia,j6013_1.sm,5,centralizada,4.333333333333333,[],0,0
True,268,69,0.6816416705770258,0.0,10.936839577329492,308.0,488.0,0.0,104.0,123.91867261708988,55,5,19,0,0.08333333333333333,340.0,0.3644666841679114,0.032167175227439684,0.17309043241475552,43,0,0,104,17,104,10,0,94,0.6863255838987572,0.3910769205246226,14,60,0,0,0,0,0.6863255838987572,nenhuma,123.91867261708988,0.0,134,0,terminal,0.7999999999999999,sem_assistencia,j6013_1.sm,5,adaptativa,3.8840579710144927,[],0,0
True,316,69,0.810310766449459,0.0,29.416513150727024,211.0,581.0,0.0,3.0,133.00886136040052,40,20,4,0,0.3333333333333333,340.0,0.3912025334129427,0.08651915632566771,0.1855051848425404,41,0,0,3,19,3,1,0,2,0.7631789564580391,0.24360497938515846,6,60,0,0,0,0,0.7631789564580391,nenhuma,133.0088613604005,0.0,141,0,terminal,0.25,sem_assistencia,j6013_1.sm,6,centralizada,4.579710144927536,[],0,0
True,258,69,0.7984486144867036,0.0,12.11554958198457,280.0,500.0,0.0,23.0,103.21437488677168,52,8,10,0,0.13333333333333333,340.0,0.3035716908434461,0.03563396935877815,0.16482274924690812,29,0,0,23,31,23,4,0,19,0.7631789564580391,0.24360497938515846,6,60,0,0,0,0,0.7631789564580391,nenhuma,103.21437488677168,0.0,111,0,terminal,0.7999999999999999,sem_assistencia,j6013_1.sm,6,adaptativa,3.739130434782609,[],0,0
True,269,69,0.706484461965888,0.0,41.99652369988331,232.0,550.0,0.0,129.0,99.50261344679976,39,21,2,0,0.35,340.0,0.292654745431764,0.12351918735259798,0.12781281877302192,53,0,0,129,7,129,17,0,112,0.5858494645010164,0.43100241340042456,29,60,0,0,0,0,0.5858494645010164,nenhuma,99.50261344679976,0.0,107,0,terminal,0.25,sem_assistencia,j6013_1.sm,7,centralizada,3.898550724637681,[],0,0
True,247,69,0.6407582390391301,0.0,7.713536237421641,302.0,458.0,0.0,144.0,112.77816763902848,52,8,15,0,0.13333333333333333,340.0,0.3317004930559661,0.022686871286534238,0.15778065523677665,47,0,0,144,13,144,24,0,120,0.5858494645010164,0.43100241340042456,29,60,0,0,0,0,0.5858494645010164,nenhuma,112.77816763902847,0.0,121,0,terminal,0.7999999999999999,sem_assistencia,j6013_1.sm,7,adaptativa,3.579710144927536,[],0,0
True,307,69,0.6661255513661027,3.552713678800501e-15,34.81097854447575,202.0,561.0,0.0,166.0,115.18357762960858,36,24,1,0,0.4,340.0,0.33877522832237816,0.10238523101316398,0.13676777924571,48,0,0,166,12,166,20,0,146,0.5273323364698471,0.27249021043639565,31,60,0,0,0,0,0.5273323364698471,nenhuma,115.18357762960858,0.0,125,0,terminal,0.25,sem_assistencia,j6013_1.sm,8,centralizada,4.449275362318841,[],0,0
True,264,69,0.5954753983458845,0.0,12.11554958198457,304.0,479.0,0.0,217.0,108.39931075333993,55,5,21,0,0.08333333333333333,340.0,0.3188215022157057,0.03563396935877815,0.13475808507570858,54,0,0,217,6,217,29,0,188,0.5273323364698471,0.27249021043639565,31,60,0,0,0,0,0.5273323364698471,nenhuma,108.39931075333993,0.0,115,0,terminal,0.7999999999999999,sem_assistencia,j6013_1.sm,8,adaptativa,3.8260869565217392,[],0,0
True,341,69,0.7259520617522417,0.0,26.47477859539589,209.0,558.0,0.0,81.0,129.64579549942565,40,20,4,0,0.3333333333333333,340.0,0.38131116323360487,0.07786699586881143,0.16866780025146513,39,0,0,81,21,81,0,0,81,0.6872143627230507,0.3512385487549321,14,60,0,0,0,0,0.6872143627230507,nenhuma,129.64579549942565,0.0,139,0,terminal,0.25,sem_assistencia,j6013_1.sm,9,centralizada,4.942028985507246,[],0,0
True,279,69,0.6916530564015816,0.0,12.31982947517784,285.0,485.0,0.0,87.0,129.21861750062666,50,10,15,0,0.16666666666666666,340.0,0.3800547573547843,0.036234792574052474,0.18427722007895944,41,0,0,87,19,87,3,0,84,0.6872143627230507,0.3512385487549321,14,60,0,0,0,0,0.6872143627230507,nenhuma,129.21861750062666,0.0,140,0,terminal,0.7999999999999999,sem_assistencia,j6013_1.sm,9,adaptativa,4.043478260869565,[],0,0
True,389,69,0.6650818739360284,3.552713678800501e-15,28.00810819757634,194.0,563.0,0.0,146.0,137.51231985635619,34,26,1,0,0.43333333333333335,340.0,0.4044479995775182,0.08237678881640101,0.1624457395725682,50,0,0,146,10,146,25,0,121,0.5820371027673271,0.4175993861121362,29,60,0,0,0,0,0.5820371027673271,nenhuma,137.51231985635619,0.0,149,0,terminal,0.25,sem_assistencia,j6013_1.sm,10,centralizada,5.63768115942029,[],0,0
True,285,69,0.5946677373078847,0.0,10.78699510543891,301.0,488.0,0.0,173.0,159.62632523032227,53,7,22,0,0.11666666666666667,340.0,0.46948919185388904,0.03172645619246738,0.1945176754907546,45,0,0,173,15,173,22,0,151,0.5820371027673271,0.4175993861121362,29,60,0,0,0,0,0.5820371027673271,nenhuma,159.62632523032224,0.0,171,0,terminal,0.7999999999999999,sem_assistencia,j6013_1.sm,10,adaptativa,4.130434782608695,[],0,0
True,304,69,0.8085444934741717,0.0,32.56771849950354,265.0,567.0,0.0,31.0,103.26010946373776,47,13,5,0,0.21666666666666667,340.0,0.3037062043051111,0.095787407351481,0.14724937019831635,32,0,0,31,28,31,2,0,29,0.7131697048371954,0.48671389683598903,13,60,0,0,0,0,0.7131697048371954,nenhuma,103.26010946373776,0.0,110,0,terminal,0.25,sem_assistencia,j6013_1.sm,11,centralizada,4.405797101449275,[],0,0
True,247,69,0.7510216327287753,0.0,8.0,300.0,473.0,0.0,34.0,122.80875568309989,53,7,16,0,0.11666666666666667,340.0,0.36120222259735263,0.023529411764705882,0.19499372559516054,38,0,0,34,22,34,2,0,32,0.7131697048371954,0.48671389683598903,13,60,0,0,0,0,0.7131697048371954,nenhuma,122.80875568309989,0.0,130,0,terminal,0.7999999999999999,sem_assistencia,j6013_1.sm,11,adaptativa,3.579710144927536,[],0,0
True,222,64,0.7009676634926425,0.0,50.65382019255457,225.0,616.0,0.0,151.0,111.78518807945787,38,22,1,0,0.36666666666666664,365.0,0.3062607892587887,0.13877758956864267,0.1272042241901675,50,0,0,151,10,151,17,15,134,0.6268507180531939,0.4857196752206667,27,60,0,0,0,0,0.6268507180531939,nenhuma,111.78518807945787,0.0,121,0,terminal,0.25,sem_assistencia,j6016_1.sm,0,centralizada,3.46875,[],0,0
True,152,64,0.6546710274816465,0.0,9.793154635033975,329.0,527.0,0.0,168.0,109.98445460040504,55,5,14,0,0.08333333333333333,365.0,0.301327272877822,0.0268305606439287,0.1366292901333125,45,0,0,168,15,168,27,3,141,0.6268507180531939,0.4857196752206667,27,60,0,0,0,0,0.6268507180531939,nenhuma,109.98445460040504,0.0,117,0,terminal,0.7999999999999999,sem_assistencia,j6016_1.sm,0,adaptativa,2.375,[],0,0
True,286,64,0.7305977170728167,0.0,56.493083103751545,264.0,644.0,0.0,134.0,103.47004151645092,44,16,3,0,0.26666666666666666,365.0,0.28347956579849565,0.1547755701472645,0.1173835032878084,46,0,0,134,14,134,8,11,126,0.6586427040007742,0.39362113220747674,18,60,0,0,0,0,0.6586427040007742,nenhuma,103.4700415164509,0.0,112,0,terminal,0.25,sem_assistencia,j6016_1.sm,1,centralizada,4.46875,[],0,0
True,158,64,0.6658641684473758,0.0,10.037035976211765,319.0,555.0,0.0,141.0,137.50332740402195,53,7,20,0,0.11666666666666667,365.0,0.37672144494252585,0.02749872870195004,0.16497034010923667,46,0,0,141,14,141,8,8,133,0.6586427040007742,0.39362113220747674,18,60,0,0,0,0,0.6586427040007742,nenhuma,137.50332740402195,0.0,151,0,terminal,0.7999999999999999,sem_assistencia,j6016_1.sm,1,adaptativa,2.46875,[],0,0
