mapa,arquivo,semente,cenario,concluiu,violacoes,atraso_relativo,fracao_porta1,TW,TL,TU,TR,taxa_omissao,divida_latente_sobre_plano,taxa_falha_efetiva,retrabalho_sobre_esforco_total
historica,j6043_1.sm,0,centralizada,True,0,1.9907407407407407,0.45,510.0,0.0,207.0,58.09857985334466,0.21666666666666667,0.05028318503755579,0.23333333333333334,0.14817340036037643
historica,j6043_1.sm,0,adaptativa,True,0,1.7685185185185186,0.31666666666666665,394.0,229.0,72.0,53.90301745994712,0.05,0.020594804985097033,0.25,0.1389600364877617
historica,j6043_1.sm,1,centralizada,True,0,2.259259259259259,0.48333333333333334,506.0,0.0,181.0,53.85695468621138,0.18333333333333332,0.08340152766628926,0.2,0.13885777742411082
historica,j6043_1.sm,1,adaptativa,True,0,1.5740740740740742,0.35,388.0,145.0,43.0,73.54734617528402,0.06666666666666667,0.017964071856287425,0.3333333333333333,0.1804633176132907
historica,j6043_1.sm,2,centralizada,True,0,2.1666666666666665,0.43333333333333335,534.0,0.0,82.0,77.78773422167602,0.2833333333333333,0.08923715596498813,0.3333333333333333,0.18890250426886407
historica,j6043_1.sm,2,adaptativa,True,0,1.5648148148148149,0.3333333333333333,396.0,126.0,53.0,80.25361986203313,0.08333333333333333,0.018313312445540606,0.36666666666666664,0.19373064232670203
historica,j6043_1.sm,3,centralizada,True,0,1.9444444444444444,0.48333333333333334,492.0,0.0,236.0,85.5801560890785,0.3,0.06185953200576928,0.3333333333333333,0.2039661667672136
historica,j6043_1.sm,3,adaptativa,True,0,1.4537037037037037,0.38333333333333336,370.0,187.0,60.0,37.53606153759509,0.03333333333333333,0.0074850299401197605,0.2,0.10102938967015153
curto,j6010_1.sm,0,centralizada,True,0,2.0,0.43333333333333335,512.0,0.0,150.0,31.201857507545345,0.1,0.031444106078736496,0.11666666666666667,0.08809060948213879
curto,j6010_1.sm,0,adaptativa,True,0,1.4470588235294117,0.25,386.0,112.0,37.0,6.083786877180893,0.0,0.0,0.016666666666666666,0.018487045305126064
curto,j6010_1.sm,1,centralizada,True,0,2.176470588235294,0.45,505.0,0.0,102.0,37.986532050691885,0.13333333333333333,0.06670331417433463,0.15,0.10522977639885354
curto,j6010_1.sm,1,adaptativa,True,0,1.2941176470588236,0.25,367.0,74.0,40.0,4.0,0.0,0.0,0.016666666666666666,0.012232415902140673
curto,j6010_1.sm,2,centralizada,True,0,2.3058823529411763,0.5333333333333333,509.0,0.0,95.0,35.33958817933995,0.13333333333333333,0.059414840407653526,0.16666666666666666,0.09862038509028305
curto,j6010_1.sm,2,adaptativa,True,0,1.5529411764705883,0.35,392.0,88.0,47.0,36.02008293041334,0.016666666666666666,0.02616630492274403,0.1,0.10032888031334697
curto,j6010_1.sm,3,centralizada,True,0,2.847058823529412,0.6666666666666666,526.0,0.0,175.0,52.78364171022744,0.21666666666666667,0.06585003343998039,0.2833333333333333,0.14046285109698767
curto,j6010_1.sm,3,adaptativa,True,0,1.6941176470588235,0.31666666666666665,399.0,95.0,46.0,19.41255686157023,0.016666666666666666,0.014641400339158879,0.05,0.05669347245760702
curto,j6021_1.sm,0,centralizada,True,0,3.236842105263158,0.5,534.0,0.0,108.0,42.76610114144751,0.11666666666666667,0.05637697990180527,0.13333333333333333,0.1141141128058067
