alpha,beta,mu,CV,E0,construtos_compativeis,E0_compativel
0.7545541666666667,45.45628333333333,0.01632851096166926,1.129616164863287,67.48445910792907,True,False
0.7545541666666667,45.45628472222222,0.016328510470908043,1.1296161655046435,67.48445966243176,True,False
0.7545541666666667,45.45628611111111,0.016328509980146858,1.129616166146,67.48446021693441,True,False
0.7545541666666667,45.4562875,0.0163285094893857,1.1296161667873565,67.48446077143703,True,False
0.7545541666666667,45.456288888888885,0.016328508998624574,1.1296161674287128,67.48446132593952,True,False
0.7545541666666667,45.456290277777775,0.01632850850786348,1.1296161680700694,67.48446188044228,True,False
0.7545541666666667,45.456291666666665,0.01632850801710241,1.1296161687114257,67.48446243494467,True,False
0.7545541666666667,45.456293055555555,0.016328507526341372,1.1296161693527822,67.48446298944734,True,False
0.7545541666666667,45.456294444444445,0.01632850703558036,1.1296161699941385,67.48446354394972,True,False
0.7545541666666667,45.45629583333333,0.016328506544819384,1.1296161706354948,67.48446409845228,True,False
0.7545541666666667,45.45629722222222,0.016328506054058434,1.1296161712768509,67.48446465295473,True,False
0.7545541666666667,45.45629861111111,0.016328505563297513,1.1296161719182072,67.48446520745719,True,False
0.7545541666666667,45.4563,0.016328505072536623,1.1296161725595633,67.48446576195961,True,False
0.7545541666666667,45.45630138888889,0.01632850458177576,1.1296161732009193,67.48446631646202,True,False
0.7545541666666667,45.45630277777778,0.01632850409101493,1.1296161738422754,67.48446687096437,True,False
0.7545541666666667,45.45630416666667,0.016328503600254125,1.1296161744836315,67.4844674254667,True,False
0.7545541666666667,45.45630555555555,0.016328503109493357,1.1296161751249876,67.48446797996911,True,False
0.7545541666666667,45.45630694444444,0.016328502618732612,1.1296161757663434,67.48446853447126,True,False
0.7545541666666667,45.45630833333333,0.0163285021279719,1.1296161764076993,67.48446908897371,True,False
0.7545541666666667,45.45630972222222,0.016328501637211213,1.1296161770490554,67.48446964347578,True,False
0.7545541666666667,45.45631111111111,0.01632850114645056,1.129616177690411,67.48447019797813,True,False
0.7545541666666667,45.456312499999996,0.016328500655689936,1.1296161783317669,67.48447075248029,True,False
0.7545541666666667,45.456313888888886,0.01632850016492934,1.1296161789731227,67.48447130698246,True,False
0.7545541666666667,45.456315277777776,0.016328499674168773,1.1296161796144784,67.48447186148461,True,False
0.7545541666666667,45.456316666666666,0.016328499183408236,1.129616180255834,67.48447241598679,True,False
0.7545541666666667,45.456318055555556,0.016328498692647728,1.1296161808971896,67.48447297048887,True,False
0.7545541666666667,45.456319444444446,0.01632849820188725,1.1296161815385453,67.48447352499097,True,False
0.7545541666666667,45.456320833333336,0.0163284977111268,1.129616182179901,67.48447407949303,True,False
0.7545541666666667,45.45632222222222,0.016328497220366386,1.1296161828212565,67.48447463399498,True,False
0.7545541666666667,45.45632361111111,0.016328496729605995,1.129616183462612,67.48447518849717,True,False
0.7545541666666667,45.456325,0.016328496238845636,1.1296161841039674,67.48447574299898,True,False
0.7545541666666667,45.45632638888889,0.016328495748085304,1.1296161847453228,67.48447629750117,True,False
0.7545541666666667,45.45632777777778,0.016328495257325003,1.1296161853866782,67.48447685200293,True,False
0.7545541666666667,45.45632916666666,0.016328494766564734,1.1296161860280336,67.48447740650495,True,False
0.7545541666666667,45.45633055555555,0.016328494275804493,1.1296161866693888,67.48447796100682,True,False
0.7545541666666667,45.45633194444444,0.01632849378504428,1.1296161873107442,67.48447851550873,True,False
0.7545541666666667,45.45633333333333,0.016328493294284097,1.1296161879520994,67.48447907001055,True,False
0.7545541666666667,45.45633472222222,0.016328492803523942,1.1296161885934546,67.48447962451242,True,False
0.7545541666666667,45.45633611111111,0.01632849231276382,1.1296161892348098,67.4844801790142,True,False
0.7545541666666667,45.456337500000004,0.016328491822003723,1.1296161898761647,67.484480733516,True,False
0.7545541666666667,45.45633888888889,0.01632849133124366,1.12961619051752,67.48448128801783,True,False
0.7545541666666667,45.45634027777778,0.016328490840483625,1.129616191158875,67.48448184251941,True,False
0.7545541666666667,45.45634166666667,0.01632849034972362,1.12961619180023,67.4844823970213,True,False
0.7545541666666667,45.45634305555556,0.016328489858963645,1.1296161924415848,67.48448295152279,True,False
0.7545541666666667,45.45634444444445,0.016328489368203695,1.1296161930829398,67.48448350602465,True,False
0.7545541666666667,45.45634583333333,0.01632848887744378,1.1296161937242948,67.4844840605262,True,False
0.7545541666666667,45.45634722222222,0.016328488386683892,1.1296161943656498,67.48448461502784,True,False
0.7545541666666667,45.45634861111111,0.016328487895924036,1.1296161950070045,67.48448516952942,True,False
0.7545541666666667,45.45635,0.016328487405164207,1.1296161956483592,67.48448572403099,True,False
0.7545555555555556,45.45625,0.016328552304685835,1.1296150932281221,67.48440491066202,True,False
0.7545555555555556,45.45625138888889,0.016328551813923037,1.1296150938694796,67.4844054651659,True,False
0.7545555555555556,45.45625277777778,0.01632855132316027,1.129615094510837,67.4844060196698,True,False
0.7545555555555556,45.45625416666667,0.016328550832397534,1.1296150951521942,67.48440657417368,True,False
0.7545555555555556,45.45625555555555,0.016328550341634825,1.1296150957935513,67.48440712867753,True,False
0.7545555555555556,45.45625694444444,0.016328549850872145,1.1296150964349088,67.48440768318127,True,False
0.7545555555555556,45.45625833333333,0.016328549360109496,1.129615097076266,67.48440823768512,True,False
0.7545555555555556,45.45625972222222,0.016328548869346877,1.129615097717623,67.48440879218883,True,False
0.7545555555555556,45.45626111111111,0.016328548378584284,1.12961509835898,67.4844093466926,True,False
0.7545555555555556,45.456262499999994,0.016328547887821725,1.129615099000337,67.4844099011963,True,False
0.7545555555555556,45.456263888888884,0.016328547397059193,1.1296150996416943,67.4844104557,True,False
0.7545555555555556,45.456265277777774,0.016328546906296693,1.1296151002830512,67.4844110102037,True,False
