modelo,metrica,termo,parcela,pct_contraste
mvp,taxa_omissao,BCD,-3.1846631813140885e-17,1.9238237990948244e-14
mvp,taxa_omissao,ABCD,-2.1850528716640639e-16,1.3199690131919252e-13
mvp,retrabalho_sobre_plano,A,-0.037076341996296176,81.05292309444921
mvp,retrabalho_sobre_plano,B,0.0,-0.0
mvp,retrabalho_sobre_plano,C,-0.008056783328742007,17.613006148190184
mvp,retrabalho_sobre_plano,D,-0.004595493301087125,10.046249038032952
mvp,retrabalho_sobre_plano,AB,-1.878939035977869e-16,4.107565444225497e-13
mvp,retrabalho_sobre_plano,AC,0.0028654420545904764,-6.264168523030772
mvp,retrabalho_sobre_plano,AD,0.004421928917191566,-9.666818384889568
mvp,retrabalho_sobre_plano,BC,-2.872062617884559e-17,6.27864179570613e-14
mvp,retrabalho_sobre_plano,BD,6.141679750646582e-17,-1.3426381074746326e-13
mvp,retrabalho_sobre_plano,CD,0.004333406377359592,-9.473298468231041
mvp,retrabalho_sobre_plano,ABC,1.7067937768738525e-18,-3.731237152490953e-15
mvp,retrabalho_sobre_plano,ABD,1.0418905129609038e-16,-2.277686175952647e-13
mvp,retrabalho_sobre_plano,ACD,-0.0076355330280885375,16.69210709547915
mvp,retrabalho_sobre_plano,BCD,-8.659172961712764e-17,1.892989551658984e-13
mvp,retrabalho_sobre_plano,ABCD,-1.9165467017792638e-16,4.189779899045951e-13
mvp,divida_latente_sobre_plano,A,-0.011572459532921374,20.38905910585125
mvp,divida_latente_sobre_plano,B,0.0,-0.0
mvp,divida_latente_sobre_plano,C,-0.045984935469133736,81.01904047205049
mvp,divida_latente_sobre_plano,D,-0.03342344447985855,58.88744592990955
mvp,divida_latente_sobre_plano,AB,-5.3919126130919394e-17,9.499797743873723e-14
mvp,divida_latente_sobre_plano,AC,0.006535372433267133,-11.514414411349994
mvp,divida_latente_sobre_plano,AD,0.006745335702718631,-11.884340398019111
mvp,divida_latente_sobre_plano,BC,6.561080402728225e-18,-1.1559708266760979e-14
mvp,divida_latente_sobre_plano,BD,1.601249870677305e-18,-2.8211788655297655e-15
mvp,divida_latente_sobre_plano,CD,0.0260178675230127,-45.839852559069456
mvp,divida_latente_sobre_plano,ABC,1.6623267273249612e-18,-2.9287877654914406e-15
mvp,divida_latente_sobre_plano,ABD,4.0398577459439186e-17,-7.117665706841163e-14
mvp,divida_latente_sobre_plano,ACD,-0.005075919440187454,8.943061860627251
mvp,divida_latente_sobre_plano,BCD,-8.206394862351509e-18,1.4458522790116008e-14
mvp,divida_latente_sobre_plano,ABCD,-6.133051316798107e-17,1.080558073602944e-13
mvp,S_UR_maximo,A,-3.9033659762320574,20.24201056713603
mvp,S_UR_maximo,B,0.0,-0.0
