arquivo,semente,cenario,concluiu,TR,E_plano,retrabalho_sobre_esforco_total
j602_1.sm,1,centralizada,True,108.9959913073564,324.0,0.2517251741251966
j602_1.sm,1,adaptativa,True,79.14778218773512,324.0,0.1963244886483788
j602_1.sm,2,centralizada,True,72.76488214950692,324.0,0.1833954702727143
j602_1.sm,2,adaptativa,True,84.05412584201078,324.0,0.2059876877082591
j602_1.sm,3,centralizada,True,101.25218279622707,324.0,0.2380991489107658
j602_1.sm,3,adaptativa,True,67.1301573203745,324.0,0.1716312487389925
j602_1.sm,4,centralizada,True,116.13092709049111,324.0,0.2638554119752065
j602_1.sm,4,adaptativa,True,107.38854067872332,324.0,0.2489369339986732
j602_1.sm,5,centralizada,True,112.20480167426098,324.0,0.257229634436832
j602_1.sm,5,adaptativa,True,85.06678942245534,324.0,0.2079533015685718
j602_1.sm,6,centralizada,True,114.51595435517444,324.0,0.261144328314273
j602_1.sm,6,adaptativa,True,77.97691477766597,324.0,0.1939835645059247
j602_1.sm,7,centralizada,True,84.63629702024761,324.0,0.2071188918786966
j602_1.sm,7,adaptativa,True,72.0738524536239,324.0,0.1819707410805741
j602_1.sm,8,centralizada,True,139.06497096576246,324.0,0.3003141668775557
j602_1.sm,8,adaptativa,True,112.8275816373254,324.0,0.2582885934409702
j602_1.sm,9,centralizada,True,81.25025616107975,324.0,0.20049402788973
j602_1.sm,9,adaptativa,True,51.49982707251309,324.0,0.1371500686805054
j602_1.sm,10,centralizada,True,90.17714313138067,324.0,0.2177260252692787
j602_1.sm,10,adaptativa,True,76.71750084184221,324.0,0.1914503376585031
j602_1.sm,11,centralizada,True,104.8631544043683,324.0,0.2445142543196762
j602_1.sm,11,adaptativa,True,80.27390376246981,324.0,0.1985631598166043
j6032_1.sm,0,centralizada,True,99.87695663387204,337.0,0.2286157580922141
j6032_1.sm,0,adaptativa,True,53.18976284929845,337.0,0.1363176790208146
j6032_1.sm,1,centralizada,True,94.0257936140988,337.0,0.2181442387141242
j6032_1.sm,1,adaptativa,True,72.54175110323301,337.0,0.1771290739169287
j6032_1.sm,2,centralizada,True,87.00716173258073,337.0,0.2052021040801563
j6032_1.sm,2,adaptativa,True,61.08897116982239,337.0,0.1534555729848697
j6032_1.sm,3,centralizada,True,77.3133163150021,337.0,0.1866059169969348
j6032_1.sm,3,adaptativa,True,41.83236969501056,337.0,0.110424485976974
j6032_1.sm,4,centralizada,True,47.38598674257672,337.0,0.1232770922377852
j6032_1.sm,4,adaptativa,True,57.705676957022625,337.0,0.1461992576390176
j6032_1.sm,5,centralizada,True,72.20404094230182,337.0,0.1764499704744671
j6032_1.sm,5,adaptativa,True,90.77784878841624,337.0,0.2122079229804065
j6032_1.sm,6,centralizada,True,124.17306793997184,337.0,0.2692548125037837
j6032_1.sm,6,adaptativa,True,68.36873173805884,337.0,0.1686581287237451
j6032_1.sm,7,centralizada,True,80.28421661613152,337.0,0.1923969645130063
j6032_1.sm,7,adaptativa,True,62.44391121620846,337.0,0.1563271074181156
j6032_1.sm,8,centralizada,True,112.36269998024753,337.0,0.2500490138259953
j6032_1.sm,8,adaptativa,True,92.79606105626816,337.0,0.2159071928863477
j6032_1.sm,9,centralizada,True,86.50073226432589,337.0,0.204251671069926
j6032_1.sm,9,adaptativa,True,93.50808892396758,337.0,0.2172040231756995
j6032_1.sm,10,centralizada,True,88.28095530111777,337.0,0.2075826678827198
j6032_1.sm,10,adaptativa,True,93.12263575637252,337.0,0.2165025228040276
j6032_1.sm,11,centralizada,True,99.20659373836628,337.0,0.2274302937242386
j6032_1.sm,11,adaptativa,True,84.63402130575975,337.0,0.2007286343821506
j6035_1.sm,0,centralizada,True,48.133896625646834,353.0,0.119994587918276
j6035_1.sm,0,adaptativa,True,92.56112112325542,353.0,0.2077405696661991
j6035_1.sm,1,centralizada,True,128.29458242057524,353.0,0.266561451357593
j6035_1.sm,1,adaptativa,True,74.6720854332678,353.0,0.1746012610517207
j6035_1.sm,2,centralizada,True,98.85341911757746,353.0,0.2187732015188196
j6035_1.sm,2,adaptativa,True,80.62308172287409,353.0,0.1859289441017344
j6035_1.sm,3,centralizada,True,109.33769477420608,353.0,0.2364888176111269
j6035_1.sm,3,adaptativa,True,67.48295977292605,353.0,0.1604891665749521
j6035_1.sm,4,centralizada,True,100.67542238771696,353.0,0.2219106819978412
j6035_1.sm,4,adaptativa,True,60.898393640293534,353.0,0.1471336796083786
j6035_1.sm,5,centralizada,True,86.88027279865115,353.0,0.1975089090626697
j6035_1.sm,5,adaptativa,True,119.7165076971872,353.0,0.2532522256952262
j6035_1.sm,6,centralizada,True,102.44821054595909,353.0,0.2249393194961759
j6035_1.sm,6,adaptativa,True,69.35028699090716,353.0,0.1642008757351696
j6035_1.sm,7,centralizada,True,72.12026890667158,353.0,0.1696467427727009
j6035_1.sm,7,adaptativa,True,31.97005312486814,353.0,0.0830455586489435
j6035_1.sm,8,centralizada,True,135.72114921355538,353.0,0.2777067238280077
j6035_1.sm,8,adaptativa,True,128.4831208578844,353.0,0.2668486501228934
j6035_1.sm,9,centralizada,True,94.58229168398684,353.0,0.2113182166526958
j6035_1.sm,9,adaptativa,True,61.237764220949586,353.0,0.1478324032964944
j6035_1.sm,10,centralizada,True,110.94105731224332,353.0,0.2391274830362283
j6035_1.sm,10,adaptativa,True,104.63145499140823,353.0,0.228636938851532
j6035_1.sm,11,centralizada,True,101.6713954708725,353.0,0.2236151129885316
j6035_1.sm,11,adaptativa,True,111.27159525830896,353.0,0.2396691858703961
j6038_1.sm,0,centralizada,True,83.66294129184783,341.0,0.1970102242435862
j6038_1.sm,0,adaptativa,True,46.35688667895703,341.0,0.1196748741874771
j6038_1.sm,1,centralizada,True,45.30823094828568,341.0,0.1172851814134682
j6038_1.sm,1,adaptativa,True,83.55168460675571,341.0,0.1967997952573103
j6038_1.sm,2,centralizada,True,111.25856547815306,341.0,0.2460065413255894
j6038_1.sm,2,adaptativa,True,86.37364334592152,341.0,0.202103346078386
j6038_1.sm,3,centralizada,True,81.80436469153331,341.0,0.1934804167672573
j6038_1.sm,3,adaptativa,True,46.30815675701448,341.0,0.1195641143857107
j6038_1.sm,4,centralizada,True,60.39080220965222,341.0,0.15045387656419
j6038_1.sm,4,adaptativa,True,62.05232947786002,341.0,0.1539560125064817
