ponto,K,metodo,observavel,media,Vsim,I
ponto=399,32,pareada,maximo,,,25.806989104211283
ponto=57,4,legado,taxa_omissao,0.08749999999999998,0.00015625,1.1009321501448108
ponto=57,4,legado,atraso_relativo,2.123635976129582,0.003225247853320501,9.379344360261006
ponto=57,4,legado,retrabalho_sobre_plano,0.17652849090327036,0.0001218535358483592,1.4760980406150916
ponto=57,4,legado,E_total,0.8933028853315564,3.7442354286577714e-05,4.669722420404258
ponto=57,4,legado,maximo,,,9.379344360261006
ponto=57,4,pareada,taxa_omissao,0.08749999999999998,0.00019097222222222202,1.0187380454886674
ponto=57,4,pareada,atraso_relativo,2.123635976129582,0.0018190114642543298,12.248477092424924
ponto=57,4,pareada,retrabalho_sobre_plano,0.17652849090327036,5.466268406235789e-05,1.8184412358892257
ponto=57,4,pareada,E_total,0.8933028853315564,2.6074870205394097e-05,5.281383734623152
ponto=57,4,pareada,maximo,,,12.248477092424924
ponto=57,32,legado,taxa_omissao,0.09296874999999996,1.7058626474316577e-05,1.260198804845562
ponto=57,32,legado,atraso_relativo,2.195990515771526,0.00025908240028390145,29.735796656503048
ponto=57,32,legado,retrabalho_sobre_plano,0.1839276713162218,1.983697315153665e-05,1.3666149428366927
ponto=57,32,legado,E_total,0.893842158754097,4.613485499064479e-06,7.8019208994514715
ponto=57,32,legado,maximo,,,29.735796656503048
ponto=57,32,pareada,taxa_omissao,0.09296874999999996,1.863650523633513e-05,1.2457530821338152
ponto=57,32,pareada,atraso_relativo,2.195990515771526,0.00018392078751846652,32.70458304329738
ponto=57,32,pareada,retrabalho_sobre_plano,0.1839276713162218,2.141121912271279e-05,1.3554279972556904
ponto=57,32,pareada,E_total,0.893842158754097,5.103750194261104e-06,7.704497434596886
ponto=57,32,pareada,maximo,,,32.70458304329738
