variante,arquivo,semente,cenario,canal,limite_aversao_perda,concluiu,violacoes,atraso,fuga,N_req,conf,falha
F2,j6043_1.sm,2,adaptativa,,0.2,True,0,1.4074074074074074,0.3258426966292135,150,0.9633333333333333,0.31666666666666665
F2,j6043_1.sm,3,centralizada,,0.2,True,0,1.9907407407407407,0.3939393939393939,0,0.25,0.2833333333333333
F2,j6043_1.sm,3,adaptativa,,0.2,True,0,1.6203703703703705,0.14285714285714285,289,0.9666666666666667,0.26666666666666666
F2,j6010_1.sm,0,centralizada,,0.3,True,0,2.3058823529411763,0.2857142857142857,0,0.25,0.26666666666666666
F2,j6010_1.sm,0,adaptativa,,0.3,True,0,1.576470588235294,0.09090909090909091,175,0.9983333333333334,0.1
F2,j6010_1.sm,1,centralizada,,0.3,True,0,2.4705882352941178,0.2,0,0.25,0.2833333333333333
F2,j6010_1.sm,1,adaptativa,,0.3,True,0,1.423529411764706,0.047619047619047616,142,0.9666666666666667,0.23333333333333334
F2,j6010_1.sm,2,centralizada,,0.3,True,0,3.0588235294117645,0.3877551020408163,0,0.25,0.3
F2,j6010_1.sm,2,adaptativa,,0.3,True,0,1.5647058823529412,0.24050632911392406,168,0.9666666666666667,0.21666666666666667
F2,j6010_1.sm,3,centralizada,,0.3,True,0,2.7529411764705882,0.3333333333333333,0,0.25,0.2833333333333333
F2,j6010_1.sm,3,adaptativa,,0.3,True,0,1.6,0.3023255813953488,134,1.0,0.21666666666666667
F2,j6021_1.sm,0,centralizada,,0.3,True,0,4.2368421052631575,0.27710843373493976,0,0.25,0.2833333333333333
F2,j6021_1.sm,0,adaptativa,,0.3,True,0,2.25,0.25,115,1.0,0.26666666666666666
F2,j6021_1.sm,1,centralizada,,0.3,True,0,4.328947368421052,0.2682926829268293,0,0.25,0.3
F2,j6021_1.sm,1,adaptativa,,0.3,True,0,2.5526315789473686,0.15492957746478872,73,0.9666666666666667,0.26666666666666666
F2,j6021_1.sm,2,centralizada,,0.3,True,0,4.144736842105263,0.3617021276595745,0,0.25,0.2833333333333333
F2,j6021_1.sm,2,adaptativa,,0.3,True,0,2.3026315789473686,0.29411764705882354,86,0.9666666666666667,0.26666666666666666
F2,j6021_1.sm,3,centralizada,,0.3,True,0,4.184210526315789,0.3258426966292135,0,0.25,0.26666666666666666
F2,j6021_1.sm,3,adaptativa,,0.3,True,0,2.4210526315789473,0.3258426966292135,153,0.9666666666666667,0.25
F2,j6032_1.sm,0,centralizada,,0.3,True,0,2.5942028985507246,0.40594059405940597,0,0.25,0.18333333333333332
F2,j6032_1.sm,0,adaptativa,,0.3,True,0,1.6521739130434783,0.25925925925925924,92,0.9933333333333333,0.23333333333333334
F2,j6032_1.sm,1,centralizada,,0.3,True,0,3.391304347826087,0.45454545454545453,0,0.25,0.38333333333333336
F2,j6032_1.sm,1,adaptativa,,0.3,True,0,1.8405797101449275,0.3258426966292135,136,0.985,0.36666666666666664
F2,j6032_1.sm,2,centralizada,,0.3,True,0,3.246376811594203,0.4642857142857143,0,0.25,0.36666666666666664
