replica,grupo,bloco,arquivo,semente,concluiu,taxa_omissao,atraso_relativo,retrabalho_sobre_plano,E_total
323,sim,3,j6010_1.sm,10009070,True,0.08333333333333333,1.5294117647058822,0.12089034399131535,0.9041321463402651
323,sim,3,j6032_1.sm,10009071,True,0.08333333333333333,1.6956521739130435,0.2639274670396945,0.8371000774498618
324,obs,0,j6010_1.sm,10009072,True,0.08333333333333333,1.588235294117647,0.197918991466037,0.8631753003576876
324,obs,0,j6032_1.sm,10009073,True,0.13333333333333333,1.6521739130434783,0.21902264762605084,0.8578763569812072
324,obs,1,j6010_1.sm,10009074,True,0.11666666666666667,1.588235294117647,0.16447983822633191,0.8793276026171629
324,obs,1,j6032_1.sm,10009075,True,0.1,1.6231884057971016,0.13515950572169458,0.8890091530720085
324,obs,2,j6010_1.sm,10009076,True,0.08333333333333333,1.5411764705882354,0.17919717338844435,0.8662446866943736
324,obs,2,j6032_1.sm,10009077,True,0.08333333333333333,1.5942028985507246,0.19901266593318717,0.8619114490274083
324,obs,3,j6010_1.sm,10009078,True,0.1,1.576470588235294,0.2349176786760148,0.8349938307683302
324,obs,3,j6032_1.sm,10009079,True,0.05,1.7391304347826086,0.17128922726953608,0.8650797950342448
324,obs,4,j6010_1.sm,10009080,True,0.1,1.6,0.2096900907570932,0.8426021053301752
324,obs,4,j6032_1.sm,10009081,True,0.05,1.5942028985507246,0.18299743625962608,0.8715033124818752
324,obs,5,j6010_1.sm,10009082,True,0.08333333333333333,1.5647058823529412,0.19891503115313094,0.8437086885762066
324,obs,5,j6032_1.sm,10009083,True,0.1,1.6521739130434783,0.14030072265126395,0.896295753847802
324,obs,6,j6010_1.sm,10009084,True,0.11666666666666667,1.5529411764705883,0.17481082113935478,0.8616518968749223
324,obs,6,j6032_1.sm,10009085,True,0.11666666666666667,1.565217391304348,0.15790941342931772,0.8866242730537056
324,obs,7,j6010_1.sm,10009086,True,0.11666666666666667,1.6470588235294117,0.19192484543807878,0.8658446597465522
324,obs,7,j6032_1.sm,10009087,True,0.08333333333333333,1.710144927536232,0.18317521585502816,0.8648927092561316
324,obs,8,j6010_1.sm,10009088,True,0.06666666666666667,1.6705882352941177,0.2052279351702828,0.8502780398386508
324,obs,8,j6032_1.sm,10009089,True,0.15,1.6521739130434783,0.18260975482255334,0.859852064667675
324,obs,9,j6010_1.sm,10009090,True,0.08333333333333333,1.5529411764705883,0.20198255083705385,0.853205214731622
324,obs,9,j6032_1.sm,10009091,True,0.11666666666666667,1.5942028985507246,0.23605606796389572,0.8393761695689816
324,sim,0,j6010_1.sm,10009092,True,0.08333333333333333,1.588235294117647,0.18521511841314506,0.8589459023173425
324,sim,0,j6032_1.sm,10009093,True,0.15,1.6376811594202898,0.24101145720015144,0.8438532883999307
324,sim,1,j6010_1.sm,10009094,True,0.1,1.6470588235294117,0.15596550462989334,0.8823914410006365
324,sim,1,j6032_1.sm,10009095,True,0.08333333333333333,1.5942028985507246,0.16355358372881562,0.8848987535559178
324,sim,2,j6010_1.sm,10009096,True,0.16666666666666666,1.588235294117647,0.20083431264397408,0.8395976707124644
324,sim,2,j6032_1.sm,10009097,True,0.1,1.5507246376811594,0.24374374064181623,0.8422565543605464
324,sim,3,j6010_1.sm,10009098,True,0.11666666666666667,1.5529411764705883,0.17424531759623657,0.8736190842218151
324,sim,3,j6032_1.sm,10009099,True,0.06666666666666667,1.6666666666666667,0.2173305497781812,0.8619008154234047
325,obs,0,j6010_1.sm,10009100,True,0.1,1.6588235294117648,0.13953667811591275,0.8951048382937474
325,obs,0,j6032_1.sm,10009101,True,0.05,1.6666666666666667,0.2388014208010386,0.8413436203873059
325,obs,1,j6010_1.sm,10009102,True,0.08333333333333333,1.5647058823529412,0.20357495780986312,0.8567457272426879
325,obs,1,j6032_1.sm,10009103,True,0.06666666666666667,1.6956521739130435,0.14269516388799483,0.8807420414382678
325,obs,2,j6010_1.sm,10009104,True,0.06666666666666667,1.5294117647058822,0.25674516232886835,0.8251923084495126
325,obs,2,j6032_1.sm,10009105,True,0.15,1.6231884057971016,0.2576708037331711,0.8338394888016357
325,obs,3,j6010_1.sm,10009106,True,0.1,1.6588235294117648,0.20753460798479267,0.8458345248060032
325,obs,3,j6032_1.sm,10009107,True,0.06666666666666667,1.6521739130434783,0.16613820014525416,0.8854873813107113
