replica,I_max,excluido,incompletas,z_taxa_omissao,f_taxa_omissao,V_obs_taxa_omissao,V_sim_taxa_omissao,I_taxa_omissao,z_atraso_relativo,f_atraso_relativo,V_obs_atraso_relativo,V_sim_atraso_relativo,I_atraso_relativo,z_retrabalho_sobre_plano,f_retrabalho_sobre_plano,V_obs_retrabalho_sobre_plano,V_sim_retrabalho_sobre_plano,I_retrabalho_sobre_plano,z_E_total,f_E_total,V_obs_E_total,V_sim_E_total,I_E_total
20,0.5205690506267069,False,0,0.1,0.09791666666666667,5.864197530864198e-05,0.00010850694444444445,0.16114134176365064,1.613537936913896,1.623380221653879,0.0002890549342783438,0.0004611761399025679,0.3593340736770706,0.2005063189610042,0.20028438694512699,3.658449765463725e-05,3.188469530211469e-05,0.026820838653269178,0.8549199475679838,0.8578833126690601,1.1683967618981337e-05,2.0721152458133863e-05,0.5205690506267069
21,1.0242294195641337,False,0,0.09,0.10625,9.691358024691357e-05,0.00015480324074074073,1.0242294195641337,1.6354901960784314,1.6586743393009378,0.00021225773035285045,0.000555191407647731,0.8368858978242475,0.20554386651147913,0.21592312751388912,0.00011004930362509249,0.00010242866242286363,0.7120483475090504,0.8549435613517773,0.8501165580848896,3.0456269446119545e-05,3.535242706868403e-05,0.5950260075251012
22,1.8710023669229947,False,0,0.08250000000000002,0.11041666666666666,3.310185185185185e-05,0.00018952546296296295,1.8710023669229947,1.59617220801364,1.6424978687127023,6.715195494987201e-05,0.0013696909506231798,1.2221287983506308,0.18557059137057497,0.2138865976312302,4.074114314824989e-05,0.00024034768148599483,1.6889243995914227,0.8638407019119911,0.8495855262223262,2.3574065700506726e-05,8.057421876689584e-05,1.3968395202896984
23,1.333658697879614,False,0,0.09666666666666668,0.09375,3.1172839506172836e-05,0.00010850694444444445,0.24678571710515276,1.6141346973572037,1.616453537936914,0.00012751930594609968,0.0003655602869043401,0.10442689802074114,0.20750629251589836,0.20148064750273012,7.103654764512633e-05,4.1488029811501805e-05,0.568041214440592,0.8522347599267045,0.8599337790035196,1.915238943733984e-05,1.417347229152412e-05,1.333658697879614
24,0.8173547553525109,False,0,0.095,0.08958333333333335,7.592592592592593e-05,0.0002126736111111111,0.3188484393106727,1.6273145780051153,1.6267689684569477,0.00015856328504030532,0.00043150361198385375,0.022461116283976054,0.20011205458182096,0.20934611221121963,3.949853161791714e-05,8.813476124228238e-05,0.8173547553525109,0.8577303204211948,0.8571695730448041,1.3597561806323887e-05,2.831967887208468e-05,0.08661057207206009
25,2.0360845330538018,False,0,0.10083333333333333,0.09166666666666667,4.23611111111111e-05,3.472222222222221e-05,1.044073795327748,1.6331457800511509,1.6077365728900257,0.00014734784845568202,8.388726210921073e-06,2.0360845330538018,0.20295755164752322,0.21525365019846426,6.719306337214925e-05,0.00011251069170301502,0.9172521939412049,0.8561301341372267,0.8500240246747275,1.1944405849672733e-05,4.110650978814218e-05,0.8383360528077531
26,0.97191253977718,False,0,0.08833333333333333,0.07708333333333334,5.2777777777777784e-05,0.0002126736111111111,0.6904941785382118,1.6085336743393008,1.6322037510656437,0.0002992231995820839,0.00029390006679123724,0.97191253977718,0.18406540257420906,0.18764754339575895,5.865286092951025e-05,0.00024447395244632124,0.20574556284003712,0.8631223615688306,0.861963386598767,2.9686659991078523e-05,2.218195647179765e-05,0.16092433563833397
27,0.5518790682238016,False,0,0.09416666666666666,0.1,6.334876543209877e-05,0.0005787037037037036,0.2302138955141025,1.6562659846547316,1.6542838874680306,0.0010407153599091565,0.0005698057760732325,0.049390307578335735,0.21440587508025838,0.19827842352286,0.00011882167076810333,0.0007351503608652557,0.5518790682238016,0.8523319144054993,0.8585468748364431,2.7420302837162958e-05,0.0001476782410137668,0.4696746287173308
28,2.601165623901213,False,0,0.09083333333333335,0.10625,1.9212962962962965e-05,1.591435185185186e-05,2.601165623901213,1.6196504688832056,1.6137468030690538,0.00012157559647982498,0.00025164497950112315,0.30558988584716934,0.21595891753271448,0.19788853852860475,9.438382935805683e-05,0.0002500088517345876,0.9737339330884613,0.849195759069682,0.8594317743164426,2.5102967893082547e-05,9.118882368501788e-05,0.9491970798717368
29,0.9546249317505118,False,0,0.10583333333333333,0.09166666666666667,9.266975308641974e-05,0.0003125,0.7037998451640508,1.6164023870417732,1.6369565217391302,0.00019223265799971464,0.0003090548276836966,0.9180276604619136,0.20637024426228479,0.19031247283786085,0.00010020837886920021,0.0003637954775560415,0.7454602259061255,0.8534624358653788,0.8675677588035353,3.0366563481546257e-05,0.00018795695523442856,0.9546249317505118
