tau_min,p_reporte,p_deteccao,tau_inicial,metrica,media,ic95_inferior,ic95_superior,n_instancias
0.25,0.15,0.03,0.23,divida_latente_sobre_plano,0.09672345836759788,0.08093493357904455,0.11251198315615121,4
0.25,0.15,0.03,0.23,taxa_falha_efetiva,0.325,0.2939020910310476,0.35609790896895244,4
0.25,0.15,0.03,0.23,fracao_porta1,0.5447916666666667,0.5059900218902805,0.5835933114430528,4
0.25,0.15,0.03,0.23,N_req,0.0,0.0,0.0,4
0.25,0.15,0.03,0.23,mu_rede_medio,0.7223214192025715,0.6857531311322952,0.7588897072728479,4
0.25,0.15,0.03,0.24,atraso_relativo,2.8611823253964697,1.7916385503304426,3.930726100462497,4
0.25,0.15,0.03,0.24,taxa_omissao,0.27604166666666663,0.2433922279972957,0.30869110533603755,4
0.25,0.15,0.03,0.24,divida_latente_sobre_plano,0.08914207137591615,0.0666183473672714,0.1116657953845609,4
0.25,0.15,0.03,0.24,taxa_falha_efetiva,0.3197916666666667,0.2686137921155479,0.37096954121778547,4
0.25,0.15,0.03,0.24,fracao_porta1,0.5395833333333333,0.4664516361349087,0.6127150305317579,4
0.25,0.15,0.03,0.24,N_req,0.0,0.0,0.0,4
0.25,0.15,0.03,0.24,mu_rede_medio,0.7292063022864096,0.6979258179167355,0.7604867866560837,4
0.25,0.15,0.03,0.249,atraso_relativo,2.854550672290274,1.733995714148736,3.9751056304318118,4
0.25,0.15,0.03,0.249,taxa_omissao,0.26249999999999996,0.23001929340936655,0.29498070659063336,4
0.25,0.15,0.03,0.249,divida_latente_sobre_plano,0.08696663714153116,0.06108571740601505,0.11284755687704727,4
0.25,0.15,0.03,0.249,taxa_falha_efetiva,0.30208333333333337,0.26893285098662234,0.3352338156800444,4
0.25,0.15,0.03,0.249,fracao_porta1,0.5333333333333333,0.45249326917373955,0.6141733974929271,4
0.25,0.15,0.03,0.249,N_req,0.0,0.0,0.0,4
0.25,0.15,0.03,0.249,mu_rede_medio,0.7327821081334673,0.6961092053805458,0.7694550108863889,4
0.25,0.15,0.03,0.249999,atraso_relativo,3.0090263756150817,1.7499862280707976,4.268066523159366,4
0.25,0.15,0.03,0.249999,taxa_omissao,0.26875,0.2232963486388513,0.3142036513611487,4
0.25,0.15,0.03,0.249999,divida_latente_sobre_plano,0.09128964386347413,0.06391231727806086,0.1186669704488874,4
0.25,0.15,0.03,0.249999,taxa_falha_efetiva,0.3072916666666667,0.2638573654326153,0.3507259679007181,4
0.25,0.15,0.03,0.249999,fracao_porta1,0.5385416666666667,0.45322612389745515,0.6238572094358783,4
0.25,0.15,0.03,0.249999,N_req,0.0,0.0,0.0,4
0.25,0.15,0.03,0.249999,mu_rede_medio,0.737481812314726,0.7117605720065869,0.763203052622865,4
0.25,0.15,0.03,0.25,atraso_relativo,3.0090263756150817,1.7499862280707976,4.268066523159366,4
0.25,0.15,0.03,0.25,taxa_omissao,0.26875,0.2232963486388513,0.3142036513611487,4
0.25,0.15,0.03,0.25,divida_latente_sobre_plano,0.09128964386347413,0.06391231727806086,0.1186669704488874,4
0.25,0.15,0.03,0.25,taxa_falha_efetiva,0.3072916666666667,0.2638573654326153,0.3507259679007181,4
0.25,0.15,0.03,0.25,fracao_porta1,0.5385416666666667,0.45322612389745515,0.6238572094358783,4
0.25,0.15,0.03,0.25,N_req,0.0,0.0,0.0,4
0.25,0.15,0.03,0.25,mu_rede_medio,0.737481812314726,0.7117605720065869,0.763203052622865,4
0.25,0.15,0.03,0.250001,atraso_relativo,2.7502159486347297,1.3910237473810607,4.109408149888399,4
0.25,0.15,0.03,0.250001,taxa_omissao,0.23645833333333333,0.21085150794844107,0.26206515871822555,4
0.25,0.15,0.03,0.250001,divida_latente_sobre_plano,0.07965033271933183,0.06612995367116993,0.09317071176749374,4
