tau,P,B,mu_cog,mu_rede
0.221,0.5,0.5,0.775,0.8186490597627458
0.222,0.5,0.5,0.775,0.8190810942243714
0.223,0.5,0.5,0.775,0.8195145782449655
0.224,0.5,0.5,0.775,0.8199495191321122
0.225,0.5,0.5,0.775,0.8203859242425973
0.226,0.5,0.5,0.775,0.8208280582922731
0.227,0.5,0.5,0.775,0.8212716585647315
0.228,0.5,0.5,0.775,0.8217167323656072
0.229,0.5,0.5,0.775,0.82216328704915
0.23,0.5,0.5,0.775,0.8226113300186308
0.231,0.5,0.5,0.775,0.8230649884848753
0.232,0.5,0.5,0.775,0.8235201357835118
0.233,0.5,0.5,0.775,0.8239767792557402
0.234,0.5,0.5,0.775,0.8244349262911054
0.23500000000000001,0.5,0.5,0.775,0.8248945843278939
0.23600000000000002,0.5,0.5,0.775,0.8253597383315285
0.23700000000000002,0.5,0.5,0.775,0.8258264023868671
0.23800000000000002,0.5,0.5,0.775,0.8262945838590938
0.23900000000000002,0.5,0.5,0.775,0.826764290161369
0.24,0.5,0.5,0.775,0.8272355287552202
0.241,0.5,0.5,0.775,0.8277121375747172
0.242,0.5,0.5,0.775,0.828190276197839
0.243,0.5,0.5,0.775,0.828669952001897
0.244,0.5,0.5,0.775,0.8291511724117133
0.245,0.5,0.5,0.775,0.8296339449000059
0.246,0.5,0.5,0.775,0.8301219555429504
0.247,0.5,0.5,0.775,0.8306115141974505
0.248,0.5,0.5,0.775,0.831102628240845
0.249,0.5,0.5,0.775,0.8315953050974246
0.25,0.5,0.5,0.775,0.8320895522388061
0.251,0.5,0.5,0.775,0.8325888990214605
0.252,0.5,0.5,0.775,0.8330898104038111
0.253,0.5,0.5,0.775,0.83359229375092
0.254,0.5,0.5,0.775,0.8340963564741481
0.255,0.5,0.5,0.775,0.8346020060315194
0.256,0.5,0.5,0.775,0.8351126101683846
0.257,0.5,0.5,0.775,0.8356247937986168
0.258,0.5,0.5,0.775,0.8361385642625316
0.259,0.5,0.5,0.775,0.836653928946
0.26,0.5,0.5,0.775,0.837170895280799
0.261,0.5,0.5,0.775,0.8376926644861482
0.262,0.5,0.5,0.775,0.8382160263108409
0.263,0.5,0.5,0.775,0.838740988057857
0.264,0.5,0.5,0.775,0.8392675570748952
0.265,0.5,0.5,0.775,0.8397957407547161
0.266,0.5,0.5,0.775,0.8403285688581497
0.267,0.5,0.5,0.775,0.8408630008677941
0.268,0.5,0.5,0.775,0.8413990440366246
0.269,0.5,0.5,0.775,0.8419367056614144
0.27,0.5,0.5,0.775,0.8424759930830646
0.271,0.5,0.5,0.775,0.8430197596612068
0.272,0.5,0.5,0.775,0.8435651395240709
