incremento_base,fator_transferencia,metrica,estimando,pares_previstos,pares_retidos,pares_indefinidos,estatuto,media,ic95_inf,ic95_sup,N_instancias
22.5,3.0,taxa_omissao,pares_completos,192,192,0,COMPLETO,-0.2292534722222222,-0.24185805172384855,-0.21664889272059584,16
22.5,3.0,divida_latente_sobre_plano,observado,192,192,0,COMPLETO,-0.07900292355107123,-0.08742462153266323,-0.07058122556947924,16
22.5,3.0,divida_latente_sobre_plano,pares_completos,192,192,0,COMPLETO,-0.07900292355107123,-0.08742462153266323,-0.07058122556947924,16
22.5,3.0,taxa_falha_efetiva,observado,192,192,0,COMPLETO,-0.056597222222222215,-0.06742881445677484,-0.045765629987669594,16
22.5,3.0,taxa_falha_efetiva,pares_completos,192,192,0,COMPLETO,-0.056597222222222215,-0.06742881445677484,-0.045765629987669594,16
22.5,3.0,fracao_porta1,observado,192,192,0,COMPLETO,-0.15095486111111112,-0.1728889430761975,-0.12902077914602472,16
22.5,3.0,fracao_porta1,pares_completos,192,192,0,COMPLETO,-0.15095486111111112,-0.1728889430761975,-0.12902077914602472,16
22.5,6.0,atraso_relativo,observado,192,192,0,COMPLETO,-1.0868097024136862,-1.175780550455617,-0.9978388543717555,16
22.5,6.0,atraso_relativo,pares_completos,192,192,0,COMPLETO,-1.0868097024136862,-1.175780550455617,-0.9978388543717555,16
22.5,6.0,taxa_omissao,observado,192,192,0,COMPLETO,-0.23159722222222223,-0.24525043355836584,-0.21794401088607862,16
22.5,6.0,taxa_omissao,pares_completos,192,192,0,COMPLETO,-0.23159722222222223,-0.24525043355836584,-0.21794401088607862,16
22.5,6.0,divida_latente_sobre_plano,observado,192,192,0,COMPLETO,-0.0790449668603712,-0.0875296532516834,-0.070560280469059,16
22.5,6.0,divida_latente_sobre_plano,pares_completos,192,192,0,COMPLETO,-0.0790449668603712,-0.0875296532516834,-0.070560280469059,16
22.5,6.0,taxa_falha_efetiva,observado,192,192,0,COMPLETO,-0.058680555555555555,-0.06908221822227956,-0.04827889288883155,16
22.5,6.0,taxa_falha_efetiva,pares_completos,192,192,0,COMPLETO,-0.058680555555555555,-0.06908221822227956,-0.04827889288883155,16
22.5,6.0,fracao_porta1,observado,192,192,0,COMPLETO,-0.15477430555555555,-0.17432710672687643,-0.13522150438423466,16
22.5,6.0,fracao_porta1,pares_completos,192,192,0,COMPLETO,-0.15477430555555555,-0.17432710672687643,-0.13522150438423466,16
