perfil_adaptativa,perfil_centralizada,metrica,estimando,pares_previstos,pares_retidos,pares_indefinidos,estatuto,media,ic95_inf,ic95_sup,N_instancias,sinal,evidencia,tau_inicial_A,tau_min_A,p_reporte_A,p_deteccao_A,tau_inicial_C,tau_min_C,p_reporte_C,p_deteccao_C,regiao
1,40,atraso_relativo,observado,16,16,0,COMPLETO,0.4526055143008132,0.1835686020523226,0.7216424265493038,4,positivo,positivo,0.25,0.25,0.15,0.075,0.525,0.425,0.45,0.075,inclui_inversao_de_premissa
1,41,atraso_relativo,observado,16,16,0,COMPLETO,0.5055131011850457,0.1587457784366764,0.852280423933415,4,positivo,positivo,0.25,0.25,0.15,0.075,0.525,0.425,0.45,0.12,inclui_inversao_de_premissa
1,43,atraso_relativo,observado,16,16,0,COMPLETO,0.5111728530084804,0.2686113484349349,0.7537343575820258,4,positivo,positivo,0.25,0.25,0.15,0.075,0.525,0.425,0.75,0.075,inclui_inversao_de_premissa
1,44,atraso_relativo,observado,16,16,0,COMPLETO,0.5328148603072045,0.2872600643405003,0.7783696562739086,4,positivo,positivo,0.25,0.25,0.15,0.075,0.525,0.425,0.75,0.12,inclui_inversao_de_premissa
1,47,atraso_relativo,observado,16,16,0,COMPLETO,0.261285742685073,0.0544143009210514,0.4681571844490947,4,positivo,positivo,0.25,0.25,0.15,0.075,0.525,0.6,0.15,0.12,inclui_inversao_de_premissa
1,49,atraso_relativo,observado,16,16,0,COMPLETO,0.2993139685317301,0.0448367908434169,0.5537911462200432,4,positivo,positivo,0.25,0.25,0.15,0.075,0.525,0.6,0.45,0.075,inclui_inversao_de_premissa
1,50,atraso_relativo,observado,16,16,0,COMPLETO,0.243276614294332,0.0808068996880267,0.4057463289006373,4,positivo,positivo,0.25,0.25,0.15,0.075,0.525,0.6,0.45,0.12,inclui_inversao_de_premissa
1,53,atraso_relativo,observado,16,16,0,COMPLETO,0.2677768679299842,0.0706100536212475,0.4649436822387208,4,positivo,positivo,0.25,0.25,0.15,0.075,0.525,0.6,0.75,0.12,inclui_inversao_de_premissa
1,55,atraso_relativo,observado,16,16,0,COMPLETO,0.4884831497434977,0.1859478544648634,0.791018445022132,4,positivo,positivo,0.25,0.25,0.15,0.075,0.8,0.25,0.15,0.075,inclui_inversao_de_premissa
1,56,atraso_relativo,observado,16,16,0,COMPLETO,0.5260388779208607,0.1059256868748972,0.946152068966824,4,positivo,positivo,0.25,0.25,0.15,0.075,0.8,0.25,0.15,0.12,inclui_inversao_de_premissa
1,58,atraso_relativo,observado,16,16,0,COMPLETO,0.5916201616039245,0.2326707091902756,0.9505696140175734,4,positivo,positivo,0.25,0.25,0.15,0.075,0.8,0.25,0.45,0.075,inclui_inversao_de_premissa
1,59,atraso_relativo,observado,16,16,0,COMPLETO,0.5462133505830504,0.2442034263049289,0.848223274861172,4,positivo,positivo,0.25,0.25,0.15,0.075,0.8,0.25,0.45,0.12,inclui_inversao_de_premissa
1,61,atraso_relativo,observado,16,16,0,COMPLETO,0.4760566230687546,0.2116187711684105,0.7404944749690987,4,positivo,positivo,0.25,0.25,0.15,0.075,0.8,0.25,0.75,0.075,inclui_inversao_de_premissa
1,62,atraso_relativo,observado,16,16,0,COMPLETO,0.5076670567794878,0.1909253068458315,0.824408806713144,4,positivo,positivo,0.25,0.25,0.15,0.075,0.8,0.25,0.75,0.12,inclui_inversao_de_premissa
1,64,atraso_relativo,observado,16,16,0,COMPLETO,0.489388946844947,0.1868699983881904,0.7919078953017036,4,positivo,positivo,0.25,0.25,0.15,0.075,0.8,0.425,0.15,0.075,inclui_inversao_de_premissa
1,65,atraso_relativo,observado,16,16,0,COMPLETO,0.5251330808194115,0.1058498251251427,0.9444163365136802,4,positivo,positivo,0.25,0.25,0.15,0.075,0.8,0.425,0.15,0.12,inclui_inversao_de_premissa
1,67,atraso_relativo,observado,16,16,0,COMPLETO,0.5608230601546492,0.2028854970468477,0.9187606232624508,4,positivo,positivo,0.25,0.25,0.15,0.075,0.8,0.425,0.45,0.075,inclui_inversao_de_premissa
1,68,atraso_relativo,observado,16,16,0,COMPLETO,0.5489307418873983,0.2460010176252194,0.8518604661495772,4,positivo,positivo,0.25,0.25,0.15,0.075,0.8,0.425,0.45,0.12,inclui_inversao_de_premissa
1,70,atraso_relativo,observado,16,16,0,COMPLETO,0.4619412849045035,0.1753622421109687,0.7485203276980382,4,positivo,positivo,0.25,0.25,0.15,0.075,0.8,0.425,0.75,0.075,inclui_inversao_de_premissa
1,71,atraso_relativo,observado,16,16,0,COMPLETO,0.4822544158777164,0.1371783052020956,0.8273305265533373,4,positivo,positivo,0.25,0.25,0.15,0.075,0.8,0.425,0.75,0.12,inclui_inversao_de_premissa
1,73,atraso_relativo,observado,16,16,0,COMPLETO,0.4830232061042063,0.1623764462245063,0.8036699659839063,4,positivo,positivo,0.25,0.25,0.15,0.075,0.8,0.6,0.15,0.075,inclui_inversao_de_premissa
1,74,atraso_relativo,observado,16,16,0,COMPLETO,0.5552005123814082,0.2038296425602285,0.9065713822025878,4,positivo,positivo,0.25,0.25,0.15,0.075,0.8,0.6,0.15,0.12,inclui_inversao_de_premissa
1,76,atraso_relativo,observado,16,16,0,COMPLETO,0.5508089699775156,0.1619269538535221,0.939690986101509,4,positivo,positivo,0.25,0.25,0.15,0.075,0.8,0.6,0.45,0.075,inclui_inversao_de_premissa
1,77,atraso_relativo,observado,16,16,0,COMPLETO,0.5481255889083322,0.260776707283549,0.8354744705331154,4,positivo,positivo,0.25,0.25,0.15,0.075,0.8,0.6,0.45,0.12,inclui_inversao_de_premissa
1,79,atraso_relativo,observado,16,16,0,COMPLETO,0.4754914580248576,0.1895834078387683,0.7613995082109468,4,positivo,positivo,0.25,0.25,0.15,0.075,0.8,0.6,0.75,0.075,inclui_inversao_de_premissa
1,80,atraso_relativo,observado,16,16,0,COMPLETO,0.4821143242448263,0.1456649234197172,0.8185637250699356,4,positivo,positivo,0.25,0.25,0.15,0.075,0.8,0.6,0.75,0.12,inclui_inversao_de_premissa
2,29,atraso_relativo,observado,16,16,0,COMPLETO,0.3519784204045208,0.1699016045802292,0.5340552362288123,4,positivo,positivo,0.25,0.25,0.15,0.12,0.525,0.25,0.15,0.12,inclui_inversao_de_premissa
2,31,atraso_relativo,observado,16,16,0,COMPLETO,0.2880201712009492,0.2211015114819796,0.3549388309199188,4,positivo,positivo,0.25,0.25,0.15,0.12,0.525,0.25,0.45,0.075,inclui_inversao_de_premissa
2,32,atraso_relativo,observado,16,16,0,COMPLETO,0.391812958974589,0.2561906233101873,0.5274352946389906,4,positivo,positivo,0.25,0.25,0.15,0.12,0.525,0.25,0.45,0.12,inclui_inversao_de_premissa
2,34,atraso_relativo,observado,16,16,0,COMPLETO,0.375162495076851,0.2174003778941213,0.5329246122595807,4,positivo,positivo,0.25,0.25,0.15,0.12,0.525,0.25,0.75,0.075,inclui_inversao_de_premissa
2,35,atraso_relativo,observado,16,16,0,COMPLETO,0.3674495252588704,0.2178021701781902,0.5170968803395506,4,positivo,positivo,0.25,0.25,0.15,0.12,0.525,0.25,0.75,0.12,inclui_inversao_de_premissa
2,38,atraso_relativo,observado,16,16,0,COMPLETO,0.3197286005045292,0.1348640902154814,0.504593110793577,4,positivo,positivo,0.25,0.25,0.15,0.12,0.525,0.425,0.15,0.12,inclui_inversao_de_premissa
2,40,atraso_relativo,observado,16,16,0,COMPLETO,0.3262387795825169,0.2100582106654512,0.4424193484995826,4,positivo,positivo,0.25,0.25,0.15,0.12,0.525,0.425,0.45,0.075,inclui_inversao_de_premissa
2,41,atraso_relativo,observado,16,16,0,COMPLETO,0.3791463664667494,0.1741630814445952,0.5841296514889035,4,positivo,positivo,0.25,0.25,0.15,0.12,0.525,0.425,0.45,0.12,inclui_inversao_de_premissa
2,43,atraso_relativo,observado,16,16,0,COMPLETO,0.3848061182901842,0.2247832989918757,0.5448289375884926,4,positivo,positivo,0.25,0.25,0.15,0.12,0.525,0.425,0.75,0.075,inclui_inversao_de_premissa
2,44,atraso_relativo,observado,16,16,0,COMPLETO,0.4064481255889083,0.2978651141676073,0.5150311370102094,4,positivo,positivo,0.25,0.25,0.15,0.12,0.525,0.425,0.75,0.12,inclui_inversao_de_premissa
2,55,atraso_relativo,observado,16,16,0,COMPLETO,0.3621164150252016,0.1322430027487635,0.5919898273016396,4,positivo,positivo,0.25,0.25,0.15,0.12,0.8,0.25,0.15,0.075,inclui_inversao_de_premissa
2,56,atraso_relativo,observado,16,16,0,COMPLETO,0.3996721432025645,0.1337651076718917,0.6655791787332372,4,positivo,positivo,0.25,0.25,0.15,0.12,0.8,0.25,0.15,0.12,inclui_inversao_de_premissa
2,58,atraso_relativo,observado,16,16,0,COMPLETO,0.4652534268856284,0.1896389666763534,0.7408678870949033,4,positivo,positivo,0.25,0.25,0.15,0.12,0.8,0.25,0.45,0.075,inclui_inversao_de_premissa
2,59,atraso_relativo,observado,16,16,0,COMPLETO,0.4198466158647542,0.227166788666925,0.6125264430625835,4,positivo,positivo,0.25,0.25,0.15,0.12,0.8,0.25,0.45,0.12,inclui_inversao_de_premissa
2,61,atraso_relativo,observado,16,16,0,COMPLETO,0.3496898883504584,0.2016455216320367,0.4977342550688801,4,positivo,positivo,0.25,0.25,0.15,0.12,0.8,0.25,0.75,0.075,inclui_inversao_de_premissa
2,62,atraso_relativo,observado,16,16,0,COMPLETO,0.3813003220611916,0.223324663889666,0.5392759802327172,4,positivo,positivo,0.25,0.25,0.15,0.12,0.8,0.25,0.75,0.12,inclui_inversao_de_premissa
2,64,atraso_relativo,observado,16,16,0,COMPLETO,0.3630222121266508,0.1347725180232622,0.5912719062300396,4,positivo,positivo,0.25,0.25,0.15,0.12,0.8,0.425,0.15,0.075,inclui_inversao_de_premissa
2,65,atraso_relativo,observado,16,16,0,COMPLETO,0.3987663461011152,0.1327891311768891,0.6647435610253414,4,positivo,positivo,0.25,0.25,0.15,0.12,0.8,0.425,0.15,0.12,inclui_inversao_de_premissa
2,67,atraso_relativo,observado,16,16,0,COMPLETO,0.434456325436353,0.1179235913460851,0.7509890595266209,4,positivo,positivo,0.25,0.25,0.15,0.12,0.8,0.425,0.45,0.075,inclui_inversao_de_premissa
2,68,atraso_relativo,observado,16,16,0,COMPLETO,0.4225640071691021,0.2342025912953986,0.6109254230428055,4,positivo,positivo,0.25,0.25,0.15,0.12,0.8,0.425,0.45,0.12,inclui_inversao_de_premissa
2,70,atraso_relativo,observado,16,16,0,COMPLETO,0.3355745501862072,0.1674510022764102,0.5036980980960042,4,positivo,positivo,0.25,0.25,0.15,0.12,0.8,0.425,0.75,0.075,inclui_inversao_de_premissa
2,71,atraso_relativo,observado,16,16,0,COMPLETO,0.3558876811594202,0.1585490315308877,0.5532263307879528,4,positivo,positivo,0.25,0.25,0.15,0.12,0.8,0.425,0.75,0.12,inclui_inversao_de_premissa
2,73,atraso_relativo,observado,16,16,0,COMPLETO,0.3566564713859101,0.1202801345078415,0.5930328082639788,4,positivo,positivo,0.25,0.25,0.15,0.12,0.8,0.6,0.15,0.075,inclui_inversao_de_premissa
2,74,atraso_relativo,observado,16,16,0,COMPLETO,0.428833777663112,0.2256070213303604,0.6320605339958635,4,positivo,positivo,0.25,0.25,0.15,0.12,0.8,0.6,0.15,0.12,inclui_inversao_de_premissa
2,76,atraso_relativo,observado,16,16,0,COMPLETO,0.4244422352592193,0.0987745864254433,0.7501098840929953,4,positivo,positivo,0.25,0.25,0.15,0.12,0.8,0.6,0.45,0.075,inclui_inversao_de_premissa
2,77,atraso_relativo,observado,16,16,0,COMPLETO,0.421758854190036,0.2316102907362305,0.6119074176438415,4,positivo,positivo,0.25,0.25,0.15,0.12,0.8,0.6,0.45,0.12,inclui_inversao_de_premissa
2,79,atraso_relativo,observado,16,16,0,COMPLETO,0.3491247233065613,0.2145657443723394,0.4836837022407833,4,positivo,positivo,0.25,0.25,0.15,0.12,0.8,0.6,0.75,0.075,inclui_inversao_de_premissa
2,80,atraso_relativo,observado,16,16,0,COMPLETO,0.3557475895265302,0.1637483320362283,0.5477468470168321,4,positivo,positivo,0.25,0.25,0.15,0.12,0.8,0.6,0.75,0.12,inclui_inversao_de_premissa
3,1,atraso_relativo,observado,16,16,0,COMPLETO,0.4582016235174466,0.092936643116834,0.8234666039180593,4,positivo,positivo,0.25,0.25,0.45,0.03,0.25,0.25,0.15,0.075,inclui_inversao_de_premissa
3,2,atraso_relativo,observado,16,16,0,COMPLETO,0.5845683582357428,0.0496237450930054,1.1195129713784802,4,positivo,positivo,0.25,0.25,0.45,0.03,0.25,0.25,0.15,0.12,inclui_inversao_de_premissa
3,4,atraso_relativo,observado,16,16,0,COMPLETO,0.5418880993154954,0.1705802155925859,0.9131959830384048,4,positivo,positivo,0.25,0.25,0.45,0.03,0.25,0.25,0.45,0.075,inclui_inversao_de_premissa
3,5,atraso_relativo,observado,16,16,0,COMPLETO,0.5826478627301416,0.1569677162530933,1.0083280092071898,4,positivo,positivo,0.25,0.25,0.45,0.03,0.25,0.25,0.45,0.12,inclui_inversao_de_premissa
3,7,atraso_relativo,observado,16,16,0,COMPLETO,0.6012700945493885,0.1445169637246204,1.0580232253741566,4,positivo,positivo,0.25,0.25,0.45,0.03,0.25,0.25,0.75,0.075,inclui_inversao_de_premissa
3,8,atraso_relativo,observado,16,16,0,COMPLETO,0.5490959945508842,0.0207234785939792,1.077468510507789,4,positivo,positivo,0.25,0.25,0.45,0.03,0.25,0.25,0.75,0.12,inclui_inversao_de_premissa
3,10,atraso_relativo,observado,16,16,0,COMPLETO,0.4582016235174466,0.092936643116834,0.8234666039180593,4,positivo,positivo,0.25,0.25,0.45,0.03,0.25,0.425,0.15,0.075,inclui_inversao_de_premissa
3,11,atraso_relativo,observado,16,16,0,COMPLETO,0.5845683582357428,0.0496237450930054,1.1195129713784802,4,positivo,positivo,0.25,0.25,0.45,0.03,0.25,0.425,0.15,0.12,inclui_inversao_de_premissa
3,13,atraso_relativo,observado,16,16,0,COMPLETO,0.5418880993154954,0.1705802155925859,0.9131959830384048,4,positivo,positivo,0.25,0.25,0.45,0.03,0.25,0.425,0.45,0.075,inclui_inversao_de_premissa
3,14,atraso_relativo,observado,16,16,0,COMPLETO,0.5826478627301416,0.1569677162530933,1.0083280092071898,4,positivo,positivo,0.25,0.25,0.45,0.03,0.25,0.425,0.45,0.12,inclui_inversao_de_premissa
