incremento_base,fator_transferencia,cenario,metrica,estimando,antes,depois,estatuto,media,ic95_inf,ic95_sup,N_instancias
15.0,1.5,centralizada,taxa_falha_efetiva,observado,0.3619791666666667,0.3619791666666667,COMPLETO,0.0,0.0,0.0,16
15.0,1.5,centralizada,taxa_falha_efetiva,pares_completos,0.3619791666666667,0.3619791666666667,COMPLETO,0.0,0.0,0.0,16
15.0,1.5,centralizada,fracao_porta1,observado,0.6369791666666668,0.6369791666666668,COMPLETO,0.0,0.0,0.0,16
15.0,1.5,centralizada,fracao_porta1,pares_completos,0.6369791666666668,0.6369791666666668,COMPLETO,0.0,0.0,0.0,16
15.0,3.0,adaptativa,atraso_relativo,observado,2.0373813983341833,2.0373813983341833,COMPLETO,0.0,0.0,0.0,16
15.0,3.0,adaptativa,atraso_relativo,pares_completos,2.0373813983341833,2.0373813983341833,COMPLETO,0.0,0.0,0.0,16
15.0,3.0,adaptativa,taxa_omissao,observado,0.08428819444444445,0.08428819444444445,COMPLETO,0.0,0.0,0.0,16
15.0,3.0,adaptativa,taxa_omissao,pares_completos,0.08428819444444445,0.08428819444444445,COMPLETO,0.0,0.0,0.0,16
15.0,3.0,adaptativa,divida_latente_sobre_plano,observado,0.02545760842423257,0.02545760842423257,COMPLETO,0.0,0.0,0.0,16
15.0,3.0,adaptativa,divida_latente_sobre_plano,pares_completos,0.02545760842423257,0.02545760842423257,COMPLETO,0.0,0.0,0.0,16
15.0,3.0,adaptativa,taxa_falha_efetiva,observado,0.3189236111111111,0.3189236111111111,COMPLETO,0.0,0.0,0.0,16
15.0,3.0,adaptativa,taxa_falha_efetiva,pares_completos,0.3189236111111111,0.3189236111111111,COMPLETO,0.0,0.0,0.0,16
15.0,3.0,adaptativa,fracao_porta1,observado,0.5204861111111111,0.5204861111111111,COMPLETO,0.0,0.0,0.0,16
15.0,3.0,adaptativa,fracao_porta1,pares_completos,0.5204861111111111,0.5204861111111111,COMPLETO,0.0,0.0,0.0,16
15.0,3.0,centralizada,atraso_relativo,observado,3.0608024318896923,3.0608024318896923,COMPLETO,0.0,0.0,0.0,16
15.0,3.0,centralizada,atraso_relativo,pares_completos,3.0608024318896923,3.0608024318896923,COMPLETO,0.0,0.0,0.0,16
15.0,3.0,centralizada,taxa_omissao,observado,0.3125,0.3125,COMPLETO,0.0,0.0,0.0,16
15.0,3.0,centralizada,taxa_omissao,pares_completos,0.3125,0.3125,COMPLETO,0.0,0.0,0.0,16
15.0,3.0,centralizada,divida_latente_sobre_plano,observado,0.10327218484475538,0.10327218484475538,COMPLETO,0.0,0.0,0.0,16
15.0,3.0,centralizada,divida_latente_sobre_plano,pares_completos,0.10327218484475538,0.10327218484475538,COMPLETO,0.0,0.0,0.0,16
15.0,3.0,centralizada,taxa_falha_efetiva,observado,0.3619791666666667,0.3619791666666667,COMPLETO,0.0,0.0,0.0,16
15.0,3.0,centralizada,taxa_falha_efetiva,pares_completos,0.3619791666666667,0.3619791666666667,COMPLETO,0.0,0.0,0.0,16
15.0,3.0,centralizada,fracao_porta1,observado,0.6369791666666668,0.6369791666666668,COMPLETO,0.0,0.0,0.0,16
15.0,3.0,centralizada,fracao_porta1,pares_completos,0.6369791666666668,0.6369791666666668,COMPLETO,0.0,0.0,0.0,16
15.0,6.0,adaptativa,atraso_relativo,observado,2.0373813983341833,2.0333225536201387,COMPLETO,-0.004058844714044474,-0.027517929129503137,0.019400239701414187,16
15.0,6.0,adaptativa,atraso_relativo,pares_completos,2.0373813983341833,2.0333225536201387,COMPLETO,-0.004058844714044474,-0.027517929129503137,0.019400239701414187,16
15.0,6.0,adaptativa,taxa_omissao,observado,0.08428819444444445,0.08046875,COMPLETO,-0.003819444444444444,-0.00804507348945729,0.0004061846005684036,16
15.0,6.0,adaptativa,taxa_omissao,pares_completos,0.08428819444444445,0.08046875,COMPLETO,-0.003819444444444444,-0.00804507348945729,0.0004061846005684036,16
15.0,6.0,adaptativa,divida_latente_sobre_plano,observado,0.02545760842423257,0.026303370309040387,COMPLETO,0.0008457618848078157,-0.0008634602005334878,0.0025549839701491193,16
15.0,6.0,adaptativa,divida_latente_sobre_plano,pares_completos,0.02545760842423257,0.026303370309040387,COMPLETO,0.0008457618848078157,-0.0008634602005334878,0.0025549839701491193,16
15.0,6.0,adaptativa,taxa_falha_efetiva,observado,0.3189236111111111,0.31397569444444445,COMPLETO,-0.004947916666666667,-0.014706472000557396,0.004810638667224062,16
15.0,6.0,adaptativa,taxa_falha_efetiva,pares_completos,0.3189236111111111,0.31397569444444445,COMPLETO,-0.004947916666666667,-0.014706472000557396,0.004810638667224062,16
15.0,6.0,adaptativa,fracao_porta1,observado,0.5204861111111111,0.5157118055555555,COMPLETO,-0.0047743055555555525,-0.017278539817608896,0.007729928706497791,16
15.0,6.0,adaptativa,fracao_porta1,pares_completos,0.5204861111111111,0.5157118055555555,COMPLETO,-0.0047743055555555525,-0.017278539817608896,0.007729928706497791,16
15.0,6.0,centralizada,atraso_relativo,observado,3.0608024318896923,3.0608024318896923,COMPLETO,0.0,0.0,0.0,16
15.0,6.0,centralizada,atraso_relativo,pares_completos,3.0608024318896923,3.0608024318896923,COMPLETO,0.0,0.0,0.0,16
